site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
BRSE 10JUN12 2010.4449 55359 1587 6   12.1  -1232 -0.602588   5107204  0.618030   381  0.381642  0.0000 0.000814 0.001061 0.003467 -0.066571  0.129571 -0.152515  46.1000311477 -347.9159408354   381.38164
BRSE 10JUN13 2010.4476 55360 1588 0   12.1  -1232 -0.604064   5107204  0.621100   381  0.384090  0.0000 0.000805 0.001029 0.003368 -0.061455  0.116388 -0.127372  46.1000311753 -347.9159408545   381.38409
BRSE 10JUN14 2010.4504 55361 1588 1   12.1  -1232 -0.603825   5107204  0.617972   381  0.378121  0.0000 0.000815 0.001061 0.003427 -0.050114  0.078063 -0.092738  46.1000311472 -347.9159408514   381.37812
BRSE 10JUN15 2010.4531 55362 1588 2   12.1  -1232 -0.602366   5107204  0.617000   381  0.378146  0.0000 0.000796 0.001048 0.003375 -0.063903  0.090894 -0.137044  46.1000311384 -347.9159408325   381.37815
BRSE 10JUN16 2010.4559 55363 1588 3   12.1  -1232 -0.603291   5107204  0.621471   381  0.371665  0.0000 0.000807 0.001038 0.003406 -0.036629  0.062358 -0.151185  46.1000311787 -347.9159408445   381.37167
BRSE 10JUN17 2010.4586 55364 1588 4   12.1  -1232 -0.604826   5107204  0.617704   381  0.372584  0.0000 0.000803 0.001036 0.003337 -0.058533  0.110965 -0.085376  46.1000311448 -347.9159408643   381.37258
BRSE 10JUN18 2010.4613 55365 1588 5   12.1  -1232 -0.603885   5107204  0.618390   381  0.379150  0.0000 0.000817 0.001051 0.003448 -0.069965  0.127585 -0.114186  46.1000311510 -347.9159408522   381.37915
BRSE 10JUN19 2010.4641 55366 1588 6   12.1  -1232 -0.602110   5107204  0.618152   381  0.377775  0.0000 0.000788 0.001034 0.003364 -0.037871  0.083719 -0.135578  46.1000311488 -347.9159408292   381.37777
BRSE 10JUN20 2010.4668 55367 1589 0   12.1  -1232 -0.603181   5107204  0.619787   381  0.374453  0.0000 0.000933 0.001205 0.003925 -0.085222  0.089377 -0.173095  46.1000311635 -347.9159408431   381.37445
BRSE 10JUN21 2010.4695 55368 1589 1   12.1  -1232 -0.603239   5107204  0.621369   381  0.366831  0.0000 0.000961 0.001340 0.004204  0.001165  0.050219 -0.152926  46.1000311778 -347.9159408438   381.36683
BRSE 10JUN22 2010.4723 55369 1589 2   12.1  -1232 -0.602832   5107204  0.619455   381  0.370697  0.0000 0.000792 0.001024 0.003337 -0.062248  0.110230 -0.123174  46.1000311605 -347.9159408385   381.37070
BRSE 10JUN23 2010.4750 55370 1589 3   12.1  -1232 -0.602572   5107204  0.619190   381  0.368929  0.0000 0.000780 0.001020 0.003277 -0.050685  0.094723 -0.112483  46.1000311582 -347.9159408352   381.36893
BRSE 10JUN24 2010.4778 55371 1589 4   12.1  -1232 -0.601806   5107204  0.619427   381  0.372322  0.0000 0.000798 0.001066 0.003393 -0.059019  0.094250 -0.142855  46.1000311603 -347.9159408253   381.37232
