site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
CAFV 11MAR03 2011.1677 55623 1625 4   11.9   3052  0.265158   5059444  0.244923    98  0.404573  0.0000 0.000752 0.000946 0.003055  0.056095 -0.063246 -0.134626  45.6703346071 -348.0608292494    98.40457
CAFV 11MAR04 2011.1704 55624 1625 5   11.9   3052  0.264473   5059444  0.245116    98  0.407477  0.0000 0.000756 0.000955 0.003067  0.064232 -0.065373 -0.128161  45.6703346088 -348.0608292582    98.40748
CAFV 11MAR05 2011.1732 55625 1625 6   11.9   3052  0.263649   5059444  0.245557    98  0.412404  0.0000 0.000753 0.000946 0.003029  0.059869 -0.043878 -0.112517  45.6703346128 -348.0608292688    98.41240
CAFV 11MAR06 2011.1759 55626 1626 0   11.9   3052  0.264599   5059444  0.245020    98  0.408955  0.0000 0.000750 0.000944 0.003022  0.060485 -0.065626 -0.116497  45.6703346080 -348.0608292566    98.40896
CAFV 11MAR07 2011.1786 55627 1626 1   11.9   3052  0.265411   5059444  0.245103    98  0.405786  0.0000 0.000756 0.000947 0.003048  0.056915 -0.074724 -0.120956  45.6703346087 -348.0608292462    98.40579
CAFV 11MAR08 2011.1814 55628 1626 2   11.9   3052  0.264612   5059444  0.243737    98  0.408372  0.0000 0.000745 0.000940 0.003003  0.056179 -0.048963 -0.123623  45.6703345964 -348.0608292564    98.40837
CAFV 11MAR09 2011.1841 55629 1626 3   11.9   3052  0.265416   5059444  0.244899    98  0.410923  0.0000 0.001219 0.001524 0.005020  0.111531  0.017927 -0.079561  45.6703346069 -348.0608292461    98.41092
CAFV 11MAR13 2011.1951 55633 1627 0   11.9   3052  0.265897   5059444  0.245397    98  0.415881  0.0000 0.000918 0.001168 0.003592  0.010752 -0.059587 -0.122276  45.6703346114 -348.0608292399    98.41588
CAFV 11MAR14 2011.1978 55634 1627 1   11.9   3052  0.266957   5059444  0.243763    98  0.410720  0.0000 0.000776 0.000954 0.003103  0.045513 -0.063717 -0.092210  45.6703345967 -348.0608292263    98.41072
CAFV 11MAR15 2011.2005 55635 1627 2   11.9   3052  0.267460   5059444  0.246384    98  0.405632  0.0000 0.000750 0.000942 0.003017  0.050192 -0.065741 -0.093989  45.6703346202 -348.0608292199    98.40563
CAFV 11MAR16 2011.2033 55636 1627 3   11.9   3052  0.265627   5059444  0.244482    98  0.410426  0.0000 0.000794 0.000968 0.003195  0.053810 -0.050050 -0.103000  45.6703346031 -348.0608292434    98.41043
CAFV 11MAR17 2011.2060 55637 1627 4   11.9   3052  0.266032   5059444  0.246400    98  0.410577  0.0000 0.000769 0.000947 0.003061  0.043482 -0.053644 -0.108676  45.6703346204 -348.0608292382    98.41058
