site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
ASIA 04MAY04 2004.3395 53129 1269 2   11.5   1972  0.602102   5081229  0.229943  1093  0.619481  0.0000 0.001180 0.001411 0.004656  0.017464 -0.071541 -0.048002  45.8663365301 -348.4745961114  1093.61948
ASIA 04MAY05 2004.3422 53130 1269 3   11.5   1972  0.601013   5081229  0.225309  1093  0.633216  0.0000 0.001130 0.001498 0.004556 -0.017256 -0.069853 -0.052012  45.8663364884 -348.4745961255  1093.63322
ASIA 04MAY06 2004.3450 53131 1269 4   11.5   1972  0.599121   5081229  0.228396  1093  0.625007  0.0000 0.000869 0.001140 0.003511  0.034955 -0.033714 -0.023389  45.8663365162 -348.4745961498  1093.62501
ASIA 04MAY07 2004.3477 53132 1269 5   11.5   1972  0.600323   5081229  0.230566  1093  0.622940  0.0000 0.000955 0.001252 0.003666  0.016161  0.028790 -0.027281  45.8663365357 -348.4745961343  1093.62294
ASIA 04MAY08 2004.3504 53133 1269 6   11.5   1972  0.598810   5081229  0.231433  1093  0.624297  0.0000 0.001031 0.001391 0.004170  0.055994 -0.055881 -0.093369  45.8663365435 -348.4745961538  1093.62430
ASIA 04MAY09 2004.3532 53134 1270 0   11.5   1972  0.601154   5081229  0.230173  1093  0.617332  0.0000 0.001039 0.001377 0.004216  0.047597 -0.089573 -0.054951  45.8663365322 -348.4745961236  1093.61733
ASIA 04MAY10 2004.3559 53135 1270 1   11.5   1972  0.597181   5081229  0.229702  1093  0.620202  0.0000 0.001074 0.001383 0.004457  0.035020 -0.050800 -0.023587  45.8663365280 -348.4745961748  1093.62020
ASIA 04MAY11 2004.3587 53136 1270 2   11.5   1972  0.597547   5081229  0.229535  1093  0.614676  0.0000 0.001219 0.001571 0.004752  0.057861 -0.017099 -0.075782  45.8663365265 -348.4745961701  1093.61468
ASIA 04MAY12 2004.3614 53137 1270 3   11.5   1972  0.598109   5081229  0.233339  1093  0.620802  0.0000 0.001040 0.001375 0.004353  0.022919 -0.009538 -0.026120  45.8663365607 -348.4745961628  1093.62080
ASIA 04MAY13 2004.3641 53138 1270 4   11.5   1972  0.598791   5081229  0.230891  1093  0.618790  0.0000 0.000957 0.001267 0.003917  0.029436 -0.017649 -0.121027  45.8663365387 -348.4745961540  1093.61879
