site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
MGRD 09SEP10 2009.6920 55084 1548 4   12.0   1171  0.732714   5093345  0.339358  1373  0.517364  0.1000 0.001168 0.001377 0.004283 -0.004221  0.081622 -0.021413  45.9753435861 -347.9848804194  1373.51736
MGRD 09SEP11 2009.6947 55085 1548 5   12.0   1171  0.732853   5093345  0.340229  1373  0.522759  0.1000 0.000652 0.000850 0.002515 -0.003257 -0.024588 -0.051840  45.9753435940 -347.9848804176  1373.52276
MGRD 09SEP12 2009.6975 55086 1548 6   12.0   1171  0.733496   5093345  0.339431  1373  0.524031  0.1000 0.000644 0.000842 0.002471 -0.020290 -0.012745 -0.029502  45.9753435868 -347.9848804093  1373.52403
MGRD 09SEP13 2009.7002 55087 1549 0   12.0   1171  0.733473   5093345  0.341470  1373  0.528306  0.1000 0.000662 0.000869 0.002571 -0.013963 -0.008979 -0.050968  45.9753436051 -347.9848804096  1373.52831
MGRD 09SEP14 2009.7029 55088 1549 1   12.0   1171  0.735747   5093345  0.341347  1373  0.542975  0.1000 0.000648 0.000848 0.002481 -0.024974 -0.011625 -0.041266  45.9753436040 -347.9848803803  1373.54298
MGRD 09SEP15 2009.7057 55089 1549 2   12.0   1171  0.736563   5093345  0.340116  1373  0.526829  0.1000 0.000722 0.000943 0.002702  0.030419 -0.011046 -0.068286  45.9753435929 -347.9848803698  1373.52683
MGRD 10MAY20 2010.3819 55336 1584 4   12.0   1171  0.748551   5093345  0.348078  1373  0.521425  0.1000 0.000877 0.001120 0.003364 -0.018699 -0.035634 -0.026344  45.9753436646 -347.9848802150  1373.52142
MGRD 10MAY21 2010.3847 55337 1584 5   12.0   1171  0.748724   5093345  0.348654  1373  0.520744  0.1000 0.000677 0.000852 0.002537  0.006367  0.004327 -0.053408  45.9753436697 -347.9848802128  1373.52074
MGRD 10MAY22 2010.3874 55338 1584 6   12.0   1171  0.749247   5093345  0.346310  1373  0.526622  0.1000 0.000681 0.000849 0.002529 -0.001554  0.010763 -0.051966  45.9753436487 -347.9848802061  1373.52662
MGRD 10MAY23 2010.3901 55339 1585 0   12.0   1171  0.749758   5093345  0.348560  1373  0.524058  0.1000 0.000685 0.000858 0.002585  0.014220 -0.024770 -0.063451  45.9753436689 -347.9848801995  1373.52406
MGRD 10MAY24 2010.3929 55340 1585 1   12.0   1171  0.748451   5093345  0.348662  1373  0.525544  0.1000 0.000675 0.000848 0.002531  0.005413 -0.007599 -0.051912  45.9753436698 -347.9848802163  1373.52554
