site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
SUSE 11FEB20 2011.1376 55612 1624 0   12.2    661  0.691255   5080192  0.749867   221  0.708514  0.0083 0.001378 0.001944 0.007276  0.156273 -0.026474 -0.428804  45.8570113571 -347.7914799234   221.70851
SUSE 11FEB21 2011.1403 55613 1624 1   12.2    661  0.691085   5080192  0.747689   221  0.716405  0.0083 0.000797 0.001031 0.004062  0.114194  0.049949 -0.413130  45.8570113375 -347.7914799256   221.71640
SUSE 11FEB22 2011.1431 55614 1624 2   12.2    661  0.690251   5080192  0.748643   221  0.717541  0.0083 0.000854 0.001119 0.004277  0.123752  0.009703 -0.395467  45.8570113461 -347.7914799364   221.71754
SUSE 11FEB23 2011.1458 55615 1624 3   12.2    661  0.690842   5080192  0.749974   221  0.714826  0.0083 0.000837 0.001134 0.004314  0.102933  0.016680 -0.409694  45.8570113581 -347.7914799287   221.71483
SUSE 11FEB24 2011.1485 55616 1624 4   12.2    661  0.690967   5080192  0.750070   221  0.709644  0.0083 0.000811 0.001067 0.004036  0.138840  0.015869 -0.399959  45.8570113589 -347.7914799271   221.70964
SUSE 11FEB25 2011.1513 55617 1624 5   12.2    661  0.691828   5080192  0.751084   221  0.705600  0.0083 0.000810 0.001075 0.004222  0.133277  0.010823 -0.440986  45.8570113681 -347.7914799161   221.70560
SUSE 11FEB26 2011.1540 55618 1624 6   12.2    661  0.691817   5080192  0.749134   221  0.710308  0.0083 0.000792 0.001050 0.003973  0.116756  0.004311 -0.411546  45.8570113505 -347.7914799162   221.71031
SUSE 11FEB27 2011.1567 55619 1625 0   12.2    661  0.692786   5080192  0.750076   221  0.715615  0.0083 0.000814 0.001060 0.004062  0.134725  0.023107 -0.402862  45.8570113590 -347.7914799037   221.71562
SUSE 11FEB28 2011.1595 55620 1625 1   12.2    661  0.692687   5080192  0.748976   221  0.715547  0.0083 0.000801 0.001053 0.004149  0.102439  0.058175 -0.421234  45.8570113491 -347.7914799050   221.71555
SUSE 11MAR01 2011.1622 55621 1625 2   12.2    661  0.690673   5080192  0.749069   221  0.713596  0.0083 0.000781 0.001055 0.004017  0.118831  0.027165 -0.415561  45.8570113499 -347.7914799309   221.71360
SUSE 11MAR02 2011.1650 55622 1625 3   12.2    661  0.692267   5080192  0.748651   221  0.707140  0.0083 0.000831 0.001078 0.004137  0.139101  0.028249 -0.409324  45.8570113462 -347.7914799104   221.70714
SUSE 11MAR03 2011.1677 55623 1625 4   12.2    661  0.691721   5080192  0.748416   221  0.711183  0.0083 0.000801 0.001047 0.003944  0.147914  0.007203 -0.382417  45.8570113441 -347.7914799174   221.71118
SUSE 11MAR04 2011.1704 55624 1625 5   12.2    661  0.691793   5080192  0.749180   221  0.712498  0.0083 0.000814 0.001074 0.004113  0.147762  0.009846 -0.418240  45.8570113509 -347.7914799165   221.71250
SUSE 11MAR05 2011.1732 55625 1625 6   12.2    661  0.690106   5080192  0.748284   221  0.717890  0.0083 0.000786 0.001044 0.003907  0.111673  0.042854 -0.397015  45.8570113429 -347.7914799382   221.71789
SUSE 11MAR06 2011.1759 55626 1626 0   12.2    661  0.688908   5080192  0.747307   221  0.717509  0.0083 0.000801 0.001058 0.004018  0.127439  0.039434 -0.404335  45.8570113341 -347.7914799537   221.71751
SUSE 11MAR07 2011.1786 55627 1626 1   12.2    661  0.690335   5080192  0.749223   221  0.706192  0.0083 0.000794 0.001050 0.004010  0.111111  0.037069 -0.405840  45.8570113513 -347.7914799353   221.70619
SUSE 11MAR08 2011.1814 55628 1626 2   12.2    661  0.689366   5080192  0.747364   221  0.709743  0.0083 0.000799 0.001081 0.003995  0.129583  0.016706 -0.409234  45.8570113346 -347.7914799477   221.70974
SUSE 11MAR09 2011.1841 55629 1626 3   12.2    661  0.689577   5080192  0.748623   221  0.712790  0.0083 0.000796 0.001042 0.003875  0.123900  0.019423 -0.391961  45.8570113459 -347.7914799450   221.71279
SUSE 11MAR10 2011.1869 55630 1626 4   12.2    661  0.690428   5080192  0.749257   221  0.711334  0.0083 0.000793 0.001030 0.003789  0.139670  0.009784 -0.371499  45.8570113516 -347.7914799341   221.71133
SUSE 11MAR11 2011.1896 55631 1626 5   12.2    661  0.690215   5080192  0.748377   221  0.724784  0.0083 0.000797 0.001031 0.003818  0.157572 -0.003356 -0.369117  45.8570113437 -347.7914799368   221.72478
SUSE 11MAR12 2011.1923 55632 1626 6   12.2    661  0.689726   5080192  0.749430   221  0.720122  0.0083 0.000869 0.001137 0.004220  0.149037 -0.014489 -0.386967  45.8570113532 -347.7914799431   221.72012
SUSE 11MAR13 2011.1951 55633 1627 0   12.2    661  0.691882   5080192  0.747611   221  0.720701  0.0083 0.000819 0.001095 0.003971  0.152622 -0.002557 -0.370445  45.8570113368 -347.7914799154   221.72070
SUSE 11MAR14 2011.1978 55634 1627 1   12.2    661  0.692874   5080192  0.746892   221  0.717401  0.0083 0.000823 0.001090 0.004060  0.102034  0.084109 -0.358227  45.8570113303 -347.7914799026   221.71740
SUSE 11MAR15 2011.2005 55635 1627 2   12.2    661  0.693630   5080192  0.749570   221  0.713347  0.0083 0.000842 0.001125 0.004309  0.149645  0.034809 -0.412208  45.8570113544 -347.7914798929   221.71335
SUSE 11MAR16 2011.2033 55636 1627 3   12.2    661  0.692811   5080192  0.749648   221  0.717746  0.0083 0.000863 0.001103 0.004293  0.124962  0.038392 -0.401078  45.8570113551 -347.7914799034   221.71775
SUSE 11MAR17 2011.2060 55637 1627 4   12.2    661  0.690438   5080192  0.749708   221  0.718883  0.0083 0.000851 0.001039 0.004057  0.108311  0.007737 -0.368338  45.8570113557 -347.7914799339   221.71888
SUSE 11MAR18 2011.2088 55638 1627 5   12.2    661  0.692103   5080192  0.749562   221  0.716523  0.0083 0.000888 0.001141 0.004359  0.144095 -0.054832 -0.408978  45.8570113544 -347.7914799125   221.71652
SUSE 11MAR19 2011.2115 55639 1627 6   12.2    661  0.692074   5080192  0.749303   221  0.717484  0.0083 0.000828 0.001079 0.004134  0.145474 -0.001923 -0.419358  45.8570113520 -347.7914799129   221.71748
SUSE 11MAR20 2011.2142 55640 1628 0   12.2    661  0.691153   5080192  0.751181   221  0.708207  0.0083 0.000858 0.001122 0.004224  0.132177 -0.013004 -0.400315  45.8570113689 -347.7914799247   221.70821
SUSE 11MAR21 2011.2170 55641 1628 1   12.2    661  0.692197   5080192  0.749976   221  0.713979  0.0083 0.000888 0.001100 0.004312  0.129418  0.020331 -0.407177  45.8570113581 -347.7914799113   221.71398
SUSE 11MAR22 2011.2197 55642 1628 2   12.2    661  0.691328   5080192  0.749586   221  0.707811  0.0083 0.000895 0.001099 0.004310  0.134197 -0.012987 -0.389171  45.8570113546 -347.7914799225   221.70781
SUSE 11MAR23 2011.2225 55643 1628 3   12.2    661  0.692467   5080192  0.749513   221  0.708970  0.0083 0.000858 0.001084 0.004224  0.139871  0.045291 -0.411204  45.8570113539 -347.7914799078   221.70897
