site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
CITT 09MAR12 2009.1937 54902 1522 4   11.8   -419 -0.117009   5056016  0.770312    96  0.775060  0.0000 0.000794 0.001027 0.003000 -0.074330 -0.010804 -0.054393  45.6394966235 -348.2053757189    96.77506
CITT 09MAR13 2009.1964 54903 1522 5   11.8   -419 -0.115284   5056016  0.770465    96  0.774873  0.0000 0.000657 0.000856 0.002516 -0.015623  0.012352 -0.112892  45.6394966249 -348.2053756968    96.77487
CITT 09MAR14 2009.1992 54904 1522 6   11.8   -419 -0.115771   5056016  0.771148    96  0.775223  0.0000 0.000648 0.000846 0.002483 -0.013687  0.014113 -0.080948  45.6394966310 -348.2053757030    96.77522
CITT 09MAR15 2009.2019 54905 1523 0   11.8   -419 -0.117071   5056016  0.770379    96  0.769025  0.0000 0.000652 0.000848 0.002489 -0.003832  0.022928 -0.099499  45.6394966241 -348.2053757197    96.76903
CITT 09MAR16 2009.2047 54906 1523 1   11.8   -419 -0.117266   5056016  0.770785    96  0.768804  0.0000 0.000649 0.000850 0.002482 -0.010262  0.000601 -0.096244  45.6394966278 -348.2053757222    96.76880
CITT 09MAR17 2009.2074 54907 1523 2   11.8   -419 -0.116261   5056016  0.770117    96  0.769989  0.0000 0.000649 0.000855 0.002511 -0.009798  0.004983 -0.108597  45.6394966218 -348.2053757093    96.76999
CITT 09MAR18 2009.2101 54908 1523 3   11.8   -419 -0.117376   5056016  0.772552    96  0.768525  0.0000 0.000653 0.000860 0.002521 -0.007431 -0.009713 -0.100957  45.6394966437 -348.2053757236    96.76852
CITT 09MAR20 2009.2156 54910 1523 5   11.8   -419 -0.116004   5056016  0.772009    96  0.774440  0.0000 0.000659 0.000861 0.002540 -0.017123  0.031521 -0.093758  45.6394966388 -348.2053757060    96.77444
CITT 09MAR21 2009.2183 54911 1523 6   11.8   -419 -0.116683   5056016  0.770073    96  0.775487  0.0000 0.000645 0.000845 0.002472 -0.014861  0.030276 -0.104629  45.6394966214 -348.2053757147    96.77549
CITT 09MAR22 2009.2211 54912 1524 0   11.8   -419 -0.116528   5056016  0.768730    96  0.775571  0.0000 0.000650 0.000850 0.002489 -0.022791  0.011674 -0.094698  45.6394966093 -348.2053757127    96.77557
CITT 09MAR23 2009.2238 54913 1524 1   11.8   -419 -0.117712   5056016  0.769026    96  0.781277  0.0000 0.000650 0.000856 0.002516 -0.013865  0.008740 -0.081046  45.6394966119 -348.2053757279    96.78128
CITT 09MAR24 2009.2266 54914 1524 2   11.8   -419 -0.116609   5056016  0.769657    96  0.783626  0.0000 0.000657 0.000858 0.002545 -0.025687  0.054707 -0.109413  45.6394966176 -348.2053757138    96.78363
CITT 09MAR25 2009.2293 54915 1524 3   11.8   -419 -0.115369   5056016  0.769573    96  0.783831  0.0000 0.000654 0.000851 0.002504 -0.011782  0.019675 -0.094316  45.6394966169 -348.2053756979    96.78383
CITT 09MAR26 2009.2320 54916 1524 4   11.8   -419 -0.114583   5056016  0.770037    96  0.777367  0.0000 0.000663 0.000859 0.002565 -0.018254  0.006124 -0.128766  45.6394966210 -348.2053756878    96.77737
CITT 09MAR27 2009.2348 54917 1524 5   11.8   -419 -0.113934   5056016  0.770191    96  0.784763  0.0000 0.000666 0.000865 0.002587 -0.018799  0.038701 -0.107439  45.6394966224 -348.2053756795    96.78476
CITT 09MAR28 2009.2375 54918 1524 6   11.8   -419 -0.113492   5056016  0.770637    96  0.779841  0.0000 0.000660 0.000859 0.002541 -0.011366  0.006035 -0.083114  45.6394966264 -348.2053756738    96.77984
CITT 09MAR29 2009.2402 54919 1525 0   11.8   -419 -0.112396   5056016  0.769899    96  0.775740  0.0000 0.000659 0.000867 0.002543 -0.012720  0.013627 -0.086064  45.6394966198 -348.2053756597    96.77574
CITT 09MAR30 2009.2430 54920 1525 1   11.8   -419 -0.113209   5056016  0.769223    96  0.775469  0.0000 0.000670 0.000859 0.002574 -0.006264  0.011488 -0.101523  45.6394966137 -348.2053756702    96.77547
CITT 09MAR31 2009.2457 54921 1525 2   11.8   -419 -0.114245   5056016  0.771472    96  0.778629  0.0000 0.000656 0.000854 0.002513  0.000472 -0.009591 -0.102353  45.6394966340 -348.2053756835    96.77863
CITT 09APR01 2009.2485 54922 1525 3   11.8   -419 -0.112935   5056016  0.769978    96  0.777860  0.0000 0.000667 0.000864 0.002574 -0.004548  0.033827 -0.078126  45.6394966205 -348.2053756667    96.77786
CITT 09APR02 2009.2512 54923 1525 4   11.8   -419 -0.112588   5056016  0.770250    96  0.773169  0.0000 0.000681 0.000875 0.002602 -0.017941  0.005763 -0.103841  45.6394966230 -348.2053756622    96.77317
CITT 09APR03 2009.2539 54924 1525 5   11.8   -419 -0.113139   5056016  0.769069    96  0.773711  0.0000 0.000687 0.000889 0.002648 -0.026455 -0.002590 -0.095046  45.6394966123 -348.2053756693    96.77371
CITT 09APR04 2009.2567 54925 1525 6   11.8   -419 -0.114805   5056016  0.770049    96  0.769915  0.0000 0.000668 0.000869 0.002592  0.009796 -0.008903 -0.099728  45.6394966212 -348.2053756906    96.76991
CITT 09APR05 2009.2594 54926 1526 0   11.8   -419 -0.114790   5056016  0.770866    96  0.771504  0.0000 0.000672 0.000861 0.002590 -0.016706  0.023328 -0.123484  45.6394966285 -348.2053756904    96.77150
CITT 09APR06 2009.2621 54927 1526 1   11.8   -419 -0.114047   5056016  0.769177    96  0.778342  0.0000 0.000665 0.000854 0.002523 -0.012259  0.023637 -0.084517  45.6394966133 -348.2053756809    96.77834
CITT 09APR07 2009.2649 54928 1526 2   11.8   -419 -0.113445   5056016  0.770754    96  0.780065  0.0000 0.000664 0.000856 0.002531 -0.001531  0.034851 -0.094063  45.6394966275 -348.2053756732    96.78007
CITT 09APR08 2009.2676 54929 1526 3   11.8   -419 -0.112852   5056016  0.769676    96  0.775711  0.0000 0.000666 0.000860 0.002562 -0.013770  0.023849 -0.105352  45.6394966178 -348.2053756656    96.77571
CITT 09APR09 2009.2704 54930 1526 4   11.8   -419 -0.112742   5056016  0.771963    96  0.773967  0.0000 0.000668 0.000854 0.002549 -0.007217  0.037073 -0.121506  45.6394966384 -348.2053756642    96.77397
CITT 09APR10 2009.2731 54931 1526 5   11.8   -419 -0.112473   5056016  0.772600    96  0.778912  0.0000 0.000660 0.000853 0.002518 -0.012933  0.022488 -0.092533  45.6394966441 -348.2053756607    96.77891
CITT 09APR11 2009.2758 54932 1526 6   11.8   -419 -0.113095   5056016  0.771323    96  0.782406  0.0000 0.000658 0.000850 0.002496 -0.008427  0.036207 -0.096697  45.6394966326 -348.2053756687    96.78241
CITT 09APR12 2009.2786 54933 1527 0   11.8   -419 -0.113530   5056016  0.771908    96  0.774700  0.0000 0.000662 0.000861 0.002540 -0.018178  0.016854 -0.083895  45.6394966379 -348.2053756743    96.77470
CITT 09APR13 2009.2813 54934 1527 1   11.8   -419 -0.112550   5056016  0.771922    96  0.784882  0.0000 0.000671 0.000871 0.002588  0.001251  0.006415 -0.109953  45.6394966380 -348.2053756617    96.78488
CITT 09APR14 2009.2841 54935 1527 2   11.8   -419 -0.113016   5056016  0.772538    96  0.781190  0.0000 0.000670 0.000862 0.002554 -0.019204  0.027810 -0.088216  45.6394966435 -348.2053756677    96.78119
CITT 09APR15 2009.2868 54936 1527 3   11.8   -419 -0.110622   5056016  0.772143    96  0.783190  0.0000 0.000668 0.000874 0.002578 -0.017058  0.025529 -0.087649  45.6394966400 -348.2053756370    96.78319
CITT 09APR16 2009.2895 54937 1527 4   11.8   -419 -0.114095   5056016  0.771024    96  0.773709  0.0000 0.000678 0.000881 0.002645 -0.035717  0.031304 -0.085001  45.6394966299 -348.2053756815    96.77371
CITT 09APR17 2009.2923 54938 1527 5   11.8   -419 -0.114865   5056016  0.771762    96  0.775843  0.0000 0.000668 0.000868 0.002579 -0.018362  0.036727 -0.092680  45.6394966366 -348.2053756914    96.77584
