site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
FDOS 10OCT20 2010.8008 55489 1606 3   11.7   1833  0.322416   5129871  0.089339  1889  0.322987  0.0000 0.000729 0.000988 0.003022  0.030732  0.005023 -0.140620  46.3039483574 -348.2762023768  1889.32299
FDOS 10OCT21 2010.8036 55490 1606 4   11.7   1833  0.323873   5129871  0.089362  1889  0.322120  0.0000 0.000726 0.000987 0.003021  0.033085  0.007419 -0.158798  46.3039483576 -348.2762023579  1889.32212
FDOS 10OCT22 2010.8063 55491 1606 5   11.7   1833  0.321794   5129871  0.089704  1889  0.322400  0.0000 0.000731 0.000984 0.003021  0.031660  0.011456 -0.159744  46.3039483607 -348.2762023849  1889.32240
FDOS 10OCT23 2010.8090 55492 1606 6   11.7   1833  0.320753   5129871  0.091592  1889  0.324083  0.0000 0.000734 0.000993 0.003062  0.030005  0.011581 -0.166774  46.3039483777 -348.2762023984  1889.32408
FDOS 10OCT24 2010.8118 55493 1607 0   11.7   1833  0.321441   5129871  0.090495  1889  0.331180  0.0000 0.000727 0.000986 0.003016  0.029112 -0.007953 -0.155479  46.3039483678 -348.2762023894  1889.33118
FDOS 10OCT25 2010.8145 55494 1607 1   11.7   1833  0.320405   5129871  0.089713  1889  0.334178  0.0000 0.000734 0.000980 0.003027  0.037304 -0.009026 -0.160546  46.3039483608 -348.2762024029  1889.33418
FDOS 10OCT26 2010.8172 55495 1607 2   11.7   1833  0.319790   5129871  0.087770  1889  0.331565  0.0000 0.000749 0.001000 0.003125  0.008378  0.004275 -0.152718  46.3039483433 -348.2762024109  1889.33156
FDOS 10OCT27 2010.8200 55496 1607 3   11.7   1833  0.322377   5129871  0.088818  1889  0.322692  0.0000 0.000741 0.000993 0.003084  0.019146  0.006589 -0.176765  46.3039483528 -348.2762023773  1889.32269
FDOS 10OCT28 2010.8227 55497 1607 4   11.7   1833  0.323163   5129871  0.091274  1889  0.324697  0.0000 0.000730 0.000989 0.003056  0.029181  0.006318 -0.170211  46.3039483748 -348.2762023671  1889.32470
FDOS 10OCT29 2010.8255 55498 1607 5   11.7   1833  0.324601   5129871  0.091480  1889  0.324273  0.0000 0.000726 0.000988 0.003023  0.032065 -0.000742 -0.168967  46.3039483767 -348.2762023484  1889.32427
FDOS 10OCT30 2010.8282 55499 1607 6   11.7   1833  0.323553   5129871  0.088285  1889  0.330985  0.0000 0.000744 0.000993 0.003097  0.034880  0.017050 -0.174605  46.3039483480 -348.2762023620  1889.33098
FDOS 10OCT31 2010.8309 55500 1608 0   11.7   1833  0.324066   5129871  0.089889  1889  0.331330  0.0000 0.000763 0.001033 0.003178  0.019312  0.033016 -0.179185  46.3039483624 -348.2762023554  1889.33133
