site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
KOE2 01JUN01 2001.4155 52061 1116 5   13.0    715  0.350462   5171033  0.209829   755  0.973127  0.1340 0.000841 0.001177 0.003644  0.088376 -0.042360 -0.058880  46.6742416112 -346.9906510939   755.97313
KOE2 01JUN02 2001.4182 52062 1116 6   13.0    715  0.347468   5171033  0.210435   755  0.978931  0.1340 0.000859 0.001198 0.003742  0.121921 -0.029121 -0.029831  46.6742416166 -346.9906511330   755.97893
KOE2 01JUN03 2001.4209 52063 1117 0   13.0    715  0.349607   5171033  0.209253   755  0.979736  0.1340 0.000834 0.001125 0.003581  0.114231 -0.091340 -0.019120  46.6742416060 -346.9906511050   755.97974
KOE2 01JUN04 2001.4237 52064 1117 1   13.0    715  0.350002   5171033  0.209816   755  0.983085  0.1340 0.000862 0.001174 0.003697  0.137356 -0.044268 -0.032689  46.6742416111 -346.9906510999   755.98309
KOE2 01JUN05 2001.4264 52065 1117 2   13.0    715  0.348249   5171033  0.206364   755  0.969429  0.1340 0.000861 0.001150 0.003595  0.139362 -0.027696 -0.003601  46.6742415800 -346.9906511228   755.96943
KOE2 01JUN06 2001.4292 52066 1117 3   13.0    715  0.348307   5171033  0.213205   755  0.985566  0.1340 0.000841 0.001120 0.003546  0.122627 -0.066700 -0.020043  46.6742416416 -346.9906511220   755.98557
KOE2 01JUN07 2001.4319 52067 1117 4   13.0    715  0.350863   5171033  0.207271   755  0.982820  0.1340 0.000854 0.001183 0.003689  0.153743 -0.020290 -0.035384  46.6742415882 -346.9906510886   755.98282
KOE2 01JUN08 2001.4346 52068 1117 5   13.0    715  0.346469   5171033  0.209090   755  0.975499  0.1340 0.000849 0.001205 0.003722  0.094015 -0.020249 -0.037487  46.6742416045 -346.9906511460   755.97550
KOE2 01JUN09 2001.4374 52069 1117 6   13.0    715  0.348526   5171033  0.208730   755  0.971102  0.1340 0.000844 0.001163 0.003599  0.136640 -0.024273 -0.015176  46.6742416013 -346.9906511192   755.97110
KOE2 01JUN10 2001.4401 52070 1118 0   13.0    715  0.351325   5171033  0.199458   755  0.974607  0.1340 0.000873 0.001173 0.003812  0.090396 -0.080877 -0.046218  46.6742415179 -346.9906510826   755.97461
KOE2 01JUN11 2001.4428 52071 1118 1   13.0    715  0.349829   5171033  0.213103   755  0.958769  0.1340 0.000853 0.001167 0.003764  0.082333 -0.076754  0.002878  46.6742416406 -346.9906511021   755.95877
KOE2 01JUN12 2001.4456 52072 1118 2   13.0    715  0.347294   5171033  0.209966   755  0.975862  0.1340 0.000831 0.001167 0.003592  0.088397 -0.003943 -0.052581  46.6742416124 -346.9906511353   755.97586
KOE2 01JUN13 2001.4483 52073 1118 3   13.0    715  0.347827   5171033  0.210292   755  0.976824  0.1340 0.000873 0.001172 0.003757  0.073928 -0.060674 -0.057424  46.6742416154 -346.9906511283   755.97682
KOE2 01JUN14 2001.4511 52074 1118 4   13.0    715  0.346917   5171033  0.208482   755  0.978242  0.1340 0.000816 0.001135 0.003552  0.089365 -0.033768 -0.034898  46.6742415991 -346.9906511402   755.97824
