site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
KOPE 06JAN01 2006.0014 53736 1356 0   13.7   1917  0.572544   5045859  0.602461    52  0.692337  0.0650 0.000723 0.000911 0.002811  0.036607  0.056443 -0.093182  45.5481086552 -346.2754445342    52.69234
KOPE 06JAN02 2006.0041 53737 1356 1   13.7   1917  0.571708   5045859  0.601925    52  0.690247  0.0650 0.001025 0.001427 0.004068  0.016848  0.108231 -0.071713  45.5481086504 -346.2754445449    52.69025
KOPE 06JAN03 2006.0068 53738 1356 2   13.7   1917  0.572299   5045859  0.604777    52  0.690322  0.0650 0.000868 0.001051 0.003325  0.015735  0.063871 -0.077140  45.5481086761 -346.2754445374    52.69032
KOPE 06JAN04 2006.0096 53739 1356 3   13.7   1917  0.573283   5045859  0.607665    52  0.693690  0.0650 0.000730 0.000918 0.002884  0.002720  0.114950 -0.092486  45.5481087021 -346.2754445247    52.69369
KOPE 06JAN05 2006.0123 53740 1356 4   13.7   1917  0.573266   5045859  0.603519    52  0.691589  0.0650 0.000730 0.000918 0.002872 -0.015713  0.092279 -0.094022  45.5481086647 -346.2754445250    52.69159
KOPE 06JAN06 2006.0151 53741 1356 5   13.7   1917  0.571388   5045859  0.604217    52  0.688232  0.0650 0.000923 0.001226 0.003635  0.034697  0.089973 -0.102665  45.5481086710 -346.2754445490    52.68823
KOPE 06JAN07 2006.0178 53742 1356 6   13.7   1917  0.573235   5045859  0.603339    52  0.690263  0.0650 0.000910 0.001092 0.003507 -0.022264  0.008892 -0.109275  45.5481086631 -346.2754445254    52.69026
KOPE 06JAN08 2006.0205 53743 1357 0   13.7   1917  0.573902   5045859  0.606906    52  0.691250  0.0650 0.000715 0.000917 0.002788  0.029030  0.046113 -0.069969  45.5481086952 -346.2754445168    52.69125
KOPE 06JAN09 2006.0233 53744 1357 1   13.7   1917  0.573064   5045859  0.605348    52  0.687362  0.0650 0.000736 0.000938 0.002972  0.009954  0.033627 -0.114048  45.5481086812 -346.2754445276    52.68736
KOPE 06JAN10 2006.0260 53745 1357 2   13.7   1917  0.573955   5045859  0.605526    52  0.686861  0.0650 0.000729 0.000941 0.002948  0.013608  0.034025 -0.105339  45.5481086828 -346.2754445161    52.68686
KOPE 06JAN11 2006.0287 53746 1357 3   13.7   1917  0.572196   5045859  0.605525    52  0.688874  0.0650 0.000714 0.000907 0.002813 -0.015124  0.067207 -0.103556  45.5481086828 -346.2754445387    52.68887
KOPE 06JAN12 2006.0315 53747 1357 4   13.7   1917  0.573135   5045859  0.606415    52  0.689128  0.0650 0.000708 0.000897 0.002742 -0.012128  0.045272 -0.095262  45.5481086908 -346.2754445266    52.68913
