site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
BORM 07DEC23 2007.9754 54457 1459 0   10.4  -2766 -0.898333   5148127  0.142880  1263  0.365120  0.0749 0.000892 0.001166 0.003964  0.023743  0.023762 -0.197777  46.4681822628 -349.6360238702  1263.36512
BORM 07DEC24 2007.9781 54458 1459 1   10.4  -2766 -0.896023   5148127  0.141206  1263  0.361033  0.0749 0.000919 0.001199 0.004088  0.032463  0.042273 -0.207699  46.4681822477 -349.6360238402  1263.36103
BORM 07DEC25 2007.9808 54459 1459 2   10.4  -2766 -0.896027   5148127  0.143672  1263  0.367735  0.0749 0.000906 0.001157 0.004010  0.030151 -0.022488 -0.210398  46.4681822699 -349.6360238402  1263.36774
BORM 07DEC26 2007.9836 54460 1459 3   10.4  -2766 -0.895393   5148127  0.142572  1263  0.364372  0.0749 0.000886 0.001144 0.003907  0.023644  0.006491 -0.201299  46.4681822600 -349.6360238320  1263.36437
BORM 07DEC27 2007.9863 54461 1459 4   10.4  -2766 -0.894342   5148127  0.141994  1263  0.365571  0.0749 0.000915 0.001176 0.003980  0.034167 -0.012342 -0.213530  46.4681822548 -349.6360238183  1263.36557
BORM 07DEC28 2007.9890 54462 1459 5   10.4  -2766 -0.896851   5148127  0.142873  1263  0.363718  0.0749 0.000917 0.001191 0.004020  0.037854 -0.015434 -0.221741  46.4681822627 -349.6360238510  1263.36372
BORM 07DEC29 2007.9918 54463 1459 6   10.4  -2766 -0.896301   5148127  0.142657  1263  0.367373  0.0749 0.000911 0.001161 0.003974  0.035140  0.002889 -0.231447  46.4681822608 -349.6360238438  1263.36737
BORM 07DEC30 2007.9945 54464 1460 0   10.4  -2766 -0.895207   5148127  0.144732  1263  0.371047  0.0749 0.000903 0.001186 0.003923  0.041933  0.019305 -0.168473  46.4681822795 -349.6360238296  1263.37105
BORM 07DEC31 2007.9973 54465 1460 1   10.4  -2766 -0.895495   5148127  0.144070  1263  0.368743  0.0749 0.000896 0.001169 0.003969  0.027354  0.008360 -0.185256  46.4681822735 -349.6360238333  1263.36874
BORM 08JAN01 2008.0000 54466 1460 2   10.4  -2766 -0.896439   5148127  0.144493  1263  0.365907  0.0749 0.000884 0.001113 0.003844 -0.001853  0.014042 -0.228862  46.4681822773 -349.6360238456  1263.36591
BORM 08JAN02 2008.0027 54467 1460 3   10.4  -2766 -0.896015   5148127  0.144317  1263  0.370612  0.0749 0.000875 0.001119 0.003787  0.010546  0.035881 -0.218064  46.4681822757 -349.6360238401  1263.37061
BORM 08JAN03 2008.0055 54468 1460 4   10.4  -2766 -0.896534   5148127  0.142181  1263  0.371374  0.0749 0.000870 0.001121 0.003781  0.005888  0.035245 -0.208002  46.4681822565 -349.6360238468  1263.37137
BORM 08JAN04 2008.0082 54469 1460 5   10.4  -2766 -0.894621   5148127  0.142545  1263  0.359093  0.0749 0.000877 0.001101 0.003748  0.018732  0.022704 -0.195882  46.4681822598 -349.6360238219  1263.35909
BORM 08JAN05 2008.0110 54470 1460 6   10.4  -2766 -0.895874   5148127  0.141353  1263  0.359290  0.0749 0.000883 0.001135 0.003811  0.031279  0.028614 -0.153945  46.4681822491 -349.6360238382  1263.35929
BORM 08JAN06 2008.0137 54471 1461 0   10.4  -2766 -0.896015   5148127  0.142850  1263  0.359837  0.0749 0.000872 0.001099 0.003745 -0.004380  0.029800 -0.196114  46.4681822625 -349.6360238401  1263.35984
BORM 08JAN07 2008.0164 54472 1461 1   10.4  -2766 -0.894946   5148127  0.142330  1263  0.369448  0.0749 0.000862 0.001098 0.003715 -0.026516  0.047512 -0.201941  46.4681822579 -349.6360238262  1263.36945
BORM 08JAN08 2008.0192 54473 1461 2   10.4  -2766 -0.895829   5148127  0.141919  1263  0.368883  0.0749 0.000877 0.001101 0.003777 -0.005297  0.025931 -0.186712  46.4681822542 -349.6360238377  1263.36888
BORM 08JAN09 2008.0219 54474 1461 3   10.4  -2766 -0.894691   5148127  0.141472  1263  0.371513  0.0749 0.000878 0.001115 0.003809  0.000396  0.010310 -0.168123  46.4681822501 -349.6360238228  1263.37151
BORM 08JAN10 2008.0246 54475 1461 4   10.4  -2766 -0.895965   5148127  0.141957  1263  0.371919  0.0749 0.000853 0.001068 0.003671 -0.020793  0.026391 -0.223451  46.4681822545 -349.6360238394  1263.37192
BORM 08JAN11 2008.0274 54476 1461 5   10.4  -2766 -0.897455   5148127  0.140110  1263  0.369285  0.0749 0.000857 0.001090 0.003719 -0.023717  0.040319 -0.207515  46.4681822379 -349.6360238588  1263.36929
BORM 08JAN12 2008.0301 54477 1461 6   10.4  -2766 -0.897422   5148127  0.142167  1263  0.369249  0.0749 0.000867 0.001111 0.003787 -0.003727  0.038093 -0.195436  46.4681822564 -349.6360238584  1263.36925
BORM 08JAN13 2008.0329 54478 1462 0   10.4  -2766 -0.895152   5148127  0.144126  1263  0.369110  0.0749 0.000860 0.001128 0.003792 -0.013780  0.054954 -0.174394  46.4681822740 -349.6360238288  1263.36911
BORM 08JAN14 2008.0356 54479 1462 1   10.4  -2766 -0.895389   5148127  0.142517  1263  0.368476  0.0749 0.000857 0.001120 0.003751 -0.010632  0.051886 -0.177445  46.4681822595 -349.6360238319  1263.36848
BORM 08JAN15 2008.0383 54480 1462 2   10.4  -2766 -0.894495   5148127  0.141519  1263  0.365756  0.0749 0.000856 0.001104 0.003746 -0.020305  0.043347 -0.193394  46.4681822506 -349.6360238203  1263.36576
BORM 08JAN16 2008.0411 54481 1462 3   10.4  -2766 -0.896631   5148127  0.140028  1263  0.361665  0.0749 0.000878 0.001155 0.003843  0.050208  0.028875 -0.145848  46.4681822371 -349.6360238481  1263.36167
BORM 08JAN17 2008.0438 54482 1462 4   10.4  -2766 -0.894733   5148127  0.144246  1263  0.368117  0.0749 0.000885 0.001175 0.003915  0.032214  0.016358 -0.157097  46.4681822751 -349.6360238234  1263.36812
