site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
BRBZ 07DEC23 2007.9754 54457 1459 0   11.9   3156  0.167497   5184630  0.175653   903  0.748464  0.0000 0.000725 0.001041 0.003077  0.024114  0.011585 -0.078447  46.7965542348 -348.0586587198   903.74846
BRBZ 07DEC24 2007.9781 54458 1459 1   11.9   3156  0.169421   5184630  0.174865   903  0.746105  0.0000 0.000723 0.001047 0.003051  0.017411  0.035873 -0.081475  46.7965542277 -348.0586586947   903.74610
BRBZ 07DEC25 2007.9808 54459 1459 2   11.9   3156  0.168577   5184630  0.175251   903  0.744246  0.0000 0.000734 0.001053 0.003114  0.017224  0.025848 -0.070192  46.7965542312 -348.0586587057   903.74425
BRBZ 07DEC26 2007.9836 54460 1459 3   11.9   3156  0.169138   5184630  0.175159   903  0.743524  0.0000 0.000731 0.001056 0.003126  0.029335 -0.033115 -0.094550  46.7965542304 -348.0586586984   903.74352
BRBZ 07DEC27 2007.9863 54461 1459 4   11.9   3156  0.170864   5184630  0.173892   903  0.742357  0.0000 0.000736 0.001054 0.003065  0.008227 -0.001819 -0.079118  46.7965542189 -348.0586586758   903.74236
BRBZ 07DEC28 2007.9890 54462 1459 5   11.9   3156  0.167406   5184630  0.176084   903  0.741994  0.0000 0.000739 0.001061 0.003109  0.029700 -0.052859 -0.101968  46.7965542387 -348.0586587210   903.74199
BRBZ 07DEC29 2007.9918 54463 1459 6   11.9   3156  0.168034   5184630  0.175444   903  0.750283  0.0000 0.000731 0.001051 0.003043  0.022516  0.013960 -0.088946  46.7965542329 -348.0586587128   903.75028
BRBZ 07DEC30 2007.9945 54464 1460 0   11.9   3156  0.168641   5184630  0.175908   903  0.746734  0.0000 0.000739 0.001068 0.003082  0.014437 -0.007000 -0.048383  46.7965542371 -348.0586587049   903.74673
BRBZ 07DEC31 2007.9973 54465 1460 1   11.9   3156  0.168769   5184630  0.170578   903  0.742546  0.0000 0.000734 0.001066 0.003160  0.000088  0.010296 -0.059770  46.7965541891 -348.0586587032   903.74255
BRBZ 08JAN01 2008.0000 54466 1460 2   11.9   3156  0.168748   5184630  0.175826   903  0.746033  0.0000 0.000719 0.001035 0.003060  0.007548 -0.045817 -0.072317  46.7965542364 -348.0586587035   903.74603
BRBZ 08JAN02 2008.0027 54467 1460 3   11.9   3156  0.168688   5184630  0.177257   903  0.750886  0.0000 0.000727 0.001043 0.003039  0.014964  0.007151 -0.066313  46.7965542492 -348.0586587042   903.75089
BRBZ 08JAN03 2008.0055 54468 1460 4   11.9   3156  0.169129   5184630  0.176299   903  0.753996  0.0000 0.000709 0.001005 0.002931  0.007478  0.000199 -0.073629  46.7965542406 -348.0586586985   903.75400
BRBZ 08JAN04 2008.0082 54469 1460 5   11.9   3156  0.170730   5184630  0.176006   903  0.752539  0.0000 0.000709 0.001013 0.002961  0.010389  0.011914 -0.074170  46.7965542380 -348.0586586775   903.75254
BRBZ 08JAN05 2008.0110 54470 1460 6   11.9   3156  0.171357   5184630  0.175059   903  0.746451  0.0000 0.000715 0.001023 0.002991  0.008215  0.030090 -0.058610  46.7965542294 -348.0586586693   903.74645
BRBZ 08JAN06 2008.0137 54471 1461 0   11.9   3156  0.168891   5184630  0.173357   903  0.743627  0.0000 0.000739 0.001037 0.003173  0.022777 -0.055317 -0.074570  46.7965542141 -348.0586587016   903.74363
BRBZ 08JAN07 2008.0164 54472 1461 1   11.9   3156  0.169461   5184630  0.174775   903  0.750820  0.0000 0.000722 0.001032 0.003054  0.007576 -0.048381 -0.053598  46.7965542269 -348.0586586941   903.75082
BRBZ 08JAN08 2008.0192 54473 1461 2   11.9   3156  0.170163   5184630  0.174529   903  0.747200  0.0000 0.000728 0.001025 0.003055  0.029265 -0.036341 -0.048304  46.7965542247 -348.0586586849   903.74720
BRBZ 08JAN09 2008.0219 54474 1461 3   11.9   3156  0.171797   5184630  0.173530   903  0.748155  0.0000 0.000726 0.001025 0.003046  0.006882 -0.030861 -0.049793  46.7965542157 -348.0586586635   903.74815
BRBZ 08JAN10 2008.0246 54475 1461 4   11.9   3156  0.170733   5184630  0.174823   903  0.746246  0.0000 0.000721 0.001012 0.003002 -0.001162  0.016253 -0.054666  46.7965542273 -348.0586586775   903.74625
BRBZ 08JAN11 2008.0274 54476 1461 5   11.9   3156  0.171349   5184630  0.172921   903  0.750125  0.0000 0.000713 0.001016 0.002968  0.003275  0.026687 -0.054072  46.7965542102 -348.0586586694   903.75012
BRBZ 08JAN12 2008.0301 54477 1461 6   11.9   3156  0.171136   5184630  0.173849   903  0.752489  0.0000 0.000722 0.001022 0.003029 -0.000599 -0.004997 -0.036900  46.7965542186 -348.0586586722   903.75249
BRBZ 08JAN13 2008.0329 54478 1462 0   11.9   3156  0.171294   5184630  0.174613   903  0.746333  0.0000 0.000708 0.001015 0.002986  0.009245 -0.007723 -0.062414  46.7965542254 -348.0586586701   903.74633
BRBZ 08JAN14 2008.0356 54479 1462 1   11.9   3156  0.171095   5184630  0.174555   903  0.751374  0.0000 0.000711 0.001016 0.003002 -0.000202 -0.001479 -0.068043  46.7965542249 -348.0586586727   903.75137
BRBZ 08JAN15 2008.0383 54480 1462 2   11.9   3156  0.172766   5184630  0.173859   903  0.751361  0.0000 0.000705 0.001012 0.002943 -0.002775  0.010093 -0.056495  46.7965542187 -348.0586586509   903.75136
