site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
BTAC 07AUG27 2007.6523 54339 1442 1   11.3  -1702 -0.779665   5013595  0.251528    71  0.360255  0.0000 0.000870 0.001136 0.003676 -0.015138  0.017246 -0.098223  45.2578040675 -348.7216935470    71.36026
BTAC 07AUG30 2007.6605 54342 1442 4   11.3  -1702 -0.780300   5013595  0.253621    71  0.364520  0.0000 0.000894 0.001183 0.003921 -0.005088  0.023562 -0.097987  45.2578040863 -348.7216935551    71.36452
BTAC 07AUG31 2007.6632 54343 1442 5   11.3  -1702 -0.780785   5013595  0.252948    71  0.368998  0.0000 0.000866 0.001127 0.003699 -0.008406  0.017282 -0.096442  45.2578040802 -348.7216935613    71.36900
BTAC 07SEP01 2007.6660 54344 1442 6   11.3  -1702 -0.778810   5013595  0.252641    71  0.363115  0.0000 0.000858 0.001114 0.003636  0.010430 -0.000110 -0.089086  45.2578040775 -348.7216935361    71.36312
BTAC 07SEP02 2007.6687 54345 1443 0   11.3  -1702 -0.779207   5013595  0.253450    71  0.363404  0.0000 0.000854 0.001113 0.003598  0.016308  0.012620 -0.087574  45.2578040848 -348.7216935412    71.36340
BTAC 07SEP03 2007.6715 54346 1443 1   11.3  -1702 -0.779889   5013595  0.253965    71  0.363903  0.0000 0.000859 0.001117 0.003623  0.013363  0.018989 -0.058418  45.2578040894 -348.7216935499    71.36390
BTAC 07SEP06 2007.6797 54349 1443 4   11.3  -1702 -0.780642   5013595  0.256084    71  0.361238  0.0000 0.000855 0.001114 0.003621  0.014299  0.006611 -0.077935  45.2578041085 -348.7216935595    71.36124
BTAC 07SEP07 2007.6824 54350 1443 5   11.3  -1702 -0.779557   5013595  0.255057    71  0.357359  0.0000 0.000846 0.001109 0.003584  0.009463  0.001029 -0.085288  45.2578040992 -348.7216935456    71.35736
BTAC 07SEP08 2007.6851 54351 1443 6   11.3  -1702 -0.779476   5013595  0.255216    71  0.361497  0.0000 0.000869 0.001138 0.003670 -0.006040  0.025532 -0.061545  45.2578041006 -348.7216935446    71.36150
BTAC 07SEP09 2007.6879 54352 1444 0   11.3  -1702 -0.778005   5013595  0.253759    71  0.360220  0.0000 0.000869 0.001146 0.003669 -0.017008  0.006745 -0.059078  45.2578040875 -348.7216935259    71.36022
BTAC 07SEP10 2007.6906 54353 1444 1   11.3  -1702 -0.777654   5013595  0.254970    71  0.359398  0.0000 0.000863 0.001149 0.003717  0.007346  0.000212 -0.051590  45.2578040984 -348.7216935214    71.35940
BTAC 07SEP11 2007.6934 54354 1444 2   11.3  -1702 -0.778600   5013595  0.255556    71  0.356986  0.0000 0.000871 0.001137 0.003716  0.021229  0.005513 -0.077031  45.2578041037 -348.7216935334    71.35699
BTAC 07SEP12 2007.6961 54355 1444 3   11.3  -1702 -0.778373   5013595  0.254893    71  0.355941  0.0000 0.000859 0.001120 0.003654  0.003507  0.008384 -0.076842  45.2578040977 -348.7216935305    71.35594
BTAC 07SEP15 2007.7043 54358 1444 6   11.3  -1702 -0.776317   5013595  0.255290    71  0.354833  0.0000 0.000880 0.001152 0.003736  0.018433  0.022250 -0.044060  45.2578041013 -348.7216935044    71.35483
BTAC 07SEP16 2007.7070 54359 1445 0   11.3  -1702 -0.777564   5013595  0.256834    71  0.352820  0.0000 0.000879 0.001154 0.003782  0.007721  0.034584 -0.090203  45.2578041152 -348.7216935202    71.35282
BTAC 07SEP17 2007.7098 54360 1445 1   11.3  -1702 -0.778850   5013595  0.256026    71  0.359722  0.0000 0.000872 0.001144 0.003733  0.007189 -0.000437 -0.072814  45.2578041079 -348.7216935366    71.35972
BTAC 09FEB17 2009.1307 54879 1519 2   11.3  -1702 -0.748576   5013595  0.280414    71  0.353407  0.0000 0.000796 0.001039 0.003436 -0.036129  0.043492 -0.070369  45.2578043274 -348.7216931510    71.35341
BTAC 09FEB20 2009.1389 54882 1519 5   11.3  -1702 -0.747707   5013595  0.281697    71  0.351904  0.0000 0.000786 0.001038 0.003362 -0.023598  0.051193 -0.090901  45.2578043389 -348.7216931399    71.35190
BTAC 09FEB22 2009.1444 54884 1520 0   11.3  -1702 -0.749340   5013595  0.281211    71  0.347311  0.0000 0.000780 0.001017 0.003318 -0.024932  0.060872 -0.109938  45.2578043346 -348.7216931607    71.34731
BTAC 09FEB24 2009.1499 54886 1520 2   11.3  -1702 -0.748457   5013595  0.281007    71  0.347625  0.0000 0.000797 0.001016 0.003359 -0.062513  0.098352 -0.104258  45.2578043327 -348.7216931495    71.34763
BTAC 09MAR06 2009.1773 54896 1521 5   11.3  -1702 -0.747646   5013595  0.283135    71  0.363202  0.0000 0.000810 0.001046 0.003487  0.009551  0.035135 -0.164474  45.2578043519 -348.7216931392    71.36320
BTAC 09MAR18 2009.2101 54908 1523 3   11.3  -1702 -0.749872   5013595  0.283040    71  0.345189  0.0000 0.000810 0.001041 0.003522 -0.050197  0.063935 -0.192108  45.2578043510 -348.7216931675    71.34519
BTAC 09MAR19 2009.2129 54909 1523 4   11.3  -1702 -0.748932   5013595  0.283286    71  0.349717  0.0000 0.000811 0.001081 0.003619 -0.031484  0.071975 -0.127714  45.2578043532 -348.7216931556    71.34972
BTAC 09MAR20 2009.2156 54910 1523 5   11.3  -1702 -0.748533   5013595  0.282955    71  0.354216  0.0000 0.000804 0.001031 0.003510 -0.062978  0.136373 -0.145131  45.2578043502 -348.7216931505    71.35422
BTAC 10JAN15 2010.0397 55211 1566 5   11.3  -1702 -0.728076   5013595  0.295264    71  0.355754  0.0000 0.000691 0.000886 0.002723  0.042637 -0.037518 -0.058434  45.2578044610 -348.7216928899    71.35575
BTAC 10JAN18 2010.0479 55214 1567 1   11.3  -1702 -0.727644   5013595  0.295557    71  0.350620  0.0000 0.000680 0.000879 0.002706 -0.014129  0.002899 -0.093033  45.2578044636 -348.7216928844    71.35062
BTAC 10JAN19 2010.0507 55215 1567 2   11.3  -1702 -0.727192   5013595  0.295865    71  0.350998  0.0000 0.000696 0.000889 0.002778 -0.013525  0.018280 -0.074290  45.2578044664 -348.7216928786    71.35100
BTAC 10JAN22 2010.0589 55218 1567 5   11.3  -1702 -0.728976   5013595  0.296513    71  0.352566  0.0000 0.000676 0.000873 0.002673  0.010215 -0.003412 -0.104547  45.2578044722 -348.7216929014    71.35257
BTAC 10JAN23 2010.0616 55219 1567 6   11.3  -1702 -0.728927   5013595  0.296316    71  0.351812  0.0000 0.000683 0.000877 0.002702  0.005160  0.000038 -0.114339  45.2578044705 -348.7216929007    71.35181
BTAC 10JAN27 2010.0726 55223 1568 3   11.3  -1702 -0.729245   5013595  0.296976    71  0.354702  0.0000 0.000690 0.000886 0.002693 -0.007456  0.024906 -0.118314  45.2578044764 -348.7216929048    71.35470
BTAC 10JAN29 2010.0780 55225 1568 5   11.3  -1702 -0.729124   5013595  0.295166    71  0.366169  0.0000 0.000683 0.000872 0.002695 -0.008053  0.017247 -0.109403  45.2578044601 -348.7216929032    71.36617
BTAC 10FEB05 2010.0972 55232 1569 5   11.3  -1702 -0.727511   5013595  0.296355    71  0.353307  0.0000 0.000692 0.000893 0.002763  0.015312  0.018626 -0.081875  45.2578044708 -348.7216928827    71.35331
BTAC 10FEB07 2010.1027 55234 1570 0   11.3  -1702 -0.727019   5013595  0.295421    71  0.358901  0.0000 0.000688 0.000875 0.002710  0.010234  0.002667 -0.103475  45.2578044624 -348.7216928764    71.35890
BTAC 10FEB08 2010.1054 55235 1570 1   11.3  -1702 -0.727684   5013595  0.296478    71  0.364563  0.0000 0.000697 0.000891 0.002778 -0.009743  0.026452 -0.140793  45.2578044719 -348.7216928849    71.36456
BTAC 10FEB10 2010.1109 55237 1570 3   11.3  -1702 -0.726956   5013595  0.297183    71  0.363139  0.0000 0.000707 0.000879 0.002679 -0.006430  0.039195 -0.076442  45.2578044783 -348.7216928756    71.36314
BTAC 10FEB13 2010.1191 55240 1570 6   11.3  -1702 -0.726171   5013595  0.295399    71  0.357840  0.0000 0.000684 0.000868 0.002680 -0.001391  0.006340 -0.102497  45.2578044622 -348.7216928656    71.35784
BTAC 10FEB18 2010.1328 55245 1571 4   11.3  -1702 -0.729327   5013595  0.295980    71  0.357826  0.0000 0.000700 0.000874 0.002736  0.006973  0.018816 -0.080014  45.2578044674 -348.7216929058    71.35783
BTAC 10FEB20 2010.1383 55247 1571 6   11.3  -1702 -0.728627   5013595  0.294828    71  0.362148  0.0000 0.000684 0.000870 0.002680 -0.004948  0.010331 -0.080309  45.2578044571 -348.7216928969    71.36215
BTAC 10FEB21 2010.1410 55248 1572 0   11.3  -1702 -0.727608   5013595  0.296164    71  0.355443  0.0000 0.000681 0.000877 0.002721 -0.004948  0.010801 -0.105250  45.2578044691 -348.7216928839    71.35544
BTAC 10FEB23 2010.1465 55250 1572 2   11.3  -1702 -0.730259   5013595  0.295501    71  0.358861  0.0000 0.000698 0.000876 0.002709 -0.032574  0.042140 -0.063640  45.2578044631 -348.7216929177    71.35886
BTAC 10FEB24 2010.1492 55251 1572 3   11.3  -1702 -0.729356   5013595  0.294789    71  0.360028  0.0000 0.000679 0.000850 0.002602 -0.013837  0.013543 -0.055073  45.2578044567 -348.7216929062    71.36003
BTAC 10MAR18 2010.2094 55273 1575 4   11.3  -1702 -0.727533   5013595  0.298320    71  0.349549  0.0000 0.000693 0.000874 0.002712 -0.001074  0.029015 -0.121140  45.2578044885 -348.7216928830    71.34955
BTAC 10MAR25 2010.2286 55280 1576 4   11.3  -1702 -0.725530   5013595  0.297531    71  0.355743  0.0000 0.000699 0.000877 0.002691 -0.027175  0.019507 -0.089052  45.2578044814 -348.7216928575    71.35574
