site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
CARP 10JUN12 2010.4449 55359 1587 6   10.4   2078  0.175075   5025864  0.869339   138  0.876686  0.0000 0.000771 0.000986 0.003177  0.004968 -0.014781 -0.132263  45.3682040159 -349.5734724315   138.87669
CARP 10JUN13 2010.4476 55360 1588 0   10.4   2078  0.174127   5025864  0.869612   138  0.877017  0.0000 0.000778 0.000989 0.003191  0.006851 -0.009208 -0.137926  45.3682040184 -349.5734724436   138.87702
CARP 10JUN14 2010.4504 55361 1588 1   10.4   2078  0.174612   5025864  0.868988   138  0.875670  0.0000 0.000760 0.000970 0.003086  0.016829 -0.006729 -0.116178  45.3682040128 -349.5734724374   138.87567
CARP 10JUN15 2010.4531 55362 1588 2   10.4   2078  0.174808   5025864  0.868476   138  0.874923  0.0000 0.000766 0.000960 0.003080 -0.016175  0.014138 -0.124420  45.3682040082 -349.5734724349   138.87492
CARP 10JUN16 2010.4559 55363 1588 3   10.4   2078  0.175296   5025864  0.868372   138  0.882103  0.0000 0.000769 0.000980 0.003141 -0.004143  0.029398 -0.133978  45.3682040072 -349.5734724287   138.88210
CARP 10JUN17 2010.4586 55364 1588 4   10.4   2078  0.175481   5025864  0.870112   138  0.881206  0.0000 0.000789 0.000988 0.003192 -0.036153  0.057169 -0.115276  45.3682040229 -349.5734724263   138.88121
CARP 10JUN18 2010.4613 55365 1588 5   10.4   2078  0.174324   5025864  0.869190   138  0.871197  0.0000 0.000773 0.000973 0.003111 -0.021178  0.035253 -0.103554  45.3682040146 -349.5734724411   138.87120
CARP 10JUN19 2010.4641 55366 1588 6   10.4   2078  0.174585   5025864  0.869274   138  0.883420  0.0000 0.000779 0.000984 0.003195  0.008569  0.010452 -0.158588  45.3682040154 -349.5734724378   138.88342
CARP 10JUN20 2010.4668 55367 1589 0   10.4   2078  0.175003   5025864  0.870592   138  0.881910  0.0000 0.000754 0.000958 0.003029 -0.010596  0.031671 -0.102326  45.3682040272 -349.5734724324   138.88191
CARP 10JUN21 2010.4695 55368 1589 1   10.4   2078  0.176971   5025864  0.869482   138  0.879218  0.0000 0.000813 0.001038 0.003320 -0.013567  0.047650 -0.097912  45.3682040172 -349.5734724073   138.87922
CARP 10JUN22 2010.4723 55369 1589 2   10.4   2078  0.175053   5025864  0.870918   138  0.874969  0.0000 0.000755 0.000960 0.003055 -0.014660  0.019735 -0.136366  45.3682040302 -349.5734724318   138.87497
CARP 10JUN23 2010.4750 55370 1589 3   10.4   2078  0.174475   5025864  0.870552   138  0.875812  0.0000 0.000761 0.000963 0.003099 -0.014228  0.039112 -0.127550  45.3682040269 -349.5734724392   138.87581
CARP 10JUN24 2010.4778 55371 1589 4   10.4   2078  0.175335   5025864  0.869948   138  0.869434  0.0000 0.000770 0.000994 0.003122 -0.005567  0.004618 -0.127910  45.3682040214 -349.5734724282   138.86943
CARP 10JUN25 2010.4805 55372 1589 5   10.4   2078  0.174613   5025864  0.869298   138  0.879922  0.0000 0.000782 0.000999 0.003172 -0.014625  0.015334 -0.138004  45.3682040156 -349.5734724374   138.87992
