site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
CGIA 10DEC18 2010.9624 55548 1614 6   12.3  -2713 -0.302968   5007896  0.276392    57  0.547906  0.0000 0.000679 0.000844 0.002576  0.094880  0.009736 -0.094315  45.2065249229 -347.7345366218    57.54791
CGIA 10DEC19 2010.9651 55549 1615 0   12.3  -2713 -0.301379   5007896  0.277254    57  0.538191  0.0000 0.000686 0.000843 0.002571  0.090073  0.017753 -0.089204  45.2065249307 -347.7345366016    57.53819
CGIA 10DEC20 2010.9678 55550 1615 1   12.3  -2713 -0.301292   5007896  0.276440    57  0.539009  0.0000 0.000678 0.000844 0.002553  0.097970  0.006613 -0.092298  45.2065249234 -347.7345366005    57.53901
CGIA 10DEC21 2010.9706 55551 1615 2   12.3  -2713 -0.299352   5007896  0.275528    57  0.512330  0.0000 0.000690 0.000858 0.002616  0.085518  0.001864 -0.098301  45.2065249151 -347.7345365758    57.51233
CGIA 10DEC22 2010.9733 55552 1615 3   12.3  -2713 -0.297806   5007896  0.274921    57  0.504999  0.0000 0.000687 0.000849 0.002609  0.094600  0.016276 -0.080097  45.2065249097 -347.7345365561    57.50500
CGIA 10DEC24 2010.9788 55554 1615 5   12.3  -2713 -0.297411   5007896  0.277842    57  0.508170  0.0000 0.000682 0.000853 0.002596  0.095471  0.006486 -0.078394  45.2065249360 -347.7345365511    57.50817
CGIA 10DEC25 2010.9815 55555 1615 6   12.3  -2713 -0.298981   5007896  0.278137    57  0.506552  0.0000 0.000679 0.000836 0.002536  0.105917 -0.009897 -0.089631  45.2065249386 -347.7345365711    57.50655
CGIA 10DEC26 2010.9843 55556 1616 0   12.3  -2713 -0.299012   5007896  0.277928    57  0.510410  0.0000 0.000681 0.000840 0.002545  0.099629 -0.015259 -0.090230  45.2065249367 -347.7345365715    57.51041
CGIA 10DEC27 2010.9870 55557 1616 1   12.3  -2713 -0.299452   5007896  0.276359    57  0.505621  0.0000 0.000683 0.000839 0.002559  0.097779 -0.002211 -0.090772  45.2065249226 -347.7345365771    57.50562
CGIA 10DEC28 2010.9897 55558 1616 2   12.3  -2713 -0.299887   5007896  0.277038    57  0.505641  0.0000 0.000700 0.000852 0.002620  0.090313  0.003325 -0.087550  45.2065249287 -347.7345365826    57.50564
