site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
COLI 10JUN12 2010.4449 55359 1587 6    9.4  -1507 -0.927948   5111521  0.885045   275  0.600221  0.0000 0.000791 0.001071 0.003388 -0.039356 -0.000292  0.021114  46.1388716801 -350.6195152332   275.60022
COLI 10JUN13 2010.4476 55360 1588 0    9.4  -1507 -0.932262   5111521  0.882032   275  0.600447  0.0000 0.000798 0.001091 0.003467 -0.053144  0.009468  0.009760  46.1388716530 -350.6195152890   275.60045
COLI 10JUN14 2010.4504 55361 1588 1    9.4  -1507 -0.928721   5111521  0.885286   275  0.596232  0.0000 0.000932 0.001231 0.003904 -0.075804 -0.028829  0.013865  46.1388716822 -350.6195152432   275.59623
COLI 10JUN15 2010.4531 55362 1588 2    9.4  -1507 -0.929838   5111521  0.887575   275  0.601053  0.0000 0.000861 0.001211 0.003789 -0.056822 -0.042790 -0.005557  46.1388717028 -350.6195152577   275.60105
COLI 10JUN16 2010.4559 55363 1588 3    9.4  -1507 -0.932592   5111521  0.889830   275  0.610148  0.0000 0.000803 0.001082 0.003411 -0.038464 -0.022104  0.005585  46.1388717231 -350.6195152933   275.61015
COLI 10JUN17 2010.4586 55364 1588 4    9.4  -1507 -0.929885   5111521  0.888284   275  0.601349  0.0000 0.000808 0.001091 0.003473 -0.054882  0.001023  0.059333  46.1388717092 -350.6195152583   275.60135
COLI 10JUN18 2010.4613 55365 1588 5    9.4  -1507 -0.926633   5111521  0.885206   275  0.596446  0.0000 0.000791 0.001075 0.003374 -0.045981 -0.006553  0.040344  46.1388716815 -350.6195152162   275.59645
COLI 10JUN19 2010.4641 55366 1588 6    9.4  -1507 -0.928105   5111521  0.883760   275  0.600701  0.0000 0.000786 0.001054 0.003353 -0.054691 -0.024761  0.031898  46.1388716685 -350.6195152352   275.60070
COLI 10JUN20 2010.4668 55367 1589 0    9.4  -1507 -0.929872   5111521  0.884737   275  0.597849  0.0000 0.000767 0.001042 0.003258 -0.041870 -0.005061  0.028550  46.1388716773 -350.6195152581   275.59785
COLI 10JUN21 2010.4695 55368 1589 1    9.4  -1507 -0.928460   5111521  0.883875   275  0.598330  0.0000 0.000838 0.001121 0.003593 -0.043776  0.030664  0.030355  46.1388716695 -350.6195152398   275.59833
COLI 10JUN22 2010.4723 55369 1589 2    9.4  -1507 -0.928180   5111521  0.884835   275  0.594816  0.0000 0.000760 0.001028 0.003218 -0.037769 -0.019751  0.036525  46.1388716782 -350.6195152362   275.59482
COLI 10JUN23 2010.4750 55370 1589 3    9.4  -1507 -0.928928   5111521  0.886134   275  0.590870  0.0000 0.000765 0.001034 0.003238 -0.038063 -0.003477  0.033623  46.1388716899 -350.6195152459   275.59087
COLI 10JUN24 2010.4778 55371 1589 4    9.4  -1507 -0.924884   5111521  0.883496   275  0.584472  0.0000 0.000799 0.001114 0.003420 -0.060108 -0.015108 -0.039538  46.1388716661 -350.6195151935   275.58447
COLI 10JUN25 2010.4805 55372 1589 5    9.4  -1507 -0.930043   5111521  0.885576   275  0.597499  0.0000 0.000827 0.001129 0.003519 -0.065239 -0.059388 -0.001147  46.1388716848 -350.6195152603   275.59750
COLI 10JUN26 2010.4832 55373 1589 6    9.4  -1507 -0.928388   5111521  0.887127   275  0.580452  0.0000 0.000781 0.001063 0.003317 -0.059619 -0.017606  0.017209  46.1388716988 -350.6195152389   275.58045
COLI 10JUN27 2010.4860 55374 1590 0    9.4  -1507 -0.925324   5111521  0.884650   275  0.588074  0.0000 0.000783 0.001066 0.003350 -0.050790 -0.018148  0.003588  46.1388716765 -350.6195151992   275.58807
COLI 10JUN28 2010.4887 55375 1590 1    9.4  -1507 -0.924471   5111521  0.886710   275  0.575275  0.0000 0.000818 0.001086 0.003524 -0.042254 -0.055625 -0.006404  46.1388716950 -350.6195151882   275.57527
COLI 10JUN29 2010.4914 55376 1590 2    9.4  -1507 -0.925866   5111521  0.887281   275  0.589349  0.0000 0.000813 0.001127 0.003567 -0.025199 -0.057820 -0.004195  46.1388717002 -350.6195152063   275.58935
COLI 10JUN30 2010.4942 55377 1590 3    9.4  -1507 -0.926430   5111521  0.886420   275  0.589546  0.0000 0.000790 0.001091 0.003447 -0.039328 -0.031106  0.002358  46.1388716924 -350.6195152136   275.58955
COLI 10JUL01 2010.4969 55378 1590 4    9.4  -1507 -0.923792   5111521  0.888070   275  0.601285  0.0000 0.000796 0.001093 0.003457 -0.065843 -0.032463  0.033680  46.1388717073 -350.6195151794   275.60129
COLI 10JUL02 2010.4997 55379 1590 5    9.4  -1507 -0.926157   5111521  0.886833   275  0.592811  0.0000 0.000801 0.001106 0.003535 -0.057588 -0.064217  0.042618  46.1388716962 -350.6195152100   275.59281
COLI 10JUL03 2010.5024 55380 1590 6    9.4  -1507 -0.927274   5111521  0.884161   275  0.597160  0.0000 0.000803 0.001079 0.003447 -0.065931 -0.029128  0.009821  46.1388716721 -350.6195152245   275.59716
COLI 10JUL04 2010.5051 55381 1591 0    9.4  -1507 -0.925458   5111521  0.890436   275  0.593461  0.0000 0.000776 0.001069 0.003335 -0.044427 -0.019834  0.007538  46.1388717286 -350.6195152010   275.59346
COLI 10JUL05 2010.5079 55382 1591 1    9.4  -1507 -0.925917   5111521  0.885641   275  0.596563  0.0000 0.000798 0.001083 0.003468 -0.045825 -0.004885  0.007432  46.1388716854 -350.6195152069   275.59656
COLI 10JUL06 2010.5106 55383 1591 2    9.4  -1507 -0.923969   5111521  0.886843   275  0.604840  0.0000 0.000780 0.001081 0.003400 -0.037310 -0.011835  0.011990  46.1388716962 -350.6195151817   275.60484
COLI 10JUL15 2010.5352 55392 1592 4    9.4  -1507 -0.928673   5111521  0.887547   275  0.594820  0.0000 0.000922 0.001288 0.004055 -0.012652 -0.047729  0.009656  46.1388717026 -350.6195152426   275.59482
COLI 10JUL16 2010.5380 55393 1592 5    9.4  -1507 -0.928840   5111521  0.885743   275  0.607975  0.0000 0.000781 0.001063 0.003361 -0.041165 -0.049869 -0.005058  46.1388716863 -350.6195152447   275.60798
COLI 10JUL17 2010.5407 55394 1592 6    9.4  -1507 -0.927256   5111521  0.887505   275  0.611810  0.0000 0.000827 0.001128 0.003762 -0.038083 -0.008551  0.084560  46.1388717022 -350.6195152243   275.61181
COLI 10JUL18 2010.5435 55395 1593 0    9.4  -1507 -0.924354   5111521  0.887408   275  0.598098  0.0000 0.000785 0.001079 0.003405 -0.020712 -0.053108  0.024748  46.1388717013 -350.6195151867   275.59810
COLI 10JUL19 2010.5462 55396 1593 1    9.4  -1507 -0.927353   5111521  0.889006   275  0.588505  0.0000 0.000778 0.001061 0.003339 -0.054972 -0.019058 -0.001449  46.1388717157 -350.6195152255   275.58850
COLI 10JUL20 2010.5489 55397 1593 2    9.4  -1507 -0.926462   5111521  0.886355   275  0.587759  0.0000 0.000771 0.001052 0.003322 -0.053082 -0.000598  0.015218  46.1388716918 -350.6195152140   275.58776
COLI 10JUL21 2010.5517 55398 1593 3    9.4  -1507 -0.925716   5111521  0.887244   275  0.604553  0.0000 0.000798 0.001088 0.003524 -0.029158 -0.038968  0.051305  46.1388716999 -350.6195152043   275.60455
COLI 10JUL22 2010.5544 55399 1593 4    9.4  -1507 -0.927362   5111521  0.885895   275  0.603054  0.0000 0.000767 0.001046 0.003292 -0.038645 -0.039622 -0.002634  46.1388716877 -350.6195152256   275.60305
COLI 10JUL23 2010.5572 55400 1593 5    9.4  -1507 -0.923506   5111521  0.885548   275  0.600103  0.0000 0.000832 0.001108 0.003707 -0.045005 -0.064038  0.042721  46.1388716846 -350.6195151757   275.60010
COLI 10JUL24 2010.5599 55401 1593 6    9.4  -1507 -0.923382   5111521  0.888044   275  0.590535  0.0000 0.000775 0.001053 0.003346 -0.022400 -0.059637 -0.003781  46.1388717070 -350.6195151741   275.59053
COLI 10JUL25 2010.5626 55402 1594 0    9.4  -1507 -0.926779   5111521  0.888136   275  0.601265  0.0000 0.000766 0.001039 0.003262 -0.037865 -0.024135  0.014264  46.1388717079 -350.6195152181   275.60127
COLI 10JUL26 2010.5654 55403 1594 1    9.4  -1507 -0.923704   5111521  0.885510   275  0.600234  0.0000 0.000771 0.001054 0.003354 -0.031674 -0.051011 -0.011843  46.1388716842 -350.6195151783   275.60023
COLI 10JUL27 2010.5681 55404 1594 2    9.4  -1507 -0.924576   5111521  0.887106   275  0.606964  0.0000 0.000768 0.001043 0.003277 -0.048801 -0.018713 -0.000774  46.1388716986 -350.6195151896   275.60696
COLI 10JUL28 2010.5708 55405 1594 3    9.4  -1507 -0.924452   5111521  0.885906   275  0.602073  0.0000 0.000778 0.001063 0.003367 -0.043457 -0.030113  0.004197  46.1388716878 -350.6195151880   275.60207
