site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
CODR 07MAY18 2007.3758 54238 1427 5   13.0  -1620 -0.531819   5091476  0.676018    91  0.881436  0.0083 0.000693 0.000898 0.002705 -0.007290 -0.041162 -0.137920  45.9585316020 -347.0209043838    91.88144
CODR 07MAY19 2007.3785 54239 1427 6   13.0  -1620 -0.532593   5091476  0.675519    91  0.879664  0.0083 0.000679 0.000888 0.002673 -0.001625 -0.044570 -0.145661  45.9585315975 -347.0209043938    91.87966
CODR 07MAY20 2007.3812 54240 1428 0   13.0  -1620 -0.531909   5091476  0.674534    91  0.883491  0.0083 0.000679 0.000889 0.002686 -0.019055 -0.034161 -0.115179  45.9585315887 -347.0209043850    91.88349
CODR 07MAY21 2007.3840 54241 1428 1   13.0  -1620 -0.530866   5091476  0.675186    91  0.878846  0.0083 0.000684 0.000890 0.002712 -0.016588 -0.063966 -0.119990  45.9585315945 -347.0209043715    91.87885
CODR 07MAY22 2007.3867 54242 1428 2   13.0  -1620 -0.531936   5091476  0.675639    91  0.877272  0.0083 0.000716 0.000926 0.002814 -0.007184 -0.036315 -0.135448  45.9585315986 -347.0209043853    91.87727
CODR 07MAY23 2007.3895 54243 1428 3   13.0  -1620 -0.533939   5091476  0.674660    91  0.884035  0.0083 0.000701 0.000927 0.002805 -0.013535 -0.051818 -0.143128  45.9585315898 -347.0209044112    91.88404
CODR 07MAY24 2007.3922 54244 1428 4   13.0  -1620 -0.534152   5091476  0.674755    91  0.882634  0.0083 0.000720 0.000942 0.002867 -0.015968 -0.037781 -0.154325  45.9585315907 -347.0209044139    91.88263
CODR 07MAY25 2007.3949 54245 1428 5   13.0  -1620 -0.533145   5091476  0.675068    91  0.878487  0.0083 0.000728 0.000950 0.002960 -0.031804  0.014446 -0.177831  45.9585315935 -347.0209044009    91.87849
CODR 07MAY26 2007.3977 54246 1428 6   13.0  -1620 -0.531879   5091476  0.674322    91  0.886632  0.0083 0.000720 0.000954 0.002963 -0.038239 -0.014364 -0.165217  45.9585315868 -347.0209043846    91.88663
CODR 07MAY27 2007.4004 54247 1429 0   13.0  -1620 -0.532480   5091476  0.674316    91  0.883240  0.0083 0.000718 0.000945 0.002844 -0.037190 -0.044361 -0.113895  45.9585315867 -347.0209043924    91.88324
CODR 07MAY28 2007.4031 54248 1429 1   13.0  -1620 -0.533580   5091476  0.675154    91  0.884983  0.0083 0.000735 0.000952 0.002900 -0.014459 -0.018574 -0.170414  45.9585315942 -347.0209044066    91.88498
CODR 07MAY29 2007.4059 54249 1429 2   13.0  -1620 -0.532056   5091476  0.676558    91  0.884137  0.0083 0.000681 0.000897 0.002657 -0.027156 -0.036240 -0.101146  45.9585316069 -347.0209043869    91.88414
CODR 07MAY30 2007.4086 54250 1429 3   13.0  -1620 -0.530641   5091476  0.675027    91  0.875934  0.0083 0.000692 0.000913 0.002715 -0.019612 -0.028128 -0.126531  45.9585315931 -347.0209043686    91.87593
CODR 07MAY31 2007.4114 54251 1429 4   13.0  -1620 -0.532225   5091476  0.674025    91  0.877623  0.0083 0.000693 0.000914 0.002740 -0.023875 -0.037203 -0.160261  45.9585315841 -347.0209043891    91.87762
CODR 07JUN01 2007.4141 54252 1429 5   13.0  -1620 -0.532746   5091476  0.675544    91  0.881104  0.0083 0.000688 0.000925 0.002720 -0.025714 -0.024491 -0.120700  45.9585315978 -347.0209043958    91.88110
CODR 07JUN02 2007.4168 54253 1429 6   13.0  -1620 -0.530953   5091476  0.676508    91  0.878714  0.0083 0.000693 0.000910 0.002692 -0.040281 -0.019522 -0.098845  45.9585316064 -347.0209043727    91.87871
CODR 07JUN03 2007.4196 54254 1430 0   13.0  -1620 -0.531962   5091476  0.676848    91  0.875127  0.0083 0.000682 0.000907 0.002677 -0.018286 -0.031534 -0.156644  45.9585316095 -347.0209043857    91.87513
CODR 07JUN04 2007.4223 54255 1430 1   13.0  -1620 -0.533519   5091476  0.676162    91  0.878973  0.0083 0.000690 0.000913 0.002737 -0.024164 -0.041468 -0.129731  45.9585316033 -347.0209044058    91.87897
CODR 07JUN05 2007.4251 54256 1430 2   13.0  -1620 -0.530565   5091476  0.676612    91  0.879347  0.0083 0.000696 0.000890 0.002783 -0.019327 -0.051598 -0.128928  45.9585316074 -347.0209043677    91.87935
CODR 07JUN06 2007.4278 54257 1430 3   13.0  -1620 -0.531565   5091476  0.676482    91  0.877519  0.0083 0.000713 0.000931 0.002855 -0.038350 -0.059536 -0.108080  45.9585316062 -347.0209043806    91.87752
CODR 07JUN07 2007.4305 54258 1430 4   13.0  -1620 -0.531339   5091476  0.676798    91  0.880444  0.0083 0.000779 0.000988 0.003097 -0.040824 -0.023823 -0.093243  45.9585316090 -347.0209043776    91.88044
CODR 07JUN08 2007.4333 54259 1430 5   13.0  -1620 -0.531504   5091476  0.675582    91  0.874423  0.0083 0.000817 0.001036 0.003201 -0.043057  0.007379 -0.039768  45.9585315981 -347.0209043798    91.87442
CODR 07JUN09 2007.4360 54260 1430 6   13.0  -1620 -0.531399   5091476  0.675586    91  0.876995  0.0083 0.000704 0.000910 0.002758 -0.029401 -0.001435 -0.128560  45.9585315981 -347.0209043784    91.87700
