site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
KRBG 01NOV26 2001.9028 52239 1142 1   10.6   2034  0.362579   5223503  0.599443  2258  0.078373  0.0000 0.000732 0.000961 0.002817 -0.027113 -0.008009 -0.084705  47.1462288300 -349.3731785144  2258.07837
KRBG 01NOV27 2001.9055 52240 1142 2   10.6   2034  0.362093   5223503  0.599167  2258  0.074963  0.0000 0.000798 0.001039 0.003006 -0.009765  0.016272 -0.057541  47.1462288275 -349.3731785208  2258.07496
KRBG 01NOV28 2001.9083 52241 1142 3   10.6   2034  0.363439   5223503  0.599778  2258  0.028454  0.0420 0.000733 0.000965 0.002826 -0.027388 -0.007098 -0.049713  47.1462288330 -349.3731785031  2258.02845
KRBG 01NOV29 2001.9110 52242 1142 4   10.6   2034  0.364460   5223503  0.599971  2258  0.024546  0.0420 0.000750 0.000992 0.002878 -0.035276  0.038716 -0.044983  47.1462288347 -349.3731784896  2258.02455
KRBG 01NOV30 2001.9138 52243 1142 5   10.6   2034  0.364977   5223503  0.599986  2258  0.023773  0.0420 0.000727 0.000968 0.002907 -0.029430 -0.000769 -0.072654  47.1462288349 -349.3731784828  2258.02377
KRBG 01DEC01 2001.9165 52244 1142 6   10.6   2034  0.366174   5223503  0.599582  2258  0.030441  0.0420 0.000723 0.000956 0.002877 -0.033045 -0.013745 -0.097835  47.1462288312 -349.3731784670  2258.03044
KRBG 01DEC02 2001.9192 52245 1143 0   10.6   2034  0.365083   5223503  0.601023  2258  0.026883  0.0420 0.000725 0.000973 0.002869 -0.055600  0.024970 -0.057079  47.1462288442 -349.3731784814  2258.02688
KRBG 01DEC03 2001.9220 52246 1143 1   10.6   2034  0.364125   5223503  0.600381  2258  0.019568  0.0420 0.000715 0.000957 0.002828 -0.042527  0.041331 -0.055642  47.1462288384 -349.3731784940  2258.01957
KRBG 01DEC04 2001.9247 52247 1143 2   10.6   2034  0.364394   5223503  0.599857  2258  0.026100  0.0420 0.000721 0.000954 0.002861 -0.044371  0.045346 -0.049327  47.1462288337 -349.3731784905  2258.02610
KRBG 01DEC05 2001.9274 52248 1143 3   10.6   2034  0.365364   5223503  0.601612  2258  0.024665  0.0420 0.000723 0.000961 0.002881 -0.045305  0.022065 -0.058357  47.1462288495 -349.3731784777  2258.02467
