site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
MT01 09MAR20 2009.2156 54910 1523 5   12.2     43  0.458088   5068155  0.223344    98  0.704883  0.2000 0.000645 0.000840 0.002453 -0.004040 -0.005371 -0.119334  45.7487090551 -347.7994415077    98.70488
MT01 09MAR21 2009.2183 54911 1523 6   12.2     43  0.456945   5068155  0.221923    98  0.707049  0.2000 0.000709 0.000906 0.002693 -0.024478  0.009081 -0.145481  45.7487090423 -347.7994415224    98.70705
MT01 09MAY25 2009.3963 54976 1533 1   12.2     43  0.464683   5068155  0.222649    98  0.708347  0.2000 0.000738 0.000968 0.002900  0.005454  0.013332 -0.096030  45.7487090488 -347.7994414229    98.70835
MT01 09MAY26 2009.3990 54977 1533 2   12.2     43  0.461258   5068155  0.222950    98  0.712480  0.2000 0.000677 0.000881 0.002649 -0.008066  0.020519 -0.117554  45.7487090516 -347.7994414669    98.71248
MT01 09MAY27 2009.4018 54978 1533 3   12.2     43  0.463464   5068155  0.223764    98  0.710047  0.2000 0.000698 0.000898 0.002756 -0.019856  0.011171 -0.150024  45.7487090589 -347.7994414386    98.71005
MT01 09MAY28 2009.4045 54979 1533 4   12.2     43  0.463294   5068155  0.222830    98  0.710341  0.2000 0.000663 0.000859 0.002563 -0.001407 -0.002145 -0.129835  45.7487090505 -347.7994414408    98.71034
MT01 09MAY29 2009.4073 54980 1533 5   12.2     43  0.463042   5068155  0.223607    98  0.702963  0.2000 0.000673 0.000857 0.002588 -0.003338  0.015777 -0.122188  45.7487090575 -347.7994414440    98.70296
MT01 09MAY30 2009.4100 54981 1533 6   12.2     43  0.462953   5068155  0.224967    98  0.707287  0.2000 0.000665 0.000853 0.002554  0.007390 -0.034013 -0.129730  45.7487090697 -347.7994414451    98.70729
MT01 09MAY31 2009.4127 54982 1534 0   12.2     43  0.464255   5068155  0.223921    98  0.711088  0.2000 0.000662 0.000855 0.002520 -0.008486  0.004745 -0.108142  45.7487090603 -347.7994414284    98.71109
MT01 09JUN01 2009.4155 54983 1534 1   12.2     43  0.463846   5068155  0.223892    98  0.705219  0.2000 0.000660 0.000856 0.002524 -0.002589  0.017299 -0.113551  45.7487090600 -347.7994414337    98.70522
MT01 09JUN02 2009.4182 54984 1534 2   12.2     43  0.464030   5068155  0.223838    98  0.715136  0.2000 0.000666 0.000851 0.002558  0.000924  0.029266 -0.135294  45.7487090595 -347.7994414313    98.71514
MT01 09JUN03 2009.4209 54985 1534 3   12.2     43  0.463422   5068155  0.221210    98  0.720842  0.2000 0.000671 0.000865 0.002647 -0.010979  0.008825 -0.130457  45.7487090359 -347.7994414391    98.72084
