site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
NOVE 09MAY27 2009.4018 54978 1533 3   12.6   -902 -0.511571   5059233  0.122106    47  0.907412  0.0083 0.000842 0.001106 0.003323 -0.044868  0.003972 -0.200791  45.6684350787 -347.4115818443    47.90741
NOVE 09MAY28 2009.4045 54979 1533 4   12.6   -902 -0.511743   5059233  0.123155    47  0.901144  0.0083 0.000745 0.000966 0.002796 -0.024913 -0.030668 -0.150170  45.6684350881 -347.4115818465    47.90114
NOVE 09MAY29 2009.4073 54980 1533 5   12.6   -902 -0.511636   5059233  0.123149    47  0.904207  0.0083 0.000742 0.000941 0.002864  0.025049 -0.016630 -0.100582  45.6684350881 -347.4115818452    47.90421
NOVE 09MAY30 2009.4100 54981 1533 6   12.6   -902 -0.510507   5059233  0.124143    47  0.906239  0.0083 0.000666 0.000851 0.002544 -0.007665 -0.008138 -0.109940  45.6684350970 -347.4115818307    47.90624
NOVE 09MAY31 2009.4127 54982 1534 0   12.6   -902 -0.510760   5059233  0.121595    47  0.908122  0.0083 0.000663 0.000859 0.002546  0.003112 -0.002488 -0.117894  45.6684350741 -347.4115818339    47.90812
NOVE 09JUN01 2009.4155 54983 1534 1   12.6   -902 -0.511415   5059233  0.122797    47  0.902628  0.0083 0.000669 0.000855 0.002571  0.001431  0.033812 -0.078385  45.6684350849 -347.4115818423    47.90263
NOVE 09JUN02 2009.4182 54984 1534 2   12.6   -902 -0.509687   5059233  0.122958    47  0.911497  0.0083 0.000664 0.000848 0.002523 -0.006370 -0.006022 -0.098241  45.6684350864 -347.4115818201    47.91150
NOVE 09JUN03 2009.4209 54985 1534 3   12.6   -902 -0.511347   5059233  0.120978    47  0.913364  0.0083 0.000670 0.000859 0.002575  0.006626 -0.006775 -0.121461  45.6684350685 -347.4115818414    47.91336
NOVE 09JUN04 2009.4237 54986 1534 4   12.6   -902 -0.509481   5059233  0.122207    47  0.912095  0.0083 0.000670 0.000852 0.002569  0.003853 -0.009183 -0.100584  45.6684350796 -347.4115818175    47.91209
NOVE 09JUN05 2009.4264 54987 1534 5   12.6   -902 -0.510551   5059233  0.125603    47  0.877537  0.0883 0.000668 0.000865 0.002617 -0.007846  0.011009 -0.130353  45.6684351102 -347.4115818312    47.87754
