site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
PADO 01NOV27 2001.9055 52240 1142 2   11.9   -308 -0.339267   5030638  0.216874    64  0.704093  0.0000 0.000835 0.001114 0.003625 -0.036118 -0.008226 -0.076155  45.4111532117 -348.1039388828    64.70409
PADO 01NOV28 2001.9083 52241 1142 3   11.9   -308 -0.338409   5030638  0.215740    64  0.696852  0.0000 0.000816 0.001039 0.003419 -0.055944  0.005681 -0.069818  45.4111532015 -348.1039388719    64.69685
PADO 01NOV29 2001.9110 52242 1142 4   11.9   -308 -0.338508   5030638  0.216004    64  0.695907  0.0000 0.000855 0.001083 0.003573 -0.045110  0.053226 -0.089739  45.4111532038 -348.1039388731    64.69591
PADO 01NOV30 2001.9138 52243 1142 5   11.9   -308 -0.337280   5030638  0.216182    64  0.694963  0.0000 0.000825 0.001069 0.003501 -0.031861  0.005354 -0.039341  45.4111532054 -348.1039388575    64.69496
PADO 01DEC01 2001.9165 52244 1142 6   11.9   -308 -0.338579   5030638  0.216440    64  0.693270  0.0000 0.000828 0.001057 0.003479 -0.069235 -0.013494 -0.022362  45.4111532078 -348.1039388740    64.69327
PADO 01DEC02 2001.9192 52245 1143 0   11.9   -308 -0.337889   5030638  0.216170    64  0.690512  0.0000 0.000830 0.001069 0.003560 -0.020109 -0.010880  0.000635  45.4111532053 -348.1039388652    64.69051
PADO 01DEC03 2001.9220 52246 1143 1   11.9   -308 -0.336406   5030638  0.216288    64  0.693978  0.0000 0.000818 0.001057 0.003465 -0.049124 -0.010576 -0.008682  45.4111532064 -348.1039388463    64.69398
PADO 01DEC04 2001.9247 52247 1143 2   11.9   -308 -0.337249   5030638  0.215288    64  0.699326  0.0000 0.000854 0.001054 0.003550  0.004338 -0.017315 -0.054306  45.4111531974 -348.1039388571    64.69933
PADO 01DEC05 2001.9274 52248 1143 3   11.9   -308 -0.336696   5030638  0.216926    64  0.700105  0.0000 0.000820 0.001048 0.003465 -0.023434 -0.016167  0.024625  45.4111532121 -348.1039388500    64.70011
PADO 01DEC06 2001.9302 52249 1143 4   11.9   -308 -0.339753   5030638  0.217631    64  0.704289  0.0000 0.000841 0.001113 0.003666  0.013187 -0.127399 -0.045917  45.4111532185 -348.1039388890    64.70429
PADO 01DEC07 2001.9329 52250 1143 5   11.9   -308 -0.338138   5030638  0.216616    64  0.693954  0.0000 0.000834 0.001073 0.003591 -0.051300  0.020125 -0.070169  45.4111532094 -348.1039388684    64.69395
PADO 01DEC08 2001.9357 52251 1143 6   11.9   -308 -0.338223   5030638  0.217910    64  0.696971  0.0000 0.000805 0.001029 0.003401  0.000705 -0.061703 -0.002108  45.4111532210 -348.1039388695    64.69697
PADO 01DEC09 2001.9384 52252 1144 0   11.9   -308 -0.334965   5030638  0.217072    64  0.692878  0.0000 0.000799 0.001053 0.003314 -0.017681 -0.029278 -0.017372  45.4111532135 -348.1039388279    64.69288
PADO 01DEC10 2001.9411 52253 1144 1   11.9   -308 -0.336601   5030638  0.217300    64  0.692577  0.0000 0.000854 0.001074 0.003675 -0.050133 -0.041355 -0.076755  45.4111532155 -348.1039388488    64.69258
PADO 01DEC11 2001.9439 52254 1144 2   11.9   -308 -0.337761   5030638  0.218707    64  0.693252  0.0000 0.000833 0.001092 0.003583  0.019027 -0.030532  0.011976  45.4111532282 -348.1039388636    64.69325
PADO 01DEC12 2001.9466 52255 1144 3   11.9   -308 -0.335918   5030638  0.217047    64  0.693138  0.0000 0.000838 0.001073 0.003618  0.018590 -0.065946  0.070614  45.4111532132 -348.1039388401    64.69314
PADO 01DEC13 2001.9493 52256 1144 4   11.9   -308 -0.335021   5030638  0.216229    64  0.696769  0.0000 0.000811 0.001074 0.003498 -0.017677 -0.005563  0.000218  45.4111532059 -348.1039388286    64.69677
PADO 01DEC14 2001.9521 52257 1144 5   11.9   -308 -0.336376   5030638  0.215530    64  0.693569  0.0000 0.000820 0.001064 0.003478 -0.038063  0.028865 -0.013038  45.4111531996 -348.1039388459    64.69357
PADO 01DEC15 2001.9548 52258 1144 6   11.9   -308 -0.337934   5030638  0.216940    64  0.698601  0.0000 0.000799 0.001037 0.003387 -0.009288 -0.081403  0.019830  45.4111532123 -348.1039388658    64.69860
PADO 01DEC16 2001.9576 52259 1145 0   11.9   -308 -0.335458   5030638  0.218504    64  0.696061  0.0000 0.000782 0.001052 0.003346 -0.034432  0.015841 -0.032584  45.4111532263 -348.1039388342    64.69606
PADO 01DEC17 2001.9603 52260 1145 1   11.9   -308 -0.334889   5030638  0.217447    64  0.695605  0.0000 0.000793 0.001037 0.003325 -0.028753  0.003377 -0.022941  45.4111532168 -348.1039388269    64.69561
PADO 01DEC18 2001.9630 52261 1145 2   11.9   -308 -0.337454   5030638  0.216405    64  0.697772  0.0000 0.000792 0.001052 0.003365 -0.057667 -0.015754 -0.039344  45.4111532075 -348.1039388597    64.69777
PADO 01DEC19 2001.9658 52262 1145 3   11.9   -308 -0.337223   5030638  0.217041    64  0.696513  0.0000 0.000792 0.001031 0.003359 -0.035172 -0.029321 -0.012765  45.4111532132 -348.1039388567    64.69651
PADO 01DEC20 2001.9685 52263 1145 4   11.9   -308 -0.337503   5030638  0.215197    64  0.702403  0.0000 0.000861 0.001087 0.003613 -0.048040 -0.084467 -0.082304  45.4111531966 -348.1039388603    64.70240
PADO 01DEC21 2001.9713 52264 1145 5   11.9   -308 -0.336173   5030638  0.216229    64  0.703238  0.0000 0.000790 0.001020 0.003279 -0.065297 -0.009972 -0.078865  45.4111532059 -348.1039388433    64.70324
PADO 01DEC22 2001.9740 52265 1145 6   11.9   -308 -0.337900   5030638  0.217388    64  0.702124  0.0000 0.000790 0.001047 0.003311 -0.020934 -0.014065 -0.077120  45.4111532163 -348.1039388654    64.70212
PADO 01DEC23 2001.9767 52266 1146 0   11.9   -308 -0.334951   5030638  0.218112    64  0.701146  0.0000 0.000799 0.001043 0.003309 -0.026478 -0.063863 -0.084611  45.4111532228 -348.1039388277    64.70115
PADO 01DEC24 2001.9795 52267 1146 1   11.9   -308 -0.338049   5030638  0.216386    64  0.702014  0.0000 0.000784 0.001048 0.003310 -0.010572 -0.022837 -0.016357  45.4111532073 -348.1039388673    64.70201
PADO 01DEC25 2001.9822 52268 1146 2   11.9   -308 -0.338548   5030638  0.216046    64  0.709631  0.0000 0.000801 0.001074 0.003420 -0.033610 -0.003223  0.023293  45.4111532042 -348.1039388737    64.70963
PADO 01DEC26 2001.9849 52269 1146 3   11.9   -308 -0.337438   5030638  0.217463    64  0.705596  0.0000 0.000812 0.001053 0.003385 -0.048608 -0.093780  0.015150  45.4111532170 -348.1039388595    64.70560
PADO 01DEC27 2001.9877 52270 1146 4   11.9   -308 -0.336786   5030638  0.216064    64  0.695905  0.0000 0.000782 0.001019 0.003231 -0.045740  0.025401 -0.039241  45.4111532044 -348.1039388511    64.69590
PADO 01DEC28 2001.9904 52271 1146 5   11.9   -308 -0.335800   5030638  0.218884    64  0.697867  0.0000 0.000767 0.001012 0.003166 -0.031754 -0.030348  0.027361  45.4111532298 -348.1039388385    64.69787
PADO 01DEC29 2001.9932 52272 1146 6   11.9   -308 -0.335068   5030638  0.214249    64  0.696770  0.0000 0.000787 0.001042 0.003295 -0.030932 -0.031738 -0.003865  45.4111531881 -348.1039388292    64.69677
PADO 01DEC30 2001.9959 52273 1147 0   11.9   -308 -0.334414   5030638  0.216832    64  0.708628  0.0000 0.000803 0.001053 0.003349 -0.031279 -0.037967 -0.016475  45.4111532113 -348.1039388208    64.70863
PADO 01DEC31 2001.9986 52274 1147 1   11.9   -308 -0.333724   5030638  0.218374    64  0.696920  0.0000 0.000854 0.001118 0.003644 -0.060967 -0.029069 -0.069896  45.4111532252 -348.1039388120    64.69692
PADO 02JAN01 2002.0014 52275 1147 2   11.9   -308 -0.336151   5030638  0.215592    64  0.692492  0.0000 0.000800 0.001072 0.003323 -0.047395  0.010506 -0.082971  45.4111532001 -348.1039388430    64.69249
PADO 02JAN02 2002.0041 52276 1147 3   11.9   -308 -0.335425   5030638  0.215950    64  0.693768  0.0000 0.000789 0.001072 0.003280 -0.041170 -0.000504 -0.067890  45.4111532034 -348.1039388338    64.69377
PADO 02JAN03 2002.0068 52277 1147 4   11.9   -308 -0.333078   5030638  0.217126    64  0.690874  0.0000 0.000778 0.001061 0.003288 -0.049555  0.017653 -0.041329  45.4111532139 -348.1039388038    64.69087
PADO 02JAN04 2002.0096 52278 1147 5   11.9   -308 -0.337302   5030638  0.218465    64  0.693318  0.0000 0.000785 0.001076 0.003294 -0.025191 -0.000471 -0.022327  45.4111532260 -348.1039388577    64.69332
PADO 02JAN05 2002.0123 52279 1147 6   11.9   -308 -0.335271   5030638  0.217193    64  0.697648  0.0000 0.000796 0.001048 0.003302 -0.006363 -0.007684 -0.074855  45.4111532145 -348.1039388318    64.69765
PADO 02JAN06 2002.0151 52280 1148 0   11.9   -308 -0.334834   5030638  0.217508    64  0.694089  0.0000 0.000828 0.001099 0.003348 -0.017038 -0.027169 -0.046649  45.4111532174 -348.1039388262    64.69409
PADO 02JAN07 2002.0178 52281 1148 1   11.9   -308 -0.336862   5030638  0.217821    64  0.690720  0.0000 0.000857 0.001124 0.003466 -0.032815 -0.039756 -0.051597  45.4111532202 -348.1039388521    64.69072
PADO 02JAN08 2002.0205 52282 1148 2   11.9   -308 -0.334918   5030638  0.218382    64  0.687497  0.0000 0.000803 0.001059 0.003311 -0.040934  0.031329 -0.058866  45.4111532252 -348.1039388273    64.68750
PADO 02JAN09 2002.0233 52283 1148 3   11.9   -308 -0.336653   5030638  0.217431    64  0.687224  0.0000 0.000797 0.001045 0.003298 -0.043149 -0.020370  0.017640  45.4111532167 -348.1039388494    64.68722
PADO 02JAN10 2002.0260 52284 1148 4   11.9   -308 -0.334966   5030638  0.215945    64  0.691263  0.0000 0.000839 0.001103 0.003508 -0.039342 -0.008101 -0.075305  45.4111532033 -348.1039388279    64.69126
PADO 02JAN11 2002.0287 52285 1148 5   11.9   -308 -0.333173   5030638  0.217002    64  0.694162  0.0000 0.000810 0.001066 0.003401 -0.028458 -0.000469 -0.063196  45.4111532128 -348.1039388050    64.69416
PADO 02JAN12 2002.0315 52286 1148 6   11.9   -308 -0.335220   5030638  0.218255    64  0.691319  0.0000 0.000794 0.001081 0.003325 -0.012680  0.048195 -0.040960  45.4111532241 -348.1039388311    64.69132
PADO 02JAN13 2002.0342 52287 1149 0   11.9   -308 -0.336177   5030638  0.219073    64  0.692482  0.0000 0.000773 0.001027 0.003209 -0.044880  0.033012  0.016588  45.4111532315 -348.1039388434    64.69248
PADO 02JAN14 2002.0370 52288 1149 1   11.9   -308 -0.335286   5030638  0.216825    64  0.692497  0.0000 0.000803 0.001079 0.003374 -0.028018  0.017147 -0.005679  45.4111532112 -348.1039388320    64.69250
PADO 02JAN15 2002.0397 52289 1149 2   11.9   -308 -0.334031   5030638  0.216190    64  0.707355  0.0000 0.000821 0.001089 0.003559 -0.074326  0.058013 -0.033677  45.4111532055 -348.1039388159    64.70736
PADO 02JAN16 2002.0424 52290 1149 3   11.9   -308 -0.335189   5030638  0.219480    64  0.706073  0.0000 0.000806 0.001077 0.003380  0.039364 -0.016007  0.046046  45.4111532351 -348.1039388307    64.70607
PADO 02JAN17 2002.0452 52291 1149 4   11.9   -308 -0.335483   5030638  0.217072    64  0.700913  0.0000 0.000804 0.001072 0.003397 -0.024723  0.013887 -0.027027  45.4111532135 -348.1039388345    64.70091
PADO 02JAN18 2002.0479 52292 1149 5   11.9   -308 -0.336033   5030638  0.218098    64  0.704767  0.0000 0.000790 0.001054 0.003358  0.022199 -0.065609 -0.016474  45.4111532227 -348.1039388415    64.70477
PADO 02JAN19 2002.0507 52293 1149 6   11.9   -308 -0.334571   5030638  0.215912    64  0.703471  0.0000 0.000784 0.001058 0.003214 -0.029423  0.010081  0.004867  45.4111532030 -348.1039388228    64.70347
PADO 02JAN20 2002.0534 52294 1150 0   11.9   -308 -0.336352   5030638  0.216350    64  0.702524  0.0000 0.000808 0.001038 0.003421 -0.051062 -0.101577  0.002909  45.4111532070 -348.1039388456    64.70252
PADO 02JAN21 2002.0561 52295 1150 1   11.9   -308 -0.336340   5030638  0.215830    64  0.705723  0.0000 0.000841 0.001087 0.003439 -0.012965 -0.075515  0.072554  45.4111532023 -348.1039388454    64.70572
PADO 02JAN22 2002.0589 52296 1150 2   11.9   -308 -0.335821   5030638  0.219129    64  0.705051  0.0000 0.000832 0.001086 0.003445  0.002545 -0.076735  0.029088  45.4111532320 -348.1039388388    64.70505
PADO 02JAN23 2002.0616 52297 1150 3   11.9   -308 -0.334429   5030638  0.218425    64  0.703240  0.0000 0.000842 0.001054 0.003385 -0.048079 -0.002751 -0.011530  45.4111532256 -348.1039388210    64.70324
PADO 02JAN24 2002.0643 52298 1150 4   11.9   -308 -0.335325   5030638  0.217772    64  0.706156  0.0000 0.000813 0.001034 0.003304 -0.040007 -0.048869 -0.017200  45.4111532198 -348.1039388325    64.70616
PADO 02JAN25 2002.0671 52299 1150 5   11.9   -308 -0.335745   5030638  0.217819    64  0.708258  0.0000 0.000818 0.001076 0.003505 -0.024323 -0.088469 -0.031038  45.4111532202 -348.1039388378    64.70826
PADO 02JAN26 2002.0698 52300 1150 6   11.9   -308 -0.334850   5030638  0.217481    64  0.701764  0.0000 0.000817 0.001098 0.003408 -0.054799 -0.004922  0.010047  45.4111532171 -348.1039388264    64.70176
PADO 02JAN27 2002.0726 52301 1151 0   11.9   -308 -0.335781   5030638  0.220561    64  0.705977  0.0000 0.000933 0.001330 0.004087 -0.010440 -0.091379 -0.004358  45.4111532449 -348.1039388383    64.70598
PADO 02JAN28 2002.0753 52302 1151 1   11.9   -308 -0.335397   5030638  0.217986    64  0.704016  0.0000 0.000828 0.001111 0.003530 -0.006391 -0.067613 -0.029614  45.4111532217 -348.1039388334    64.70402
PADO 02JAN29 2002.0780 52303 1151 2   11.9   -308 -0.335794   5030638  0.219796    64  0.697518  0.0000 0.000782 0.001034 0.003269 -0.029624 -0.056889  0.056268  45.4111532380 -348.1039388385    64.69752
PADO 02JAN30 2002.0808 52304 1151 3   11.9   -308 -0.334764   5030638  0.217129    64  0.694848  0.0000 0.000828 0.001117 0.003450 -0.040894 -0.036012 -0.027673  45.4111532140 -348.1039388253    64.69485
PADO 02JAN31 2002.0835 52305 1151 4   11.9   -308 -0.333425   5030638  0.215767    64  0.699964  0.0000 0.000793 0.001046 0.003282 -0.031284 -0.041484  0.038278  45.4111532017 -348.1039388082    64.69996
PADO 02FEB01 2002.0862 52306 1151 5   11.9   -308 -0.333648   5030638  0.218471    64  0.698332  0.0000 0.000825 0.001095 0.003540 -0.005976 -0.054116 -0.002621  45.4111532260 -348.1039388111    64.69833
PADO 02FEB02 2002.0890 52307 1151 6   11.9   -308 -0.331457   5030638  0.216490    64  0.692420  0.0000 0.000936 0.001311 0.004025  0.003639  0.018141  0.003932  45.4111532082 -348.1039387831    64.69242
PADO 02FEB03 2002.0917 52308 1152 0   11.9   -308 -0.332575   5030638  0.217876    64  0.691764  0.0000 0.001090 0.001490 0.004475 -0.029102 -0.045846  0.021994  45.4111532207 -348.1039387974    64.69176
PADO 02FEB04 2002.0945 52309 1152 1   11.9   -308 -0.331647   5030638  0.215472    64  0.703703  0.0000 0.000843 0.001118 0.003463 -0.023531 -0.065008  0.007986  45.4111531991 -348.1039387855    64.70370
PADO 02FEB05 2002.0972 52310 1152 2   11.9   -308 -0.334782   5030638  0.217715    64  0.706658  0.0000 0.000841 0.001113 0.003544 -0.029030 -0.077904  0.014209  45.4111532192 -348.1039388255    64.70666
