site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
PAZO 07DEC06 2007.9288 54440 1456 4   13.1  -3688 -0.342992   5074492  0.111162    50  0.071860  0.0083 0.000810 0.001064 0.003322 -0.029841  0.029110 -0.124634  45.8057226476 -346.9474482827    50.07186
PAZO 07DEC07 2007.9316 54441 1456 5   13.1  -3688 -0.343684   5074492  0.110527    50  0.074424  0.0083 0.000804 0.001057 0.003301 -0.027701  0.050904 -0.114428  45.8057226419 -346.9474482916    50.07442
PAZO 07DEC13 2007.9480 54447 1457 4   13.1  -3688 -0.344698   5074492  0.109648    50  0.067286  0.0083 0.001139 0.001349 0.004678 -0.053684  0.055191 -0.081029  45.8057226340 -346.9474483046    50.06729
PAZO 07DEC14 2007.9507 54448 1457 5   13.1  -3688 -0.342070   5074492  0.113614    50  0.074648  0.0083 0.000820 0.001054 0.003356 -0.014169  0.023404 -0.082276  45.8057226697 -346.9474482708    50.07465
PAZO 07DEC15 2007.9535 54449 1457 6   13.1  -3688 -0.341956   5074492  0.112541    50  0.075061  0.0083 0.000827 0.001069 0.003421 -0.011606  0.021994 -0.071075  45.8057226600 -346.9474482694    50.07506
PAZO 07DEC16 2007.9562 54450 1458 0   13.1  -3688 -0.341480   5074492  0.111486    50  0.072337  0.0083 0.000830 0.001071 0.003434 -0.024259  0.030533 -0.081185  45.8057226505 -346.9474482632    50.07234
PAZO 07DEC17 2007.9589 54451 1458 1   13.1  -3688 -0.339337   5074492  0.113262    50  0.069347  0.0083 0.000823 0.001052 0.003354 -0.010071  0.039295 -0.078598  45.8057226665 -346.9474482357    50.06935
PAZO 07DEC18 2007.9617 54452 1458 2   13.1  -3688 -0.341562   5074492  0.115552    50  0.069882  0.0083 0.000822 0.001057 0.003334 -0.011531  0.028399 -0.076978  45.8057226871 -346.9474482643    50.06988
PAZO 07DEC19 2007.9644 54453 1458 3   13.1  -3688 -0.342219   5074492  0.112206    50  0.066388  0.0083 0.000830 0.001077 0.003412 -0.006110  0.031469 -0.070692  45.8057226570 -346.9474482727    50.06639
PAZO 07DEC20 2007.9671 54454 1458 4   13.1  -3688 -0.342591   5074492  0.112153    50  0.071775  0.0083 0.000829 0.001065 0.003397  0.000871  0.035782 -0.068266  45.8057226565 -346.9474482775    50.07178
PAZO 07DEC21 2007.9699 54455 1458 5   13.1  -3688 -0.341942   5074492  0.113369    50  0.071826  0.0083 0.000857 0.001098 0.003531 -0.020250  0.058229 -0.089499  45.8057226675 -346.9474482692    50.07183
PAZO 07DEC22 2007.9726 54456 1458 6   13.1  -3688 -0.340260   5074492  0.111244    50  0.067204  0.0083 0.000820 0.001059 0.003341 -0.005640  0.044021 -0.082869  45.8057226484 -346.9474482475    50.06720
PAZO 07DEC23 2007.9754 54457 1459 0   13.1  -3688 -0.341965   5074492  0.114909    50  0.073154  0.0083 0.000818 0.001058 0.003337 -0.018910  0.037061 -0.067479  45.8057226813 -346.9474482695    50.07315
