site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
PEJO 10MAY18 2010.3765 55334 1584 2   10.7  -1884 -0.209413   5136481  0.000604  1612  0.659585  0.0000 0.000928 0.001155 0.004400 -0.028555  0.182194 -0.348851  46.3634125526 -349.3244846900  1612.65958
PEJO 10MAY19 2010.3792 55335 1584 3   10.7  -1884 -0.209777   5136481 -0.000920  1612  0.667566  0.0000 0.000981 0.001185 0.004616 -0.059741  0.185856 -0.303612  46.3634125389 -349.3244846948  1612.66757
PEJO 10MAY20 2010.3819 55336 1584 4   10.7  -1884 -0.212659   5136481 -0.000513  1612  0.668923  0.0000 0.000981 0.001179 0.004626 -0.064891  0.200945 -0.310181  46.3634125426 -349.3244847322  1612.66892
PEJO 10MAY21 2010.3847 55337 1584 5   10.7  -1884 -0.211222   5136481  0.000081  1612  0.670853  0.0000 0.000955 0.001189 0.004399 -0.039454  0.180796 -0.332213  46.3634125479 -349.3244847135  1612.67085
PEJO 10MAY22 2010.3874 55338 1584 6   10.7  -1884 -0.211085   5136481  0.000077  1612  0.673406  0.0000 0.000957 0.001179 0.004442 -0.011965  0.172237 -0.319429  46.3634125479 -349.3244847118  1612.67341
PEJO 10MAY23 2010.3901 55339 1585 0   10.7  -1884 -0.209453   5136481 -0.000073  1612  0.668485  0.0000 0.000947 0.001165 0.004392  0.002451  0.166433 -0.326150  46.3634125465 -349.3244846906  1612.66849
PEJO 10MAY24 2010.3929 55340 1585 1   10.7  -1884 -0.213969   5136481 -0.000529  1612  0.662004  0.0000 0.000952 0.001179 0.004378 -0.022260  0.162775 -0.316043  46.3634125424 -349.3244847492  1612.66200
PEJO 10MAY25 2010.3956 55341 1585 2   10.7  -1884 -0.213913   5136481  0.002368  1612  0.657853  0.0000 0.000970 0.001188 0.004513  0.005386  0.159649 -0.334868  46.3634125685 -349.3244847485  1612.65785
PEJO 10MAY26 2010.3984 55342 1585 3   10.7  -1884 -0.211442   5136481 -0.000582  1612  0.661766  0.0000 0.000931 0.001158 0.004392 -0.037115  0.199031 -0.326841  46.3634125420 -349.3244847164  1612.66177
PEJO 10MAY27 2010.4011 55343 1585 4   10.7  -1884 -0.210118   5136481  0.000387  1612  0.668271  0.0000 0.000941 0.001159 0.004409 -0.028364  0.214754 -0.314266  46.3634125507 -349.3244846992  1612.66827
PEJO 10MAY28 2010.4038 55344 1585 5   10.7  -1884 -0.210396   5136481  0.000293  1612  0.666838  0.0000 0.000928 0.001153 0.004380 -0.019706  0.197064 -0.331105  46.3634125498 -349.3244847028  1612.66684
PEJO 10MAY29 2010.4066 55345 1585 6   10.7  -1884 -0.208407   5136481  0.001252  1612  0.672643  0.0000 0.000940 0.001162 0.004392 -0.041567  0.183832 -0.328279  46.3634125585 -349.3244846770  1612.67264
PEJO 10MAY30 2010.4093 55346 1586 0   10.7  -1884 -0.212921   5136481 -0.000027  1612  0.681375  0.0000 0.000947 0.001150 0.004477 -0.029506  0.229463 -0.338135  46.3634125470 -349.3244847356  1612.68138
PEJO 10MAY31 2010.4120 55347 1586 1   10.7  -1884 -0.214261   5136481  0.002518  1612  0.675198  0.0000 0.000955 0.001159 0.004469 -0.036488  0.222812 -0.326017  46.3634125698 -349.3244847530  1612.67520
PEJO 10JUN01 2010.4148 55348 1586 2   10.7  -1884 -0.212020   5136481  0.001129  1612  0.667494  0.0000 0.000939 0.001148 0.004392 -0.036727  0.209525 -0.325876  46.3634125574 -349.3244847239  1612.66749
PEJO 10JUN02 2010.4175 55349 1586 3   10.7  -1884 -0.207787   5136481  0.001080  1612  0.656507  0.0000 0.000943 0.001149 0.004422 -0.031091  0.215268 -0.323393  46.3634125569 -349.3244846689  1612.65651
PEJO 10JUN03 2010.4203 55350 1586 4   10.7  -1884 -0.213864   5136481 -0.001983  1612  0.669891  0.0000 0.000951 0.001174 0.004546 -0.019449  0.192654 -0.343892  46.3634125294 -349.3244847479  1612.66989
PEJO 10JUN04 2010.4230 55351 1586 5   10.7  -1884 -0.209218   5136481 -0.001157  1612  0.668819  0.0000 0.000939 0.001137 0.004332 -0.046589  0.214975 -0.310133  46.3634125368 -349.3244846875  1612.66882
PEJO 10JUN05 2010.4257 55352 1586 6   10.7  -1884 -0.210716   5136481 -0.000238  1612  0.666419  0.0000 0.000948 0.001141 0.004384 -0.037163  0.221746 -0.312857  46.3634125451 -349.3244847070  1612.66642
