site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
ROVI 04NOV17 2004.8789 53326 1297 3   11.8  -1357 -0.434937   4994564  0.297126    62  0.773261  0.0000 0.000751 0.000998 0.003073 -0.028328  0.040633 -0.058373  45.0865625141 -348.2172420809    62.77326
ROVI 04NOV22 2004.8925 53331 1298 1   11.8  -1357 -0.433542   4994564  0.295665    62  0.779218  0.0000 0.000775 0.001020 0.003177 -0.017863  0.058898 -0.112818  45.0865625010 -348.2172420632    62.77922
ROVI 04NOV23 2004.8953 53332 1298 2   11.8  -1357 -0.436630   4994564  0.297108    62  0.781297  0.0000 0.001141 0.001498 0.004648  0.013686  0.101169 -0.053089  45.0865625140 -348.2172421024    62.78130
ROVI 04NOV24 2004.8980 53333 1298 3   11.8  -1357 -0.436191   4994564  0.299448    62  0.778707  0.0000 0.000748 0.000997 0.003057 -0.043723  0.060544 -0.064800  45.0865625350 -348.2172420968    62.77871
ROVI 04NOV25 2004.9008 53334 1298 4   11.8  -1357 -0.434888   4994564  0.298070    62  0.778402  0.0000 0.000790 0.001042 0.003203 -0.064088  0.066084 -0.062598  45.0865625226 -348.2172420803    62.77840
ROVI 04NOV26 2004.9035 53335 1298 5   11.8  -1357 -0.435499   4994564  0.297907    62  0.776792  0.0000 0.000837 0.001101 0.003402 -0.018336  0.093531 -0.022846  45.0865625211 -348.2172420880    62.77679
ROVI 04NOV27 2004.9062 53336 1298 6   11.8  -1357 -0.434163   4994564  0.299421    62  0.780245  0.0000 0.000885 0.001139 0.003618 -0.013787  0.071805 -0.055444  45.0865625348 -348.2172420711    62.78025
ROVI 04NOV28 2004.9090 53337 1299 0   11.8  -1357 -0.435161   4994564  0.297995    62  0.781846  0.0000 0.000916 0.001197 0.003733 -0.001824  0.059384 -0.072683  45.0865625219 -348.2172420837    62.78185
ROVI 04NOV29 2004.9117 53338 1299 1   11.8  -1357 -0.434522   4994564  0.297407    62  0.796219  0.0000 0.001121 0.001496 0.004720 -0.033515  0.150119 -0.063460  45.0865625166 -348.2172420756    62.79622
ROVI 04NOV30 2004.9144 53339 1299 2   11.8  -1357 -0.431841   4994564  0.295567    62  0.786489  0.0000 0.001325 0.001712 0.005451 -0.040391  0.119108 -0.063018  45.0865625001 -348.2172420416    62.78649
ROVI 04DEC01 2004.9172 53340 1299 3   11.8  -1357 -0.433918   4994564  0.300360    62  0.779787  0.0000 0.000998 0.001283 0.004049 -0.010903  0.117072 -0.106103  45.0865625432 -348.2172420680    62.77979
