site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
SDNA 08AUG26 2008.6516 54704 1494 2   12.6  -2792 -0.402009   5054942  0.433213    66  0.740543  0.0000 0.000757 0.000938 0.003007 -0.010599 -0.001954 -0.072419  45.6298304665 -347.4358100184    66.74054
SDNA 08AUG27 2008.6543 54705 1494 3   12.6  -2792 -0.402806   5054942  0.434546    66  0.740507  0.0000 0.000771 0.000969 0.003106 -0.023207  0.030576 -0.081108  45.6298304785 -347.4358100286    66.74051
SDNA 08AUG28 2008.6571 54706 1494 4   12.6  -2792 -0.403440   5054942  0.434810    66  0.737189  0.0000 0.000802 0.000990 0.003185 -0.019924  0.020429 -0.078168  45.6298304809 -347.4358100367    66.73719
SDNA 08AUG29 2008.6598 54707 1494 5   12.6  -2792 -0.403047   5054942  0.433134    66  0.746191  0.0000 0.000767 0.000964 0.003100 -0.017473  0.013387 -0.075030  45.6298304658 -347.4358100317    66.74619
SDNA 08AUG30 2008.6626 54708 1494 6   12.6  -2792 -0.402777   5054942  0.431979    66  0.742467  0.0000 0.000767 0.000967 0.003106 -0.027245  0.024868 -0.064523  45.6298304554 -347.4358100282    66.74247
SDNA 08AUG31 2008.6653 54709 1495 0   12.6  -2792 -0.401359   5054942  0.434340    66  0.744292  0.0000 0.000770 0.000972 0.003129 -0.021805  0.012402 -0.066295  45.6298304766 -347.4358100101    66.74429
SDNA 08SEP01 2008.6680 54710 1495 1   12.6  -2792 -0.401236   5054942  0.434245    66  0.745284  0.0000 0.000784 0.000976 0.003179 -0.022947  0.017049 -0.093980  45.6298304758 -347.4358100085    66.74528
SDNA 08SEP02 2008.6708 54711 1495 2   12.6  -2792 -0.401813   5054942  0.435154    66  0.740948  0.0000 0.000783 0.000990 0.003216  0.003347  0.007539 -0.086288  45.6298304840 -347.4358100159    66.74095
SDNA 08SEP03 2008.6735 54712 1495 3   12.6  -2792 -0.399351   5054942  0.431012    66  0.746995  0.0000 0.000807 0.001005 0.003341 -0.018006  0.025127 -0.061074  45.6298304467 -347.4358099843    66.74699
SDNA 08SEP04 2008.6762 54713 1495 4   12.6  -2792 -0.401860   5054942  0.433587    66  0.743279  0.0000 0.000855 0.001076 0.003513  0.012060 -0.019936 -0.056175  45.6298304699 -347.4358100165    66.74328
SDNA 08SEP05 2008.6790 54714 1495 5   12.6  -2792 -0.400896   5054942  0.433485    66  0.743759  0.0000 0.000784 0.000998 0.003245 -0.011496 -0.007331 -0.077611  45.6298304689 -347.4358100041    66.74376
SDNA 08SEP06 2008.6817 54715 1495 6   12.6  -2792 -0.402889   5054942  0.434604    66  0.741802  0.0000 0.000781 0.000974 0.003168 -0.029466  0.016424 -0.057143  45.6298304790 -347.4358100297    66.74180
SDNA 08SEP07 2008.6845 54716 1496 0   12.6  -2792 -0.403261   5054942  0.433195    66  0.740968  0.0000 0.000820 0.001017 0.003442 -0.019284 -0.004490 -0.116263  45.6298304663 -347.4358100344    66.74097
