site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
TEOL 04APR09 2004.2710 53104 1265 5   11.7  -1781 -0.527522   5023036  0.874904   203  0.406793  0.0083 0.000764 0.000994 0.003076 -0.023163  0.061630 -0.055957  45.3427583898 -348.3227307211   203.40679
TEOL 04APR10 2004.2738 53105 1265 6   11.7  -1781 -0.525924   5023036  0.874944   203  0.407973  0.0083 0.000759 0.001003 0.003075 -0.015391  0.058801 -0.054859  45.3427583901 -348.3227307007   203.40797
TEOL 04APR11 2004.2765 53106 1266 0   11.7  -1781 -0.525770   5023036  0.874339   203  0.408281  0.0083 0.000767 0.001009 0.003107 -0.035148  0.062863 -0.061410  45.3427583847 -348.3227306987   203.40828
TEOL 04APR12 2004.2793 53107 1266 1   11.7  -1781 -0.527210   5023036  0.874871   203  0.405030  0.0083 0.000765 0.001011 0.003116 -0.030551  0.036495 -0.045465  45.3427583895 -348.3227307171   203.40503
TEOL 04APR13 2004.2820 53108 1266 2   11.7  -1781 -0.526838   5023036  0.876271   203  0.406815  0.0083 0.000783 0.001025 0.003177  0.009732  0.031152 -0.053981  45.3427584021 -348.3227307124   203.40682
TEOL 04APR14 2004.2847 53109 1266 3   11.7  -1781 -0.524360   5023036  0.874600   203  0.402203  0.0083 0.000787 0.001019 0.003177  0.014918  0.019458 -0.048438  45.3427583870 -348.3227306808   203.40220
TEOL 04APR15 2004.2875 53110 1266 4   11.7  -1781 -0.528458   5023036  0.873799   203  0.401687  0.0083 0.000762 0.000998 0.003090 -0.017997  0.055524 -0.059642  45.3427583798 -348.3227307330   203.40169
TEOL 04APR16 2004.2902 53111 1266 5   11.7  -1781 -0.526573   5023036  0.874992   203  0.402501  0.0083 0.000762 0.001000 0.003087 -0.020190  0.050659 -0.040787  45.3427583906 -348.3227307090   203.40250
TEOL 04APR17 2004.2930 53112 1266 6   11.7  -1781 -0.525977   5023036  0.875478   203  0.407631  0.0083 0.000759 0.000996 0.003066 -0.024200  0.042156 -0.044662  45.3427583949 -348.3227307014   203.40763
TEOL 04APR18 2004.2957 53113 1267 0   11.7  -1781 -0.525335   5023036  0.875750   203  0.412204  0.0083 0.000761 0.001008 0.003092 -0.023781  0.030153 -0.048263  45.3427583974 -348.3227306932   203.41220
TEOL 04APR19 2004.2984 53114 1267 1   11.7  -1781 -0.527198   5023036  0.874763   203  0.405358  0.0083 0.000770 0.001003 0.003129 -0.010874  0.052423 -0.062340  45.3427583885 -348.3227307170   203.40536
TEOL 04APR20 2004.3012 53115 1267 2   11.7  -1781 -0.525024   5023036  0.875924   203  0.407636  0.0083 0.000769 0.000996 0.003107 -0.021996  0.074016 -0.062790  45.3427583990 -348.3227306892   203.40764
TEOL 04APR21 2004.3039 53116 1267 3   11.7  -1781 -0.524964   5023036  0.876436   203  0.403534  0.0083 0.000769 0.001000 0.003098 -0.026136  0.058344 -0.056084  45.3427584036 -348.3227306885   203.40353
TEOL 04APR22 2004.3066 53117 1267 4   11.7  -1781 -0.525332   5023036  0.877388   203  0.406424  0.0083 0.000763 0.000992 0.003072 -0.015711  0.057230 -0.040799  45.3427584121 -348.3227306932   203.40642
TEOL 04APR23 2004.3094 53118 1267 5   11.7  -1781 -0.524002   5023036  0.878266   203  0.407671  0.0083 0.000765 0.001000 0.003094 -0.020694  0.040051 -0.049328  45.3427584200 -348.3227306762   203.40767
TEOL 04APR24 2004.3121 53119 1267 6   11.7  -1781 -0.525180   5023036  0.877489   203  0.401166  0.0083 0.000780 0.001020 0.003179 -0.009917  0.056683 -0.049332  45.3427584130 -348.3227306912   203.40117
TEOL 04APR25 2004.3149 53120 1268 0   11.7  -1781 -0.523880   5023036  0.876952   203  0.403353  0.0083 0.000770 0.001015 0.003132 -0.017023  0.050047 -0.049236  45.3427584082 -348.3227306746   203.40335
TEOL 04APR26 2004.3176 53121 1268 1   11.7  -1781 -0.525623   5023036  0.878332   203  0.403765  0.0083 0.000760 0.000994 0.003046 -0.021336  0.058484 -0.039763  45.3427584206 -348.3227306969   203.40376
