site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
TRVS 09JAN01 2009.0021 54832 1512 4   12.2   1690  0.690500   5060498  0.679460    77  0.717669  0.0000 0.000863 0.001250 0.003410 -0.031465 -0.014361  0.031145  45.6798216270 -347.7782991307    77.71767
TRVS 09JAN02 2009.0048 54833 1512 5   12.2   1690  0.693247   5060498  0.680857    77  0.718310  0.0000 0.000873 0.001259 0.003517 -0.084615  0.053327  0.003018  45.6798216395 -347.7782990955    77.71831
TRVS 09JAN03 2009.0075 54834 1512 6   12.2   1690  0.693934   5060498  0.683725    77  0.721178  0.0000 0.000871 0.001223 0.003533 -0.018735  0.006125  0.054816  45.6798216653 -347.7782990866    77.72118
TRVS 09JAN04 2009.0103 54835 1513 0   12.2   1690  0.692542   5060498  0.682409    77  0.729448  0.0000 0.000916 0.001308 0.003544 -0.054434  0.052704  0.011228  45.6798216535 -347.7782991045    77.72945
TRVS 09JAN05 2009.0130 54836 1513 1   12.2   1690  0.693863   5060498  0.681716    77  0.724212  0.0000 0.000916 0.001279 0.003555 -0.066099 -0.007250  0.059914  45.6798216472 -347.7782990876    77.72421
TRVS 09JAN06 2009.0157 54837 1513 2   12.2   1690  0.695599   5060498  0.682228    77  0.725735  0.0000 0.000867 0.001161 0.003509 -0.127792 -0.014164  0.000222  45.6798216519 -347.7782990653    77.72573
TRVS 09JAN07 2009.0185 54838 1513 3   12.2   1690  0.694601   5060498  0.682375    77  0.720747  0.0000 0.000874 0.001281 0.003489 -0.099699 -0.031319  0.091927  45.6798216532 -347.7782990781    77.72075
TRVS 09JAN08 2009.0212 54839 1513 4   12.2   1690  0.694252   5060498  0.681451    77  0.712647  0.0000 0.001041 0.001457 0.004319 -0.104682 -0.026943 -0.019012  45.6798216449 -347.7782990826    77.71265
TRVS 09JAN09 2009.0240 54840 1513 5   12.2   1690  0.693033   5060498  0.683721    77  0.716780  0.0000 0.000896 0.001200 0.003741 -0.066787  0.074870 -0.005777  45.6798216653 -347.7782990982    77.71678
TRVS 09JAN10 2009.0267 54841 1513 6   12.2   1690  0.694981   5060498  0.683061    77  0.719449  0.0000 0.000868 0.001153 0.003369 -0.120791 -0.007335  0.010343  45.6798216594 -347.7782990732    77.71945
TRVS 09JAN11 2009.0294 54842 1514 0   12.2   1690  0.696017   5060498  0.684087    77  0.709544  0.0000 0.000865 0.001242 0.003525 -0.015734  0.036382  0.034418  45.6798216686 -347.7782990599    77.70954
TRVS 09JAN12 2009.0322 54843 1514 1   12.2   1690  0.695185   5060498  0.682838    77  0.712243  0.0000 0.000863 0.001135 0.003412 -0.111080  0.028028 -0.006565  45.6798216574 -347.7782990706    77.71224
TRVS 09JAN13 2009.0349 54844 1514 2   12.2   1690  0.694559   5060498  0.684803    77  0.718284  0.0000 0.000901 0.001276 0.003642 -0.090373  0.002821  0.008227  45.6798216750 -347.7782990786    77.71828
TRVS 09JAN14 2009.0376 54845 1514 3   12.2   1690  0.693820   5060498  0.684210    77  0.726323  0.0000 0.000855 0.001186 0.003496 -0.009519  0.038046  0.024509  45.6798216697 -347.7782990881    77.72632
TRVS 09JAN15 2009.0404 54846 1514 4   12.2   1690  0.694125   5060498  0.683238    77  0.726534  0.0000 0.000861 0.001227 0.003464 -0.069881 -0.004012  0.005719  45.6798216609 -347.7782990842    77.72653
TRVS 09JAN16 2009.0431 54847 1514 5   12.2   1690  0.694506   5060498  0.685492    77  0.723374  0.0000 0.000966 0.001328 0.003855 -0.105613  0.023257 -0.021332  45.6798216812 -347.7782990793    77.72337
TRVS 09JAN17 2009.0459 54848 1514 6   12.2   1690  0.693909   5060498  0.684013    77  0.715969  0.0000 0.000871 0.001160 0.003525 -0.087535  0.002854  0.012974  45.6798216679 -347.7782990870    77.71597
TRVS 09JAN18 2009.0486 54849 1515 0   12.2   1690  0.694021   5060498  0.681346    77  0.720164  0.0000 0.000848 0.001229 0.003397 -0.084616  0.000760  0.014879  45.6798216439 -347.7782990855    77.72016
TRVS 09JAN19 2009.0513 54850 1515 1   12.2   1690  0.693693   5060498  0.681595    77  0.728106  0.0000 0.000843 0.001182 0.003555 -0.055043  0.012879  0.013994  45.6798216462 -347.7782990898    77.72811
TRVS 09JAN20 2009.0541 54851 1515 2   12.2   1690  0.694743   5060498  0.684938    77  0.732402  0.0000 0.000875 0.001221 0.003630 -0.008092 -0.030351  0.029364  45.6798216762 -347.7782990763    77.73240
TRVS 09JAN21 2009.0568 54852 1515 3   12.2   1690  0.695060   5060498  0.686699    77  0.727493  0.0000 0.000865 0.001257 0.003565 -0.022393 -0.007145  0.034909  45.6798216921 -347.7782990722    77.72749
TRVS 09JAN22 2009.0595 54853 1515 4   12.2   1690  0.694169   5060498  0.687128    77  0.734440  0.0000 0.000877 0.001254 0.003573 -0.025576  0.051993  0.000203  45.6798216959 -347.7782990836    77.73444
TRVS 09JAN23 2009.0623 54854 1515 5   12.2   1690  0.693500   5060498  0.683932    77  0.732492  0.0000 0.000994 0.001375 0.004124  0.005174 -0.017279  0.004057  45.6798216672 -347.7782990922    77.73249
TRVS 09JAN24 2009.0650 54855 1515 6   12.2   1690  0.691977   5060498  0.683030    77  0.732316  0.0000 0.000876 0.001188 0.003592 -0.019827 -0.021686 -0.046305  45.6798216591 -347.7782991118    77.73232
TRVS 09JAN25 2009.0678 54856 1516 0   12.2   1690  0.691814   5060498  0.685866    77  0.730226  0.0000 0.000853 0.001214 0.003572 -0.045594  0.045876 -0.000982  45.6798216846 -347.7782991138    77.73023
TRVS 09JAN26 2009.0705 54857 1516 1   12.2   1690  0.693866   5060498  0.685346    77  0.725122  0.0000 0.000913 0.001260 0.003649 -0.075585 -0.034628 -0.019024  45.6798216799 -347.7782990875    77.72512
TRVS 09JAN27 2009.0732 54858 1516 2   12.2   1690  0.695221   5060498  0.685362    77  0.725455  0.0000 0.000850 0.001180 0.003507 -0.026388 -0.015189  0.004006  45.6798216801 -347.7782990701    77.72546
TRVS 09JAN31 2009.0842 54862 1516 6   12.2   1690  0.694062   5060498  0.686401    77  0.715355  0.0000 0.000855 0.001183 0.003553 -0.044575 -0.007579 -0.027830  45.6798216894 -347.7782990850    77.71535
