site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
VLCH 01JAN01 2001.0021 51910 1095 1   13.9  -3795 -0.926210   5163561  0.628293   572  0.054332  0.0250 0.000757 0.001003 0.003136 -0.026800  0.040285 -0.008382  46.6070292671 -346.1495475178   572.05433
VLCH 01JAN02 2001.0048 51911 1095 2   13.9  -3795 -0.926878   5163561  0.624985   572  0.047803  0.0250 0.000754 0.001013 0.003167 -0.041566  0.021785 -0.012603  46.6070292374 -346.1495475264   572.04780
VLCH 01JAN03 2001.0075 51912 1095 3   13.9  -3795 -0.927442   5163561  0.628113   572  0.052745  0.0250 0.000779 0.001043 0.003249 -0.049800  0.007239 -0.062631  46.6070292655 -346.1495475338   572.05275
VLCH 01JAN04 2001.0103 51913 1095 4   13.9  -3795 -0.928954   5163561  0.628766   572  0.057145  0.0250 0.000777 0.001079 0.003324 -0.069868 -0.014261  0.022673  46.6070292714 -346.1495475536   572.05714
VLCH 01JAN05 2001.0130 51914 1095 5   13.9  -3795 -0.928403   5163561  0.629739   572  0.054991  0.0250 0.000762 0.001022 0.003149 -0.072149 -0.014770  0.015940  46.6070292801 -346.1495475464   572.05499
VLCH 01JAN06 2001.0157 51915 1095 6   13.9  -3795 -0.926803   5163561  0.630092   572  0.053296  0.0250 0.000796 0.001048 0.003315 -0.072462  0.005270 -0.002581  46.6070292833 -346.1495475255   572.05330
VLCH 01JAN07 2001.0185 51916 1096 0   13.9  -3795 -0.927440   5163561  0.633908   572  0.044295  0.0250 0.000778 0.001055 0.003271 -0.013116 -0.020667 -0.012731  46.6070293176 -346.1495475339   572.04430
VLCH 01JAN08 2001.0212 51917 1096 1   13.9  -3795 -0.930550   5163561  0.632544   572  0.049359  0.0250 0.000757 0.001039 0.003151 -0.014537 -0.076541 -0.080130  46.6070293054 -346.1495475744   572.04936
VLCH 01JAN09 2001.0240 51918 1096 2   13.9  -3795 -0.927243   5163561  0.630342   572  0.048851  0.0250 0.000736 0.001001 0.003063 -0.062320 -0.031088  0.038789  46.6070292855 -346.1495475313   572.04885
VLCH 01JAN10 2001.0267 51919 1096 3   13.9  -3795 -0.927128   5163561  0.630751   572  0.045587  0.0250 0.000737 0.001000 0.003042 -0.009202 -0.043823  0.016039  46.6070292892 -346.1495475298   572.04559
VLCH 01JAN11 2001.0294 51920 1096 4   13.9  -3795 -0.926769   5163561  0.632272   572  0.052066  0.0250 0.000753 0.001023 0.003144  0.004579  0.008385 -0.028511  46.6070293029 -346.1495475251   572.05207
VLCH 01JAN12 2001.0322 51921 1096 5   13.9  -3795 -0.926933   5163561  0.633228   572  0.048994  0.0250 0.000731 0.000998 0.003048 -0.045937  0.019410 -0.026144  46.6070293115 -346.1495475272   572.04899
VLCH 01JAN13 2001.0349 51922 1096 6   13.9  -3795 -0.924466   5163561  0.631947   572  0.046506  0.0250 0.000756 0.001017 0.003128 -0.010175  0.003830  0.017623  46.6070293000 -346.1495474950   572.04651
VLCH 01JAN14 2001.0376 51923 1097 0   13.9  -3795 -0.923728   5163561  0.629178   572  0.045520  0.0250 0.000735 0.000986 0.002994 -0.014721 -0.024160 -0.003911  46.6070292751 -346.1495474854   572.04552
VLCH 01JAN15 2001.0404 51924 1097 1   13.9  -3795 -0.922761   5163561  0.630109   572  0.047785  0.0250 0.000725 0.000982 0.002978 -0.015017 -0.010934  0.018986  46.6070292835 -346.1495474727   572.04778
VLCH 01JAN16 2001.0431 51925 1097 2   13.9  -3795 -0.924866   5163561  0.631632   572  0.049528  0.0250 0.000725 0.000971 0.002949 -0.052932 -0.023888  0.007437  46.6070292972 -346.1495475002   572.04953
VLCH 01JAN17 2001.0459 51926 1097 3   13.9  -3795 -0.923922   5163561  0.631925   572  0.049070  0.0250 0.000736 0.001018 0.003078 -0.013844  0.000684  0.027021  46.6070292998 -346.1495474879   572.04907
VLCH 01JAN18 2001.0486 51927 1097 4   13.9  -3795 -0.923346   5163561  0.631997   572  0.048345  0.0250 0.000733 0.000994 0.002986 -0.014719  0.014226  0.003598  46.6070293004 -346.1495474804   572.04834
VLCH 01JAN19 2001.0513 51928 1097 5   13.9  -3795 -0.925914   5163561  0.631043   572  0.049144  0.0250 0.000760 0.001041 0.003114 -0.020984  0.003786  0.008636  46.6070292919 -346.1495475139   572.04914
