site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
PORD 06AUG25 2006.6475 53972 1389 5   12.7  -3007 -0.516736   5091281  0.502569    81  0.755557  0.0000 0.000751 0.000978 0.002989  0.057259 -0.053009 -0.133209  45.9567756633 -347.3387948559    81.75556
PORD 06AUG26 2006.6502 53973 1389 6   12.7  -3007 -0.517955   5091281  0.499765    81  0.758440  0.0000 0.000740 0.000970 0.002906  0.022479 -0.033618 -0.144982  45.9567756381 -347.3387948716    81.75844
PORD 06AUG27 2006.6530 53974 1390 0   12.7  -3007 -0.518386   5091281  0.501145    81  0.757768  0.0000 0.000759 0.001004 0.003068  0.004676 -0.035856 -0.165702  45.9567756505 -347.3387948772    81.75777
PORD 06AUG28 2006.6557 53975 1390 1   12.7  -3007 -0.516901   5091281  0.501418    81  0.756043  0.0000 0.000740 0.000986 0.002951  0.005313 -0.002845 -0.150213  45.9567756530 -347.3387948581    81.75604
PORD 06AUG29 2006.6585 53976 1390 2   12.7  -3007 -0.518053   5091281  0.502944    81  0.756548  0.0000 0.000752 0.001035 0.003118  0.017754 -0.040625 -0.158178  45.9567756667 -347.3387948729    81.75655
PORD 06AUG30 2006.6612 53977 1390 3   12.7  -3007 -0.515581   5091281  0.501575    81  0.754629  0.0000 0.000760 0.000996 0.003062  0.019963 -0.023054 -0.145850  45.9567756544 -347.3387948410    81.75463
PORD 06AUG31 2006.6639 53978 1390 4   12.7  -3007 -0.517219   5091281  0.502304    81  0.751409  0.0000 0.000735 0.000970 0.002884  0.017875 -0.029703 -0.135821  45.9567756609 -347.3387948622    81.75141
PORD 06SEP01 2006.6667 53979 1390 5   12.7  -3007 -0.517267   5091281  0.503273    81  0.753099  0.0000 0.000708 0.000946 0.002813  0.023862 -0.016953 -0.123910  45.9567756697 -347.3387948628    81.75310
PORD 06SEP02 2006.6694 53980 1390 6   12.7  -3007 -0.517714   5091281  0.503238    81  0.749108  0.0000 0.000697 0.000948 0.002768  0.021987 -0.005657 -0.116055  45.9567756693 -347.3387948686    81.74911
PORD 06SEP03 2006.6721 53981 1391 0   12.7  -3007 -0.516697   5091281  0.502888    81  0.751970  0.0000 0.000700 0.000947 0.002803  0.013935 -0.004876 -0.118211  45.9567756662 -347.3387948554    81.75197
PORD 06SEP04 2006.6749 53982 1391 1   12.7  -3007 -0.514074   5091281  0.502224    81  0.754378  0.0000 0.000728 0.000987 0.002951  0.014312 -0.039454 -0.103084  45.9567756602 -347.3387948216    81.75438
PORD 06SEP05 2006.6776 53983 1391 2   12.7  -3007 -0.517407   5091281  0.508580    81  0.750840  0.0000 0.000725 0.000987 0.002932  0.014094 -0.021345 -0.139654  45.9567757174 -347.3387948646    81.75084
PORD 06SEP06 2006.6804 53984 1391 3   12.7  -3007 -0.515862   5091281  0.502129    81  0.757671  0.0000 0.000697 0.000942 0.002762  0.018759 -0.005730 -0.125378  45.9567756594 -347.3387948447    81.75767
PORD 06SEP07 2006.6831 53985 1391 4   12.7  -3007 -0.516496   5091281  0.503817    81  0.752127  0.0000 0.000727 0.000983 0.002875  0.015142  0.005511 -0.106934  45.9567756746 -347.3387948529    81.75213
PORD 06SEP08 2006.6858 53986 1391 5   12.7  -3007 -0.517270   5091281  0.502559    81  0.749913  0.0000 0.000787 0.001045 0.003245 -0.012677  0.033475 -0.168506  45.9567756632 -347.3387948628    81.74991
PORD 06SEP09 2006.6886 53987 1391 6   12.7  -3007 -0.515965   5091281  0.504251    81  0.750217  0.0000 0.000716 0.000945 0.002799  0.035612 -0.015544 -0.121329  45.9567756785 -347.3387948460    81.75022
PORD 06SEP10 2006.6913 53988 1392 0   12.7  -3007 -0.515077   5091281  0.504334    81  0.752070  0.0000 0.000721 0.000945 0.002817  0.048813 -0.022001 -0.133896  45.9567756792 -347.3387948345    81.75207
PORD 06SEP11 2006.6940 53989 1392 1   12.7  -3007 -0.516673   5091281  0.503704    81  0.745920  0.0000 0.000712 0.000943 0.002780  0.044194 -0.027452 -0.149698  45.9567756735 -347.3387948551    81.74592
PORD 06SEP12 2006.6968 53990 1392 2   12.7  -3007 -0.516940   5091281  0.502888    81  0.754415  0.0000 0.000721 0.000954 0.002849  0.040023 -0.025665 -0.129490  45.9567756662 -347.3387948586    81.75442
PORD 06SEP13 2006.6995 53991 1392 3   12.7  -3007 -0.514856   5091281  0.502024    81  0.749510  0.0000 0.000722 0.000938 0.002826  0.044673 -0.035916 -0.148731  45.9567756584 -347.3387948317    81.74951
PORD 06SEP14 2006.7023 53992 1392 4   12.7  -3007 -0.514941   5091281  0.503972    81  0.757186  0.0000 0.000755 0.000972 0.002995  0.036550 -0.022164 -0.158010  45.9567756759 -347.3387948328    81.75719
PORD 06SEP15 2006.7050 53993 1392 5   12.7  -3007 -0.514550   5091281  0.503851    81  0.749368  0.0000 0.000804 0.001053 0.003313  0.029731 -0.039836 -0.178082  45.9567756749 -347.3387948277    81.74937
PORD 06SEP16 2006.7077 53994 1392 6   12.7  -3007 -0.514332   5091281  0.501049    81  0.756276  0.0000 0.000724 0.000970 0.002903  0.062529 -0.047661 -0.116323  45.9567756496 -347.3387948249    81.75628
PORD 06SEP17 2006.7105 53995 1393 0   12.7  -3007 -0.515692   5091281  0.501478    81  0.754945  0.0000 0.000707 0.000933 0.002771  0.063893 -0.028859 -0.147400  45.9567756535 -347.3387948425    81.75495
PORD 06SEP18 2006.7132 53996 1393 1   12.7  -3007 -0.515839   5091281  0.502322    81  0.751989  0.0000 0.000710 0.000936 0.002799  0.059795 -0.036662 -0.153886  45.9567756611 -347.3387948444    81.75199
PORD 06SEP19 2006.7159 53997 1393 2   12.7  -3007 -0.516561   5091281  0.501413    81  0.750954  0.0000 0.000706 0.000930 0.002769  0.065625 -0.027055 -0.165450  45.9567756529 -347.3387948537    81.75095
PORD 06SEP20 2006.7187 53998 1393 3   12.7  -3007 -0.516878   5091281  0.503307    81  0.744374  0.0000 0.000710 0.000933 0.002774  0.071803 -0.045851 -0.139892  45.9567756700 -347.3387948578    81.74437
PORD 06SEP21 2006.7214 53999 1393 4   12.7  -3007 -0.515597   5091281  0.502428    81  0.747200  0.0000 0.000723 0.000954 0.002845  0.045561 -0.046818 -0.156549  45.9567756621 -347.3387948412    81.74720
PORD 06SEP22 2006.7242 54000 1393 5   12.7  -3007 -0.515457   5091281  0.502952    81  0.749085  0.0000 0.000726 0.000974 0.002841  0.033107 -0.041276 -0.159016  45.9567756668 -347.3387948394    81.74908
PORD 06SEP23 2006.7269 54001 1393 6   12.7  -3007 -0.514667   5091281  0.503074    81  0.750125  0.0000 0.000717 0.000958 0.002792  0.057694 -0.043563 -0.131237  45.9567756679 -347.3387948293    81.75013
PORD 06SEP24 2006.7296 54002 1394 0   12.7  -3007 -0.514624   5091281  0.503303    81  0.751148  0.0000 0.000719 0.000944 0.002773  0.064904 -0.042721 -0.144269  45.9567756699 -347.3387948287    81.75115
PORD 06SEP25 2006.7324 54003 1394 1   12.7  -3007 -0.514564   5091281  0.501792    81  0.748639  0.0000 0.000706 0.000947 0.002798  0.051441 -0.047051 -0.125451  45.9567756563 -347.3387948279    81.74864
PORD 06SEP26 2006.7351 54004 1394 2   12.7  -3007 -0.515463   5091281  0.501755    81  0.750879  0.0000 0.000707 0.000948 0.002798  0.054057 -0.028412 -0.149308  45.9567756560 -347.3387948395    81.75088
PORD 06SEP27 2006.7379 54005 1394 3   12.7  -3007 -0.516157   5091281  0.504970    81  0.752746  0.0000 0.000719 0.000948 0.002829  0.070539 -0.066618 -0.147275  45.9567756849 -347.3387948485    81.75275
PORD 06SEP28 2006.7406 54006 1394 4   12.7  -3007 -0.514644   5091281  0.504024    81  0.751734  0.0000 0.000675 0.000909 0.002663  0.057435 -0.031512 -0.117084  45.9567756764 -347.3387948290    81.75173
PORD 06SEP29 2006.7433 54007 1394 5   12.7  -3007 -0.515666   5091281  0.504676    81  0.754570  0.0000 0.000674 0.000900 0.002629  0.056009 -0.034610 -0.115781  45.9567756823 -347.3387948421    81.75457
PORD 06SEP30 2006.7461 54008 1394 6   12.7  -3007 -0.516010   5091281  0.503790    81  0.750374  0.0000 0.000721 0.000944 0.002864  0.066479 -0.066933 -0.155034  45.9567756743 -347.3387948466    81.75037
PORD 06OCT01 2006.7488 54009 1395 0   12.7  -3007 -0.515138   5091281  0.503267    81  0.749872  0.0000 0.000715 0.000942 0.002804  0.076444 -0.065855 -0.134859  45.9567756696 -347.3387948353    81.74987
PORD 06OCT02 2006.7515 54010 1395 1   12.7  -3007 -0.516051   5091281  0.502907    81  0.749048  0.0000 0.000738 0.000973 0.002904  0.039838 -0.015319 -0.118335  45.9567756664 -347.3387948471    81.74905
PORD 06OCT03 2006.7543 54011 1395 2   12.7  -3007 -0.514455   5091281  0.504867    81  0.752312  0.0000 0.000734 0.000982 0.002905  0.052327 -0.011943 -0.117726  45.9567756840 -347.3387948265    81.75231
PORD 06OCT04 2006.7570 54012 1395 3   12.7  -3007 -0.517597   5091281  0.503842    81  0.744316  0.0000 0.000753 0.000973 0.003029  0.039951 -0.056396 -0.161863  45.9567756748 -347.3387948671    81.74432
PORD 06OCT05 2006.7598 54013 1395 4   12.7  -3007 -0.514410   5091281  0.504559    81  0.749705  0.0000 0.000687 0.000907 0.002723  0.046760 -0.030469 -0.132258  45.9567756812 -347.3387948259    81.74970
PORD 06OCT06 2006.7625 54014 1395 5   12.7  -3007 -0.515217   5091281  0.506674    81  0.749985  0.0000 0.000685 0.000912 0.002706  0.065302 -0.051924 -0.118739  45.9567757003 -347.3387948364    81.74998
PORD 06OCT07 2006.7652 54015 1395 6   12.7  -3007 -0.512829   5091281  0.504687    81  0.751234  0.0000 0.000725 0.000961 0.002859  0.034467 -0.040315 -0.148858  45.9567756824 -347.3387948055    81.75123
PORD 06OCT08 2006.7680 54016 1396 0   12.7  -3007 -0.512272   5091281  0.506938    81  0.746555  0.0000 0.000729 0.000962 0.002861  0.041735 -0.043815 -0.140620  45.9567757026 -347.3387947984    81.74655
PORD 06OCT09 2006.7707 54017 1396 1   12.7  -3007 -0.511963   5091281  0.506155    81  0.747524  0.0000 0.000678 0.000914 0.002685  0.052082 -0.021224 -0.119632  45.9567756956 -347.3387947944    81.74752
PORD 06OCT10 2006.7734 54018 1396 2   12.7  -3007 -0.511501   5091281  0.506425    81  0.744226  0.0000 0.000716 0.000937 0.002820  0.056641 -0.043748 -0.149100  45.9567756980 -347.3387947884    81.74423
PORD 06OCT11 2006.7762 54019 1396 3   12.7  -3007 -0.511533   5091281  0.506290    81  0.748964  0.0000 0.000708 0.000930 0.002754  0.056469 -0.032968 -0.126970  45.9567756968 -347.3387947888    81.74896
PORD 06OCT12 2006.7789 54020 1396 4   12.7  -3007 -0.512041   5091281  0.506385    81  0.745158  0.0000 0.000715 0.000931 0.002807  0.054734 -0.039361 -0.164406  45.9567756977 -347.3387947954    81.74516
PORD 06OCT13 2006.7817 54021 1396 5   12.7  -3007 -0.511025   5091281  0.507092    81  0.745944  0.0000 0.000713 0.000942 0.002778  0.048796 -0.031970 -0.115275  45.9567757040 -347.3387947823    81.74594
PORD 06OCT14 2006.7844 54022 1396 6   12.7  -3007 -0.512460   5091281  0.506238    81  0.747315  0.0000 0.000708 0.000927 0.002737  0.063735 -0.035347 -0.132482  45.9567756963 -347.3387948008    81.74731
PORD 06OCT15 2006.7871 54023 1397 0   12.7  -3007 -0.512558   5091281  0.507234    81  0.747292  0.0000 0.000718 0.000952 0.002796  0.028318 -0.023201 -0.144123  45.9567757053 -347.3387948021    81.74729
PORD 06OCT16 2006.7899 54024 1397 1   12.7  -3007 -0.510851   5091281  0.506498    81  0.747360  0.0000 0.000708 0.000929 0.002765  0.060819 -0.037391 -0.147054  45.9567756987 -347.3387947801    81.74736
PORD 06OCT17 2006.7926 54025 1397 2   12.7  -3007 -0.511344   5091281  0.505741    81  0.746404  0.0000 0.000709 0.000936 0.002759  0.060957 -0.040477 -0.138741  45.9567756919 -347.3387947864    81.74640
PORD 06OCT18 2006.7953 54026 1397 3   12.7  -3007 -0.510677   5091281  0.504998    81  0.749399  0.0000 0.000714 0.000935 0.002790  0.058466 -0.044576 -0.149263  45.9567756852 -347.3387947778    81.74940
PORD 06OCT19 2006.7981 54027 1397 4   12.7  -3007 -0.511603   5091281  0.506535    81  0.755800  0.0000 0.000718 0.000934 0.002810  0.050787 -0.056700 -0.139266  45.9567756990 -347.3387947897    81.75580
PORD 06OCT20 2006.8008 54028 1397 5   12.7  -3007 -0.512117   5091281  0.504049    81  0.754348  0.0000 0.000733 0.000951 0.002844  0.037966 -0.035680 -0.139270  45.9567756766 -347.3387947964    81.75435
PORD 06OCT21 2006.8036 54029 1397 6   12.7  -3007 -0.510834   5091281  0.504297    81  0.750678  0.0000 0.000709 0.000933 0.002753  0.066423 -0.033537 -0.151490  45.9567756789 -347.3387947798    81.75068
PORD 06OCT22 2006.8063 54030 1398 0   12.7  -3007 -0.511592   5091281  0.504380    81  0.748400  0.0000 0.000670 0.000898 0.002655  0.046695 -0.039127 -0.115452  45.9567756796 -347.3387947896    81.74840
PORD 06OCT23 2006.8090 54031 1398 1   12.7  -3007 -0.511682   5091281  0.504691    81  0.752758  0.0000 0.000671 0.000910 0.002683  0.058768 -0.020139 -0.110203  45.9567756824 -347.3387947908    81.75276
PORD 06OCT24 2006.8118 54032 1398 2   12.7  -3007 -0.514326   5091281  0.505098    81  0.752104  0.0000 0.000691 0.000909 0.002735  0.033955 -0.031065 -0.097278  45.9567756861 -347.3387948249    81.75210
PORD 06OCT25 2006.8145 54033 1398 3   12.7  -3007 -0.514042   5091281  0.505457    81  0.745056  0.0000 0.000761 0.000980 0.002961  0.027842 -0.055910 -0.123383  45.9567756893 -347.3387948212    81.74506
PORD 06OCT26 2006.8172 54034 1398 4   12.7  -3007 -0.512236   5091281  0.504570    81  0.747842  0.0000 0.000733 0.000974 0.002832  0.069912 -0.036943 -0.132981  45.9567756813 -347.3387947979    81.74784
PORD 06OCT27 2006.8200 54035 1398 5   12.7  -3007 -0.512730   5091281  0.504311    81  0.743994  0.0000 0.000707 0.000937 0.002758  0.041045 -0.020946 -0.142203  45.9567756790 -347.3387948043    81.74399
PORD 06OCT28 2006.8227 54036 1398 6   12.7  -3007 -0.513762   5091281  0.504325    81  0.750459  0.0000 0.000727 0.000946 0.002823  0.060241 -0.030116 -0.130217  45.9567756791 -347.3387948176    81.75046
PORD 06OCT29 2006.8255 54037 1399 0   12.7  -3007 -0.512121   5091281  0.504942    81  0.754612  0.0000 0.000724 0.000963 0.002869  0.038437 -0.039269 -0.149525  45.9567756847 -347.3387947964    81.75461
PORD 06OCT30 2006.8282 54038 1399 1   12.7  -3007 -0.512544   5091281  0.505498    81  0.749166  0.0000 0.000723 0.000960 0.002856  0.041031 -0.060103 -0.145454  45.9567756897 -347.3387948019    81.74917
