site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
PORT 08AUG26 2008.6516 54704 1494 2   12.8   2575  0.107109   5070228  0.767851    59  0.535052  0.0000 0.000750 0.000943 0.003001 -0.013538  0.038930 -0.045868  45.7673649985 -347.1668955306    59.53505
PORT 08AUG27 2008.6543 54705 1494 3   12.8   2575  0.105675   5070228  0.768067    59  0.529653  0.0000 0.000757 0.000959 0.003046 -0.020614  0.031802 -0.062012  45.7673650004 -347.1668955490    59.52965
PORT 08AUG28 2008.6571 54706 1494 4   12.8   2575  0.105965   5070228  0.767391    59  0.530878  0.0000 0.000793 0.000980 0.003137 -0.027853  0.044993 -0.071893  45.7673649943 -347.1668955453    59.53088
PORT 08AUG29 2008.6598 54707 1494 5   12.8   2575  0.106542   5070228  0.766833    59  0.541886  0.0000 0.000763 0.000967 0.003090 -0.023791  0.026648 -0.060213  45.7673649893 -347.1668955379    59.54189
PORT 08AUG30 2008.6626 54708 1494 6   12.8   2575  0.107021   5070228  0.767118    59  0.532567  0.0000 0.000758 0.000963 0.003058 -0.030400  0.045438 -0.072011  45.7673649919 -347.1668955317    59.53257
PORT 08AUG31 2008.6653 54709 1495 0   12.8   2575  0.108103   5070228  0.767679    59  0.532633  0.0000 0.000755 0.000965 0.003058 -0.019097  0.022914 -0.062129  45.7673649969 -347.1668955178    59.53263
PORT 08SEP01 2008.6680 54710 1495 1   12.8   2575  0.109312   5070228  0.768445    59  0.537618  0.0000 0.000768 0.000979 0.003136 -0.010286  0.030289 -0.087082  45.7673650038 -347.1668955023    59.53762
PORT 08SEP02 2008.6708 54711 1495 2   12.8   2575  0.108126   5070228  0.767617    59  0.532941  0.0000 0.000772 0.000973 0.003129 -0.044323  0.057871 -0.056154  45.7673649964 -347.1668955175    59.53294
PORT 08SEP03 2008.6735 54712 1495 3   12.8   2575  0.107124   5070228  0.768506    59  0.533312  0.0000 0.000787 0.000988 0.003246 -0.020853  0.021260 -0.056600  45.7673650043 -347.1668955304    59.53331
PORT 08SEP04 2008.6762 54713 1495 4   12.8   2575  0.108791   5070228  0.769115    59  0.537683  0.0000 0.000844 0.001073 0.003511  0.024256 -0.011183 -0.046898  45.7673650098 -347.1668955090    59.53768
PORT 08SEP05 2008.6790 54714 1495 5   12.8   2575  0.108770   5070228  0.766920    59  0.537883  0.0000 0.000783 0.000981 0.003210 -0.014077 -0.005925 -0.071379  45.7673649901 -347.1668955093    59.53788
PORT 08SEP06 2008.6817 54715 1495 6   12.8   2575  0.106674   5070228  0.767984    59  0.533021  0.0000 0.000780 0.000970 0.003166 -0.021255  0.001490 -0.070473  45.7673649997 -347.1668955362    59.53302
PORT 08SEP07 2008.6845 54716 1496 0   12.8   2575  0.106232   5070228  0.768567    59  0.527336  0.0000 0.000796 0.001008 0.003305 -0.017694  0.047724 -0.104105  45.7673650049 -347.1668955419    59.52734
PORT 08SEP08 2008.6872 54717 1496 1   12.8   2575  0.107185   5070228  0.768642    59  0.536026  0.0000 0.000766 0.000968 0.003115 -0.017008  0.044683 -0.086163  45.7673650056 -347.1668955296    59.53603
PORT 08SEP09 2008.6899 54718 1496 2   12.8   2575  0.107851   5070228  0.768943    59  0.531575  0.0000 0.000763 0.000968 0.003093 -0.026546  0.050655 -0.053967  45.7673650083 -347.1668955211    59.53157
PORT 08SEP10 2008.6927 54719 1496 3   12.8   2575  0.106963   5070228  0.767832    59  0.531269  0.0000 0.000762 0.000966 0.003093 -0.026615  0.041512 -0.074429  45.7673649983 -347.1668955325    59.53127
PORT 08SEP11 2008.6954 54720 1496 4   12.8   2575  0.107182   5070228  0.769358    59  0.536771  0.0000 0.000761 0.000959 0.003064 -0.020159  0.022434 -0.080605  45.7673650120 -347.1668955297    59.53677
PORT 08SEP13 2008.7009 54722 1496 6   12.8   2575  0.106563   5070228  0.770353    59  0.531038  0.0000 0.000795 0.000998 0.003289  0.008265  0.021624 -0.057825  45.7673650210 -347.1668955376    59.53104
PORT 08SEP15 2008.7064 54724 1497 1   12.8   2575  0.107499   5070228  0.770010    59  0.532947  0.0000 0.000758 0.000953 0.003034 -0.016718  0.031204 -0.081984  45.7673650179 -347.1668955256    59.53295
PORT 08SEP16 2008.7091 54725 1497 2   12.8   2575  0.106826   5070228  0.769939    59  0.531246  0.0000 0.000771 0.000983 0.003154 -0.000151  0.034365 -0.096588  45.7673650172 -347.1668955342    59.53125
PORT 08SEP17 2008.7118 54726 1497 3   12.8   2575  0.107467   5070228  0.770349    59  0.533056  0.0000 0.000785 0.000965 0.003136  0.007922  0.027829 -0.060782  45.7673650209 -347.1668955260    59.53306
PORT 08SEP18 2008.7146 54727 1497 4   12.8   2575  0.108491   5070228  0.769783    59  0.529264  0.0000 0.000745 0.000930 0.002954 -0.015320  0.029287 -0.045704  45.7673650158 -347.1668955128    59.52926
PORT 08SEP19 2008.7173 54728 1497 5   12.8   2575  0.106935   5070228  0.769895    59  0.532821  0.0000 0.000750 0.000937 0.002974 -0.008908  0.035324 -0.048657  45.7673650168 -347.1668955328    59.53282
PORT 08SEP20 2008.7201 54729 1497 6   12.8   2575  0.109958   5070228  0.770656    59  0.529009  0.0000 0.000745 0.000936 0.002970 -0.015946  0.048419 -0.054389  45.7673650237 -347.1668954940    59.52901
PORT 08SEP21 2008.7228 54730 1498 0   12.8   2575  0.108297   5070228  0.769958    59  0.530722  0.0000 0.000745 0.000927 0.002945 -0.021010  0.019998 -0.072219  45.7673650174 -347.1668955153    59.53072
PORT 08SEP22 2008.7255 54731 1498 1   12.8   2575  0.108262   5070228  0.770213    59  0.532660  0.0000 0.000768 0.000944 0.002984 -0.021959  0.010827 -0.078219  45.7673650197 -347.1668955158    59.53266
PORT 08SEP23 2008.7283 54732 1498 2   12.8   2575  0.109078   5070228  0.770030    59  0.534130  0.0000 0.000747 0.000926 0.002947 -0.015736  0.024191 -0.069469  45.7673650181 -347.1668955053    59.53413
