site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
ROVR 08JUN19 2008.4654 54636 1484 4   11.1  -2178 -0.298069   5056844  0.621008  1366  0.065644  0.0083 0.000759 0.000941 0.003012  0.000168 -0.036551 -0.117107  45.6469450517 -348.9279431990  1366.06564
ROVR 08JUN20 2008.4682 54637 1484 5   11.1  -2178 -0.296662   5056844  0.621513  1366  0.064644  0.0083 0.000760 0.000950 0.003028 -0.016463 -0.021486 -0.105967  45.6469450563 -348.9279431809  1366.06464
ROVR 08OCT09 2008.7721 54748 1500 4   11.1  -2178 -0.294944   5056844  0.624786  1366  0.059454  0.0083 0.000755 0.000931 0.002986  0.001151 -0.036950 -0.097663  45.6469450857 -348.9279431589  1366.05945
ROVR 08OCT10 2008.7748 54749 1500 5   11.1  -2178 -0.295009   5056844  0.626138  1366  0.060235  0.0083 0.000756 0.000940 0.003031  0.007653 -0.053961 -0.101014  45.6469450979 -348.9279431597  1366.06023
ROVR 08OCT11 2008.7775 54750 1500 6   11.1  -2178 -0.293284   5056844  0.624527  1366  0.060894  0.0083 0.000748 0.000935 0.002969  0.001294 -0.045976 -0.092052  45.6469450834 -348.9279431376  1366.06089
ROVR 08OCT12 2008.7803 54751 1501 0   11.1  -2178 -0.293517   5056844  0.625072  1366  0.058259  0.0083 0.000761 0.000937 0.003014 -0.001264 -0.038958 -0.100878  45.6469450883 -348.9279431406  1366.05826
ROVR 08OCT13 2008.7830 54752 1501 1   11.1  -2178 -0.293612   5056844  0.624675  1366  0.068901  0.0083 0.000755 0.000938 0.002988 -0.002119 -0.032464 -0.102374  45.6469450847 -348.9279431418  1366.06890
ROVR 08OCT14 2008.7858 54753 1501 2   11.1  -2178 -0.293892   5056844  0.625449  1366  0.064093  0.0083 0.000748 0.000929 0.002950 -0.004453 -0.028687 -0.096699  45.6469450917 -348.9279431454  1366.06409
ROVR 08OCT15 2008.7885 54754 1501 3   11.1  -2178 -0.295372   5056844  0.625398  1366  0.067631  0.0083 0.000766 0.000960 0.003036  0.020792 -0.048164 -0.059063  45.6469450913 -348.9279431644  1366.06763
ROVR 08OCT16 2008.7912 54755 1501 4   11.1  -2178 -0.295492   5056844  0.624028  1366  0.074397  0.0083 0.000766 0.000972 0.003056  0.022762 -0.038918 -0.064955  45.6469450789 -348.9279431659  1366.07440
ROVR 08OCT17 2008.7940 54756 1501 5   11.1  -2178 -0.294906   5056844  0.624525  1366  0.066860  0.0083 0.000753 0.000939 0.002982  0.004283 -0.028491 -0.084971  45.6469450834 -348.9279431584  1366.06686
ROVR 08OCT18 2008.7967 54757 1501 6   11.1  -2178 -0.293145   5056844  0.626137  1366  0.065319  0.0083 0.000753 0.000937 0.002978 -0.006723 -0.025033 -0.096822  45.6469450979 -348.9279431358  1366.06532
ROVR 08OCT19 2008.7995 54758 1502 0   11.1  -2178 -0.294378   5056844  0.624212  1366  0.064873  0.0083 0.000749 0.000935 0.002963 -0.005856 -0.030779 -0.104041  45.6469450806 -348.9279431516  1366.06487
ROVR 08OCT20 2008.8022 54759 1502 1   11.1  -2178 -0.293302   5056844  0.625416  1366  0.064250  0.0083 0.000756 0.000937 0.003000 -0.001556 -0.043118 -0.102180  45.6469450914 -348.9279431378  1366.06425
ROVR 08OCT21 2008.8049 54760 1502 2   11.1  -2178 -0.294299   5056844  0.625429  1366  0.069475  0.0083 0.000754 0.000946 0.003002  0.001261 -0.039144 -0.084751  45.6469450915 -348.9279431506  1366.06947
ROVR 08OCT22 2008.8077 54761 1502 3   11.1  -2178 -0.293991   5056844  0.624908  1366  0.067191  0.0083 0.000752 0.000941 0.002984 -0.002263 -0.042451 -0.082119  45.6469450868 -348.9279431467  1366.06719
ROVR 08OCT23 2008.8104 54762 1502 4   11.1  -2178 -0.293169   5056844  0.625576  1366  0.062513  0.0083 0.000750 0.000935 0.002959 -0.002916 -0.014211 -0.097133  45.6469450928 -348.9279431361  1366.06251
ROVR 08OCT24 2008.8131 54763 1502 5   11.1  -2178 -0.292759   5056844  0.624455  1366  0.062953  0.0083 0.000752 0.000936 0.002985 -0.004845 -0.029993 -0.112580  45.6469450828 -348.9279431309  1366.06295
ROVR 08OCT25 2008.8159 54764 1502 6   11.1  -2178 -0.293242   5056844  0.624915  1366  0.064725  0.0083 0.000745 0.000929 0.002941 -0.017479 -0.018138 -0.070750  45.6469450869 -348.9279431370  1366.06472
ROVR 08OCT26 2008.8186 54765 1503 0   11.1  -2178 -0.292494   5056844  0.625657  1366  0.062605  0.0083 0.000750 0.000935 0.002967  0.000801 -0.037015 -0.086911  45.6469450936 -348.9279431275  1366.06261
ROVR 08OCT27 2008.8214 54766 1503 1   11.1  -2178 -0.293245   5056844  0.624353  1366  0.069961  0.0083 0.000750 0.000939 0.002977 -0.003192 -0.033034 -0.085357  45.6469450818 -348.9279431371  1366.06996
ROVR 08OCT28 2008.8241 54767 1503 2   11.1  -2178 -0.292923   5056844  0.625036  1366  0.075991  0.0083 0.000777 0.000953 0.003061 -0.009342 -0.006792 -0.113541  45.6469450880 -348.9279431329  1366.07599
ROVR 08OCT29 2008.8268 54768 1503 3   11.1  -2178 -0.291404   5056844  0.624458  1366  0.073685  0.0083 0.000785 0.000958 0.003110 -0.006965 -0.028368 -0.131524  45.6469450828 -348.9279431135  1366.07369
ROVR 08OCT30 2008.8296 54769 1503 4   11.1  -2178 -0.290982   5056844  0.625497  1366  0.070791  0.0083 0.000773 0.000950 0.003032 -0.023573 -0.022003 -0.100293  45.6469450921 -348.9279431081  1366.07079
ROVR 08OCT31 2008.8323 54770 1503 5   11.1  -2178 -0.292278   5056844  0.624890  1366  0.072721  0.0083 0.000762 0.000947 0.003007  0.006342 -0.037335 -0.081626  45.6469450867 -348.9279431247  1366.07272
