site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
SPER 10MAY18 2010.3765 55334 1584 2   11.5    730  0.654935   5103797  0.817132   604  0.818517  0.0000 0.000772 0.001064 0.003336  0.002313 -0.009014 -0.197474  46.0693814872 -348.4905559166   604.81852
SPER 10MAY19 2010.3792 55335 1584 3   11.5    730  0.655177   5103797  0.814986   604  0.819790  0.0000 0.000815 0.001086 0.003560 -0.043234  0.011049 -0.165289  46.0693814679 -348.4905559134   604.81979
SPER 10MAY20 2010.3819 55336 1584 4   11.5    730  0.653860   5103797  0.814308   604  0.818337  0.0000 0.000822 0.001092 0.003586 -0.042571  0.033837 -0.167548  46.0693814618 -348.4905559305   604.81834
SPER 10MAY21 2010.3847 55337 1584 5   11.5    730  0.653285   5103797  0.815495   604  0.820818  0.0000 0.000794 0.001087 0.003380  0.001405  0.002343 -0.197191  46.0693814725 -348.4905559379   604.82082
SPER 10MAY22 2010.3874 55338 1584 6   11.5    730  0.652391   5103797  0.814583   604  0.813089  0.0000 0.000784 0.001069 0.003358  0.021293 -0.002669 -0.192580  46.0693814642 -348.4905559494   604.81309
SPER 10MAY23 2010.3901 55339 1585 0   11.5    730  0.654530   5103797  0.814633   604  0.815711  0.0000 0.000786 0.001074 0.003361  0.019536 -0.009325 -0.182579  46.0693814647 -348.4905559218   604.81571
SPER 10MAY24 2010.3929 55340 1585 1   11.5    730  0.651818   5103797  0.816423   604  0.815361  0.0000 0.000793 0.001084 0.003403  0.022024  0.000618 -0.181661  46.0693814808 -348.4905559568   604.81536
SPER 10MAY25 2010.3956 55341 1585 2   11.5    730  0.651630   5103797  0.816350   604  0.818085  0.0000 0.000795 0.001079 0.003406  0.015163 -0.001440 -0.185938  46.0693814801 -348.4905559593   604.81808
SPER 10MAY26 2010.3984 55342 1585 3   11.5    730  0.653219   5103797  0.815679   604  0.821372  0.0000 0.000780 0.001060 0.003357 -0.007820 -0.002379 -0.194488  46.0693814741 -348.4905559387   604.82137
SPER 10MAY27 2010.4011 55343 1585 4   11.5    730  0.653076   5103797  0.816903   604  0.823197  0.0000 0.000774 0.001058 0.003332  0.008411 -0.002709 -0.195392  46.0693814851 -348.4905559406   604.82320
