site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
VERO 07DEC28 2007.9890 54462 1459 5   11.0    190  0.608432   5034366  0.917086   123  0.850739  0.0000 0.001059 0.001253 0.004168 -0.010283 -0.016796 -0.098333  45.4447027483 -348.9975636279   123.85074
VERO 07DEC29 2007.9918 54463 1459 6   11.0    190  0.609869   5034366  0.916586   123  0.852030  0.0000 0.000774 0.000994 0.003065  0.002115  0.003232 -0.087239  45.4447027438 -348.9975636096   123.85203
VERO 07DEC30 2007.9945 54464 1460 0   11.0    190  0.610061   5034366  0.918024   123  0.853927  0.0000 0.000785 0.001004 0.003116  0.008779  0.007287 -0.102835  45.4447027568 -348.9975636071   123.85393
VERO 07DEC31 2007.9973 54465 1460 1   11.0    190  0.610445   5034366  0.918234   123  0.852369  0.0000 0.000760 0.000992 0.003072  0.001107  0.014184 -0.073457  45.4447027587 -348.9975636022   123.85237
VERO 08JAN01 2008.0000 54466 1460 2   11.0    190  0.610238   5034366  0.918577   123  0.853032  0.0000 0.000760 0.000988 0.003057  0.003985  0.011338 -0.081606  45.4447027618 -348.9975636049   123.85303
VERO 08JAN02 2008.0027 54467 1460 3   11.0    190  0.610728   5034366  0.918093   123  0.855765  0.0000 0.000762 0.000994 0.003055  0.008767  0.023880 -0.081203  45.4447027574 -348.9975635986   123.85577
VERO 08JAN03 2008.0055 54468 1460 4   11.0    190  0.610592   5034366  0.918595   123  0.859279  0.0000 0.000758 0.000965 0.003011  0.009467  0.000766 -0.094793  45.4447027619 -348.9975636003   123.85928
VERO 08JAN04 2008.0082 54469 1460 5   11.0    190  0.611810   5034366  0.917844   123  0.857805  0.0000 0.000763 0.000985 0.003061  0.007262  0.016552 -0.080472  45.4447027552 -348.9975635848   123.85780
VERO 08JAN05 2008.0110 54470 1460 6   11.0    190  0.611648   5034366  0.919783   123  0.859202  0.0000 0.000757 0.000964 0.002998 -0.003632  0.017049 -0.085701  45.4447027726 -348.9975635868   123.85920
VERO 08JAN06 2008.0137 54471 1461 0   11.0    190  0.611123   5034366  0.916006   123  0.858480  0.0000 0.000758 0.000972 0.003045 -0.002700  0.018090 -0.073074  45.4447027386 -348.9975635935   123.85848
VERO 08JAN07 2008.0164 54472 1461 1   11.0    190  0.610890   5034366  0.915777   123  0.853277  0.0000 0.000807 0.001030 0.003216  0.021805 -0.009368 -0.072114  45.4447027366 -348.9975635965   123.85328
