site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
VOLT 01AUG06 2001.5962 52127 1126 1   11.9    855  0.469387   5027684  0.012860    54  0.458230  0.0000 0.001359 0.001795 0.006042 -0.073102 -0.027150 -0.058998  45.3845721796 -348.0890769209    54.45823
VOLT 01AUG08 2001.6016 52129 1126 3   11.9    855  0.469960   5027684  0.010990    54  0.463720  0.0000 0.001366 0.001858 0.006203  0.000994  0.042218 -0.129572  45.3845721628 -348.0890769136    54.46372
VOLT 01AUG10 2001.6071 52131 1126 5   11.9    855  0.464961   5027684  0.014101    54  0.437435  0.0278 0.001102 0.001442 0.005091 -0.012796  0.043522 -0.052885  45.3845721908 -348.0890769774    54.43743
VOLT 01AUG11 2001.6099 52132 1126 6   11.9    855  0.468418   5027684  0.014698    54  0.433723  0.0278 0.001113 0.001445 0.005121 -0.071613  0.076658 -0.089406  45.3845721962 -348.0890769333    54.43372
VOLT 01AUG12 2001.6126 52133 1127 0   11.9    855  0.468072   5027684  0.012804    54  0.429793  0.0278 0.001052 0.001368 0.004856 -0.062044  0.077718 -0.052777  45.3845721791 -348.0890769377    54.42979
VOLT 01SEP08 2001.6865 52160 1130 6   11.9    855  0.469704   5027684  0.012497    54  0.428428  0.0278 0.001033 0.001388 0.004774 -0.041277  0.025681 -0.052930  45.3845721764 -348.0890769169    54.42843
VOLT 01SEP09 2001.6893 52161 1131 0   11.9    855  0.470084   5027684  0.010654    54  0.429530  0.0278 0.001055 0.001424 0.004920 -0.031539  0.011769 -0.025789  45.3845721598 -348.0890769120    54.42953
VOLT 01SEP10 2001.6920 52162 1131 1   11.9    855  0.471086   5027684  0.014295    54  0.425895  0.0278 0.001047 0.001386 0.004799 -0.073081  0.043170 -0.035669  45.3845721925 -348.0890768992    54.42589
VOLT 01SEP11 2001.6947 52163 1131 2   11.9    855  0.471869   5027684  0.014816    54  0.425803  0.0278 0.001055 0.001406 0.004807 -0.054463  0.004250 -0.046910  45.3845721972 -348.0890768892    54.42580
VOLT 01SEP13 2001.7002 52165 1131 4   11.9    855  0.471169   5027684  0.015318    54  0.428800  0.0278 0.001071 0.001413 0.004849 -0.123759  0.030095 -0.021819  45.3845722017 -348.0890768982    54.42880
VOLT 01SEP16 2001.7084 52168 1132 0   11.9    855  0.470984   5027684  0.013994    54  0.433151  0.0278 0.001037 0.001378 0.004720 -0.057333  0.010805 -0.055320  45.3845721898 -348.0890769005    54.43315
VOLT 01SEP23 2001.7276 52175 1133 0   11.9    855  0.470944   5027684  0.015547    54  0.431398  0.0278 0.001044 0.001405 0.004772 -0.042614 -0.013917 -0.071002  45.3845722038 -348.0890769010    54.43140
VOLT 01SEP28 2001.7413 52180 1133 5   11.9    855  0.472339   5027684  0.015846    54  0.430883  0.0278 0.001028 0.001393 0.004674 -0.044014 -0.018518 -0.036258  45.3845722065 -348.0890768832    54.43088
VOLT 01SEP29 2001.7440 52181 1133 6   11.9    855  0.473085   5027684  0.015641    54  0.431062  0.0278 0.001039 0.001454 0.004675 -0.040005  0.000493 -0.063838  45.3845722046 -348.0890768737    54.43106
VOLT 01SEP30 2001.7467 52182 1134 0   11.9    855  0.473488   5027684  0.016510    54  0.424120  0.0278 0.001029 0.001391 0.004637 -0.029741 -0.004162 -0.051962  45.3845722125 -348.0890768685    54.42412
VOLT 01OCT01 2001.7495 52183 1134 1   11.9    855  0.471814   5027684  0.012660    54  0.423371  0.0278 0.001037 0.001403 0.004691 -0.041832  0.016017 -0.051715  45.3845721778 -348.0890768899    54.42337
VOLT 01OCT02 2001.7522 52184 1134 2   11.9    855  0.474054   5027684  0.016425    54  0.425366  0.0278 0.001045 0.001387 0.004703 -0.041643 -0.017421 -0.079976  45.3845722117 -348.0890768613    54.42537
VOLT 01OCT03 2001.7550 52185 1134 3   11.9    855  0.472760   5027684  0.016034    54  0.432303  0.0278 0.001049 0.001426 0.004679 -0.024404 -0.042098 -0.073790  45.3845722082 -348.0890768778    54.43230
VOLT 01OCT04 2001.7577 52186 1134 4   11.9    855  0.471722   5027684  0.013225    54  0.429985  0.0278 0.001077 0.001428 0.004788 -0.035669 -0.020630 -0.022227  45.3845721829 -348.0890768911    54.42999
VOLT 01OCT05 2001.7604 52187 1134 5   11.9    855  0.471032   5027684  0.013494    54  0.423899  0.0278 0.001074 0.001417 0.004778 -0.037360 -0.007406 -0.006522  45.3845721853 -348.0890768999    54.42390
VOLT 01OCT06 2001.7632 52188 1134 6   11.9    855  0.473749   5027684  0.014196    54  0.431796  0.0278 0.001038 0.001415 0.004751 -0.033709 -0.009045 -0.049373  45.3845721916 -348.0890768652    54.43180
VOLT 01OCT07 2001.7659 52189 1135 0   11.9    855  0.471568   5027684  0.016693    54  0.435744  0.0278 0.001066 0.001448 0.004861 -0.016087 -0.016232 -0.086580  45.3845722141 -348.0890768931    54.43574
VOLT 01OCT08 2001.7687 52190 1135 1   11.9    855  0.474580   5027684  0.015062    54  0.432175  0.0278 0.001041 0.001378 0.004705 -0.047915 -0.033769 -0.059536  45.3845721994 -348.0890768546    54.43218
VOLT 01OCT09 2001.7714 52191 1135 2   11.9    855  0.473088   5027684  0.016312    54  0.427933  0.0278 0.001026 0.001390 0.004661 -0.030103 -0.000216 -0.056409  45.3845722107 -348.0890768737    54.42793
VOLT 01OCT10 2001.7741 52192 1135 3   11.9    855  0.472466   5027684  0.017933    54  0.415801  0.0278 0.001031 0.001385 0.004687 -0.025385 -0.001893 -0.067270  45.3845722253 -348.0890768816    54.41580
VOLT 01OCT11 2001.7769 52193 1135 4   11.9    855  0.470887   5027684  0.014962    54  0.421147  0.0278 0.001044 0.001389 0.004698 -0.062863  0.009908 -0.058045  45.3845721985 -348.0890769018    54.42115
VOLT 01OCT12 2001.7796 52194 1135 5   11.9    855  0.470700   5027684  0.017637    54  0.421345  0.0278 0.001059 0.001408 0.004786 -0.054600  0.007384 -0.073222  45.3845722226 -348.0890769041    54.42135
VOLT 01OCT13 2001.7823 52195 1135 6   11.9    855  0.472453   5027684  0.016047    54  0.420265  0.0278 0.001060 0.001425 0.004851 -0.050664  0.020632 -0.076676  45.3845722083 -348.0890768818    54.42026
VOLT 01OCT14 2001.7851 52196 1136 0   11.9    855  0.471830   5027684  0.016378    54  0.425829  0.0278 0.001030 0.001388 0.004701 -0.047465  0.000948 -0.047494  45.3845722113 -348.0890768897    54.42583
VOLT 01OCT15 2001.7878 52197 1136 1   11.9    855  0.471411   5027684  0.018597    54  0.426812  0.0278 0.001015 0.001371 0.004561 -0.040124 -0.008318 -0.045780  45.3845722312 -348.0890768951    54.42681
VOLT 01OCT16 2001.7906 52198 1136 2   11.9    855  0.473858   5027684  0.017199    54  0.427422  0.0278 0.001037 0.001404 0.004639 -0.018714 -0.016782 -0.083691  45.3845722187 -348.0890768638    54.42742
