site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
ACOM 03JUL05 2003.5072 52825 1225 6   13.5   1142  0.647240   5156992  0.470890  1774  0.676479  0.0083 0.000688 0.000908 0.002710 -0.040726 -0.005352 -0.091445  46.5479342332 -346.4851014324  1774.67648
ACOM 03JUL06 2003.5099 52826 1226 0   13.5   1142  0.648001   5156992  0.471993  1774  0.675562  0.0083 0.000683 0.000898 0.002649 -0.041815  0.007564 -0.097841  46.5479342431 -346.4851014225  1774.67556
ACOM 03JUL07 2003.5127 52827 1226 1   13.5   1142  0.647027   5156992  0.473025  1774  0.672698  0.0083 0.000706 0.000930 0.002794 -0.019816  0.000003 -0.109502  46.5479342524 -346.4851014352  1774.67270
ACOM 03JUL08 2003.5154 52828 1226 2   13.5   1142  0.648424   5156992  0.473308  1774  0.672845  0.0083 0.000703 0.000934 0.002780 -0.030577 -0.003357 -0.104895  46.5479342550 -346.4851014170  1774.67284
ACOM 03JUL09 2003.5181 52829 1226 3   13.5   1142  0.645778   5156992  0.470917  1774  0.673519  0.0083 0.000723 0.000949 0.002889 -0.030921  0.004379 -0.112346  46.5479342335 -346.4851014515  1774.67352
ACOM 03JUL10 2003.5209 52830 1226 4   13.5   1142  0.647371   5156992  0.474012  1774  0.676608  0.0083 0.000703 0.000926 0.002753 -0.029866  0.007483 -0.133358  46.5479342613 -346.4851014307  1774.67661
ACOM 03JUL11 2003.5236 52831 1226 5   13.5   1142  0.647859   5156992  0.474650  1774  0.675470  0.0083 0.000735 0.000976 0.002934 -0.012372 -0.027416 -0.159453  46.5479342670 -346.4851014243  1774.67547
ACOM 03JUL12 2003.5264 52832 1226 6   13.5   1142  0.645868   5156992  0.473575  1774  0.678462  0.0083 0.000720 0.000946 0.002865 -0.049385  0.017610 -0.116332  46.5479342574 -346.4851014503  1774.67846
ACOM 03JUL13 2003.5291 52833 1227 0   13.5   1142  0.647199   5156992  0.473296  1774  0.676614  0.0083 0.000721 0.000946 0.002879 -0.021154 -0.008017 -0.100030  46.5479342549 -346.4851014330  1774.67661
ACOM 03JUL14 2003.5318 52834 1227 1   13.5   1142  0.648424   5156992  0.474481  1774  0.675547  0.0083 0.000708 0.000928 0.002824 -0.014529 -0.029050 -0.136539  46.5479342655 -346.4851014170  1774.67555
ACOM 03JUL21 2003.5510 52841 1228 1   13.5   1142  0.646710   5156992  0.472677  1774  0.681870  0.0083 0.000755 0.000972 0.003073 -0.067502  0.028902 -0.125866  46.5479342493 -346.4851014393  1774.68187
ACOM 03JUL22 2003.5537 52842 1228 2   13.5   1142  0.647544   5156992  0.472980  1774  0.678927  0.0083 0.000710 0.000925 0.002823 -0.046284  0.003247 -0.101456  46.5479342520 -346.4851014285  1774.67893
ACOM 03JUL23 2003.5565 52843 1228 3   13.5   1142  0.647129   5156992  0.472722  1774  0.678894  0.0083 0.000714 0.000944 0.002877 -0.019488 -0.043375 -0.103821  46.5479342497 -346.4851014339  1774.67889
ACOM 03JUL24 2003.5592 52844 1228 4   13.5   1142  0.646779   5156992  0.472418  1774  0.678613  0.0083 0.000694 0.000929 0.002763 -0.031202 -0.014959 -0.065582  46.5479342470 -346.4851014384  1774.67861
ACOM 03JUL25 2003.5619 52845 1228 5   13.5   1142  0.647742   5156992  0.473668  1774  0.680706  0.0083 0.000706 0.000921 0.002794 -0.066553  0.047537 -0.095498  46.5479342582 -346.4851014259  1774.68071
ACOM 03JUL26 2003.5647 52846 1228 6   13.5   1142  0.647884   5156992  0.472702  1774  0.678006  0.0083 0.000707 0.000946 0.002837 -0.054445 -0.026508 -0.093167  46.5479342495 -346.4851014240  1774.67801
ACOM 03JUL27 2003.5674 52847 1229 0   13.5   1142  0.651210   5156992  0.473226  1774  0.682662  0.0083 0.000694 0.000929 0.002771 -0.039966 -0.005930 -0.070142  46.5479342542 -346.4851013807  1774.68266
ACOM 03JUL28 2003.5702 52848 1229 1   13.5   1142  0.648328   5156992  0.473300  1774  0.674187  0.0083 0.000715 0.000938 0.002860 -0.050878  0.009928 -0.099444  46.5479342549 -346.4851014182  1774.67419
ACOM 03JUL29 2003.5729 52849 1229 2   13.5   1142  0.647142   5156992  0.472766  1774  0.667199  0.0083 0.000706 0.000935 0.002785 -0.066277  0.017127 -0.083900  46.5479342501 -346.4851014337  1774.66720
ACOM 03JUL30 2003.5756 52850 1229 3   13.5   1142  0.645067   5156992  0.474315  1774  0.672763  0.0083 0.000690 0.000923 0.002763 -0.026443 -0.017772 -0.109777  46.5479342640 -346.4851014608  1774.67276
ACOM 03JUL31 2003.5784 52851 1229 4   13.5   1142  0.646532   5156992  0.473026  1774  0.679383  0.0083 0.000683 0.000899 0.002658 -0.038300  0.027541 -0.085104  46.5479342524 -346.4851014417  1774.67938
ACOM 03AUG01 2003.5811 52852 1229 5   13.5   1142  0.645647   5156992  0.473306  1774  0.669474  0.0083 0.000728 0.000989 0.002951 -0.003406 -0.017831 -0.121526  46.5479342550 -346.4851014532  1774.66947
ACOM 03AUG02 2003.5838 52853 1229 6   13.5   1142  0.647654   5156992  0.475360  1774  0.670678  0.0083 0.000689 0.000907 0.002728 -0.033974  0.012996 -0.097092  46.5479342734 -346.4851014270  1774.67068
ACOM 03AUG03 2003.5866 52854 1230 0   13.5   1142  0.646939   5156992  0.474351  1774  0.672240  0.0083 0.000690 0.000905 0.002726 -0.040591  0.021465 -0.142270  46.5479342644 -346.4851014363  1774.67224
ACOM 03AUG04 2003.5893 52855 1230 1   13.5   1142  0.648914   5156992  0.475064  1774  0.667487  0.0083 0.000700 0.000932 0.002803 -0.048599 -0.010474 -0.118028  46.5479342708 -346.4851014106  1774.66749
ACOM 03AUG05 2003.5921 52856 1230 2   13.5   1142  0.648744   5156992  0.474994  1774  0.674045  0.0083 0.000699 0.000913 0.002812 -0.026519 -0.019982 -0.141294  46.5479342701 -346.4851014128  1774.67405
ACOM 03AUG06 2003.5948 52857 1230 3   13.5   1142  0.649072   5156992  0.475366  1774  0.672591  0.0083 0.000722 0.000941 0.002976 -0.037637 -0.020370 -0.183666  46.5479342735 -346.4851014085  1774.67259
ACOM 03AUG07 2003.5975 52858 1230 4   13.5   1142  0.649047   5156992  0.473865  1774  0.671131  0.0083 0.000698 0.000927 0.002787 -0.037038  0.007060 -0.093395  46.5479342600 -346.4851014089  1774.67113
ACOM 03AUG08 2003.6003 52859 1230 5   13.5   1142  0.651227   5156992  0.474343  1774  0.674732  0.0083 0.000696 0.000912 0.002780 -0.037030 -0.005014 -0.135454  46.5479342643 -346.4851013804  1774.67473
ACOM 03AUG09 2003.6030 52860 1230 6   13.5   1142  0.649365   5156992  0.475511  1774  0.679314  0.0083 0.000709 0.000918 0.002859 -0.026124 -0.035310 -0.135921  46.5479342748 -346.4851014047  1774.67931
ACOM 03AUG10 2003.6057 52861 1231 0   13.5   1142  0.646995   5156992  0.474741  1774  0.682318  0.0083 0.000715 0.000946 0.002896 -0.024730  0.009620 -0.109836  46.5479342679 -346.4851014356  1774.68232
ACOM 03AUG11 2003.6085 52862 1231 1   13.5   1142  0.648619   5156992  0.474578  1774  0.669130  0.0083 0.000699 0.000905 0.002768 -0.036835 -0.007603 -0.125632  46.5479342664 -346.4851014144  1774.66913
ACOM 03AUG12 2003.6112 52863 1231 2   13.5   1142  0.649419   5156992  0.475336  1774  0.675823  0.0083 0.000699 0.000916 0.002800 -0.031716  0.003381 -0.154356  46.5479342732 -346.4851014040  1774.67582
ACOM 03AUG13 2003.6140 52864 1231 3   13.5   1142  0.649905   5156992  0.475094  1774  0.677106  0.0083 0.000697 0.000922 0.002801 -0.024718 -0.009192 -0.144997  46.5479342710 -346.4851013977  1774.67711
ACOM 03AUG14 2003.6167 52865 1231 4   13.5   1142  0.651357   5156992  0.474596  1774  0.675128  0.0083 0.000698 0.000910 0.002733 -0.054807  0.017943 -0.098233  46.5479342666 -346.4851013787  1774.67513
ACOM 03AUG15 2003.6194 52866 1231 5   13.5   1142  0.649159   5156992  0.474364  1774  0.675817  0.0083 0.000702 0.000922 0.002821 -0.013240  0.003454 -0.152530  46.5479342645 -346.4851014074  1774.67582
ACOM 03AUG16 2003.6222 52867 1231 6   13.5   1142  0.651003   5156992  0.472755  1774  0.671268  0.0083 0.000698 0.000909 0.002768 -0.026496  0.019897 -0.116008  46.5479342500 -346.4851013834  1774.67127
ACOM 03AUG17 2003.6249 52868 1232 0   13.5   1142  0.651255   5156992  0.474495  1774  0.675052  0.0083 0.000699 0.000925 0.002812 -0.026821  0.016070 -0.128785  46.5479342657 -346.4851013801  1774.67505
ACOM 03AUG18 2003.6277 52869 1232 1   13.5   1142  0.651389   5156992  0.475588  1774  0.674545  0.0083 0.000727 0.000933 0.002912 -0.063681  0.069143 -0.116587  46.5479342755 -346.4851013783  1774.67454
ACOM 03AUG19 2003.6304 52870 1232 2   13.5   1142  0.648841   5156992  0.473979  1774  0.675692  0.0083 0.000688 0.000908 0.002725 -0.036489  0.018369 -0.119229  46.5479342610 -346.4851014115  1774.67569
