site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
BEVA 09MAR22 2009.2211 54912 1524 0   13.1  -2382 -0.327195   5059617  0.440965    50  0.082815  0.0000 0.000656 0.000857 0.002582  0.005823 -0.041791 -0.148733  45.6718928977 -346.9305740587    50.08282
BEVA 09MAR23 2009.2238 54913 1524 1   13.1  -2382 -0.328873   5059617  0.440998    50  0.088981  0.0000 0.000656 0.000857 0.002579 -0.003386 -0.026568 -0.131681  45.6718928980 -346.9305740802    50.08898
BEVA 09MAR24 2009.2266 54914 1524 2   13.1  -2382 -0.327849   5059617  0.441202    50  0.086679  0.0000 0.000662 0.000865 0.002595  0.017755 -0.040479 -0.147306  45.6718928998 -346.9305740671    50.08668
BEVA 09MAR25 2009.2293 54915 1524 3   13.1  -2382 -0.325892   5059617  0.441306    50  0.091263  0.0000 0.000691 0.000915 0.002721  0.024151 -0.047019 -0.117952  45.6718929008 -346.9305740420    50.09126
BEVA 09MAR26 2009.2320 54916 1524 4   13.1  -2382 -0.325665   5059617  0.440314    50  0.090336  0.0000 0.000667 0.000866 0.002615 -0.002365 -0.012643 -0.118097  45.6718928918 -346.9305740390    50.09034
BEVA 09MAR27 2009.2348 54917 1524 5   13.1  -2382 -0.324376   5059617  0.441281    50  0.087515  0.0000 0.000674 0.000863 0.002649 -0.002591 -0.047326 -0.141472  45.6718929006 -346.9305740225    50.08751
BEVA 09MAR28 2009.2375 54918 1524 6   13.1  -2382 -0.324501   5059617  0.442349    50  0.086569  0.0000 0.000666 0.000854 0.002585  0.000486 -0.033947 -0.117404  45.6718929102 -346.9305740241    50.08657
BEVA 09MAR29 2009.2402 54919 1525 0   13.1  -2382 -0.324037   5059617  0.441982    50  0.078959  0.0000 0.000677 0.000870 0.002657  0.005668 -0.033785 -0.105876  45.6718929069 -346.9305740182    50.07896
BEVA 09MAR30 2009.2430 54920 1525 1   13.1  -2382 -0.324080   5059617  0.441392    50  0.084238  0.0000 0.000676 0.000866 0.002633  0.014471 -0.044950 -0.111260  45.6718929016 -346.9305740187    50.08424
BEVA 09MAR31 2009.2457 54921 1525 2   13.1  -2382 -0.325398   5059617  0.442052    50  0.084877  0.0000 0.000677 0.000879 0.002654  0.025210 -0.031012 -0.112166  45.6718929075 -346.9305740356    50.08488
BEVA 09APR01 2009.2485 54922 1525 3   13.1  -2382 -0.323409   5059617  0.441512    50  0.087506  0.0000 0.000676 0.000865 0.002627  0.008646 -0.026191 -0.127124  45.6718929026 -346.9305740101    50.08751
BEVA 09APR02 2009.2512 54923 1525 4   13.1  -2382 -0.323889   5059617  0.442680    50  0.076317  0.0000 0.000692 0.000878 0.002695  0.000140 -0.065818 -0.151860  45.6718929131 -346.9305740163    50.07632
BEVA 09APR03 2009.2539 54924 1525 5   13.1  -2382 -0.324803   5059617  0.441133    50  0.082642  0.0000 0.000708 0.000906 0.002785 -0.000520 -0.060246 -0.169121  45.6718928992 -346.9305740280    50.08264
BEVA 09APR04 2009.2567 54925 1525 6   13.1  -2382 -0.325661   5059617  0.442153    50  0.085544  0.0000 0.000687 0.000871 0.002703  0.006102 -0.052131 -0.119251  45.6718929084 -346.9305740390    50.08554
BEVA 09APR05 2009.2594 54926 1526 0   13.1  -2382 -0.324593   5059617  0.441131    50  0.078060  0.0000 0.000688 0.000880 0.002687  0.028814 -0.053250 -0.128210  45.6718928992 -346.9305740253    50.07806
BEVA 09APR06 2009.2621 54927 1526 1   13.1  -2382 -0.325181   5059617  0.439880    50  0.081791  0.0000 0.000682 0.000864 0.002629  0.023374 -0.048856 -0.142223  45.6718928880 -346.9305740328    50.08179
BEVA 09APR07 2009.2649 54928 1526 2   13.1  -2382 -0.324249   5059617  0.441792    50  0.080014  0.0000 0.000684 0.000884 0.002674  0.011043 -0.016031 -0.139669  45.6718929051 -346.9305740209    50.08001
BEVA 09APR08 2009.2676 54929 1526 3   13.1  -2382 -0.325002   5059617  0.441089    50  0.078292  0.0000 0.000670 0.000862 0.002598 -0.004374 -0.033109 -0.149411  45.6718928988 -346.9305740305    50.07829
BEVA 09APR09 2009.2704 54930 1526 4   13.1  -2382 -0.324002   5059617  0.442573    50  0.080325  0.0000 0.000675 0.000862 0.002602  0.017822 -0.037486 -0.128769  45.6718929122 -346.9305740177    50.08032
BEVA 09APR10 2009.2731 54931 1526 5   13.1  -2382 -0.324224   5059617  0.443449    50  0.085093  0.0000 0.000675 0.000863 0.002599  0.017076 -0.038064 -0.117441  45.6718929201 -346.9305740206    50.08509
BEVA 09APR11 2009.2758 54932 1526 6   13.1  -2382 -0.324334   5059617  0.443700    50  0.082796  0.0000 0.000684 0.000867 0.002639  0.030713 -0.038136 -0.134620  45.6718929223 -346.9305740220    50.08280
BEVA 09APR12 2009.2786 54933 1527 0   13.1  -2382 -0.323940   5059617  0.443093    50  0.085447  0.0000 0.000681 0.000865 0.002626  0.021130 -0.039527 -0.125556  45.6718929169 -346.9305740169    50.08545
BEVA 09APR13 2009.2813 54934 1527 1   13.1  -2382 -0.324103   5059617  0.442395    50  0.082449  0.0000 0.000687 0.000874 0.002678  0.014763 -0.069164 -0.128071  45.6718929106 -346.9305740190    50.08245
BEVA 09APR14 2009.2841 54935 1527 2   13.1  -2382 -0.323393   5059617  0.442689    50  0.083042  0.0000 0.000684 0.000887 0.002690  0.001615 -0.025054 -0.113774  45.6718929132 -346.9305740099    50.08304
BEVA 09APR15 2009.2868 54936 1527 3   13.1  -2382 -0.322305   5059617  0.442816    50  0.088970  0.0000 0.000676 0.000873 0.002630  0.007302 -0.045271 -0.109727  45.6718929144 -346.9305739959    50.08897
BEVA 09APR16 2009.2895 54937 1527 4   13.1  -2382 -0.324495   5059617  0.442343    50  0.086476  0.0000 0.000691 0.000891 0.002724  0.012604 -0.037574 -0.137098  45.6718929101 -346.9305740240    50.08648
BEVA 09APR17 2009.2923 54938 1527 5   13.1  -2382 -0.325734   5059617  0.442296    50  0.090273  0.0000 0.000697 0.000880 0.002733  0.018733 -0.064647 -0.132608  45.6718929097 -346.9305740399    50.09027
BEVA 09APR18 2009.2950 54939 1527 6   13.1  -2382 -0.325427   5059617  0.442249    50  0.086192  0.0000 0.000685 0.000873 0.002677  0.021467 -0.054370 -0.124444  45.6718929093 -346.9305740360    50.08619
BEVA 09APR19 2009.2977 54940 1528 0   13.1  -2382 -0.323730   5059617  0.441204    50  0.086342  0.0000 0.000682 0.000869 0.002645  0.018473 -0.060528 -0.119606  45.6718928999 -346.9305740142    50.08634
BEVA 09APR20 2009.3005 54941 1528 1   13.1  -2382 -0.325141   5059617  0.442205    50  0.084041  0.0000 0.000681 0.000876 0.002660  0.009842 -0.034349 -0.130299  45.6718929089 -346.9305740323    50.08404
BEVA 09APR21 2009.3032 54942 1528 2   13.1  -2382 -0.324016   5059617  0.442686    50  0.080738  0.0000 0.000689 0.000881 0.002692  0.011000 -0.069525 -0.106517  45.6718929132 -346.9305740179    50.08074
BEVA 09APR22 2009.3060 54943 1528 3   13.1  -2382 -0.324069   5059617  0.441988    50  0.087836  0.0000 0.000692 0.000892 0.002747  0.004465 -0.075446 -0.100603  45.6718929069 -346.9305740186    50.08784
BEVA 09APR23 2009.3087 54944 1528 4   13.1  -2382 -0.324771   5059617  0.443656    50  0.089124  0.0000 0.000707 0.000894 0.002810  0.019449 -0.066309 -0.147828  45.6718929219 -346.9305740276    50.08912
BEVA 09APR24 2009.3114 54945 1528 5   13.1  -2382 -0.324079   5059617  0.442727    50  0.086319  0.0000 0.000681 0.000860 0.002634  0.013649 -0.051173 -0.123587  45.6718929136 -346.9305740187    50.08632
BEVA 09APR25 2009.3142 54946 1528 6   13.1  -2382 -0.323290   5059617  0.441391    50  0.082102  0.0000 0.000678 0.000864 0.002635  0.006733 -0.052146 -0.131998  45.6718929015 -346.9305740086    50.08210
BEVA 09APR26 2009.3169 54947 1529 0   13.1  -2382 -0.322473   5059617  0.442556    50  0.082579  0.0000 0.000684 0.000878 0.002680  0.001518 -0.045299 -0.119543  45.6718929120 -346.9305739981    50.08258
BEVA 09APR27 2009.3196 54948 1529 1   13.1  -2382 -0.322727   5059617  0.440903    50  0.083765  0.0000 0.000684 0.000867 0.002653  0.016413 -0.041432 -0.111910  45.6718928971 -346.9305740013    50.08377
BEVA 09APR28 2009.3224 54949 1529 2   13.1  -2382 -0.322547   5059617  0.442194    50  0.090909  0.0000 0.000696 0.000875 0.002740  0.018933 -0.059601 -0.143290  45.6718929088 -346.9305739990    50.09091
BEVA 09APR29 2009.3251 54950 1529 3   13.1  -2382 -0.326114   5059617  0.442049    50  0.090906  0.0000 0.000812 0.001092 0.003285  0.033185  0.015688 -0.133142  45.6718929075 -346.9305740448    50.09091
BEVA 09APR30 2009.3279 54951 1529 4   13.1  -2382 -0.325263   5059617  0.443197    50  0.091218  0.0000 0.000703 0.000888 0.002757  0.012840 -0.078739 -0.143323  45.6718929178 -346.9305740339    50.09122
