site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
CARZ 05OCT26 2005.8179 53669 1346 3    8.7  -1532 -0.303523   5100792  0.204971  1165  0.267870  0.0000 0.000696 0.000896 0.002684  0.011699 -0.000619 -0.102027  46.0423410283 -351.3197961311  1165.26787
CARZ 05OCT27 2005.8207 53670 1346 4    8.7  -1532 -0.303125   5100792  0.206258  1165  0.268733  0.0000 0.000692 0.000884 0.002663  0.049789  0.002783 -0.082647  46.0423410399 -351.3197961260  1165.26873
CARZ 05OCT28 2005.8234 53671 1346 5    8.7  -1532 -0.301403   5100792  0.206816  1165  0.268660  0.0000 0.000684 0.000875 0.002620  0.045815 -0.029996 -0.101348  46.0423410449 -351.3197961037  1165.26866
CARZ 05OCT29 2005.8261 53672 1346 6    8.7  -1532 -0.301977   5100792  0.205184  1165  0.269301  0.0000 0.000694 0.000889 0.002687  0.045256 -0.028934 -0.106915  46.0423410303 -351.3197961112  1165.26930
CARZ 05OCT30 2005.8289 53673 1347 0    8.7  -1532 -0.301495   5100792  0.205858  1165  0.276786  0.0000 0.000695 0.000897 0.002716  0.043194 -0.028817 -0.127941  46.0423410363 -351.3197961049  1165.27679
CARZ 05OCT31 2005.8316 53674 1347 1    8.7  -1532 -0.303085   5100792  0.205230  1165  0.273805  0.0000 0.000718 0.000919 0.002793  0.004420  0.003761 -0.080644  46.0423410307 -351.3197961255  1165.27380
CARZ 05NOV01 2005.8344 53675 1347 2    8.7  -1532 -0.303626   5100792  0.205675  1165  0.271515  0.0000 0.000702 0.000910 0.002719 -0.002102  0.007162 -0.071011  46.0423410347 -351.3197961325  1165.27151
CARZ 05NOV02 2005.8371 53676 1347 3    8.7  -1532 -0.304030   5100792  0.206693  1165  0.275642  0.0000 0.000788 0.001021 0.003078 -0.009019 -0.028591 -0.078483  46.0423410438 -351.3197961377  1165.27564
CARZ 06JAN19 2006.0507 53754 1358 4    8.7  -1532 -0.298790   5100792  0.210103  1165  0.272542  0.0000 0.001303 0.001516 0.005227  0.012241 -0.093962 -0.169755  46.0423410745 -351.3197960700  1165.27254
CARZ 06JAN20 2006.0534 53755 1358 5    8.7  -1532 -0.300346   5100792  0.210495  1165  0.276039  0.0000 0.000794 0.001026 0.003201  0.030388  0.008712 -0.090290  46.0423410780 -351.3197960901  1165.27604
CARZ 06JAN21 2006.0561 53756 1358 6    8.7  -1532 -0.299513   5100792  0.210805  1165  0.277488  0.0000 0.000780 0.001010 0.003150  0.021755  0.006944 -0.075945  46.0423410808 -351.3197960793  1165.27749
CARZ 06JAN22 2006.0589 53757 1359 0    8.7  -1532 -0.298036   5100792  0.210531  1165  0.277589  0.0000 0.000783 0.001010 0.003169  0.043060 -0.011417 -0.088857  46.0423410784 -351.3197960603  1165.27759
CARZ 06JAN23 2006.0616 53758 1359 1    8.7  -1532 -0.299065   5100792  0.211145  1165  0.277735  0.0000 0.000778 0.001007 0.003154  0.033576 -0.000437 -0.101617  46.0423410839 -351.3197960736  1165.27773
CARZ 06JAN24 2006.0643 53759 1359 2    8.7  -1532 -0.297750   5100792  0.211058  1165  0.271618  0.0000 0.000794 0.001021 0.003228 -0.017905  0.032278 -0.079902  46.0423410831 -351.3197960566  1165.27162
CARZ 06JAN25 2006.0671 53760 1359 3    8.7  -1532 -0.298859   5100792  0.210647  1165  0.278373  0.0000 0.000747 0.000986 0.003052  0.020640  0.019293 -0.079161  46.0423410794 -351.3197960709  1165.27837
CARZ 06JAN26 2006.0698 53761 1359 4    8.7  -1532 -0.298694   5100792  0.211758  1165  0.277792  0.0000 0.000748 0.000985 0.003044  0.016461  0.000499 -0.065286  46.0423410894 -351.3197960688  1165.27779
CARZ 06JAN27 2006.0726 53762 1359 5    8.7  -1532 -0.299017   5100792  0.210066  1165  0.277923  0.0000 0.000743 0.000983 0.003024  0.019627  0.012778 -0.053521  46.0423410742 -351.3197960729  1165.27792
