site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
COMO 02APR18 2002.2943 52382 1162 4    9.1   -340 -0.372617   5074096  0.458779   292  0.276677  0.1134 0.000910 0.001247 0.004015  0.001458 -0.003823 -0.146007  45.8021629416 -350.9043784072   292.27668
COMO 02APR19 2002.2971 52383 1162 5    9.1   -340 -0.372076   5074096  0.457005   292  0.287062  0.1134 0.000887 0.001202 0.003879 -0.008047  0.018793 -0.114557  45.8021629256 -350.9043784003   292.28706
COMO 02APR20 2002.2998 52384 1162 6    9.1   -340 -0.374556   5074096  0.458055   292  0.289337  0.1134 0.000904 0.001251 0.003977 -0.018035  0.024786 -0.111504  45.8021629351 -350.9043784322   292.28934
COMO 02APR21 2002.3025 52385 1163 0    9.1   -340 -0.371127   5074096  0.458216   292  0.290779  0.1134 0.000881 0.001176 0.003818 -0.011112  0.033738 -0.119095  45.8021629365 -350.9043783881   292.29078
COMO 02APR22 2002.3053 52386 1163 1    9.1   -340 -0.373918   5074096  0.459879   292  0.285163  0.1134 0.000902 0.001234 0.004021  0.007375  0.001771 -0.162022  45.8021629515 -350.9043784240   292.28516
COMO 02APR23 2002.3080 52387 1163 2    9.1   -340 -0.373049   5074096  0.456909   292  0.285279  0.1134 0.000902 0.001218 0.004092 -0.009296 -0.041154 -0.193288  45.8021629248 -350.9043784128   292.28528
COMO 02APR24 2002.3107 52388 1163 3    9.1   -340 -0.372589   5074096  0.459341   292  0.291271  0.1134 0.000884 0.001160 0.003853 -0.009332 -0.030929 -0.160190  45.8021629467 -350.9043784069   292.29127
COMO 02APR25 2002.3135 52389 1163 4    9.1   -340 -0.372249   5074096  0.459281   292  0.292986  0.1134 0.000904 0.001168 0.003945 -0.023298 -0.009324 -0.159426  45.8021629461 -350.9043784025   292.29299
COMO 02APR26 2002.3162 52390 1163 5    9.1   -340 -0.373578   5074096  0.460349   292  0.293976  0.1134 0.000880 0.001185 0.003830 -0.030449 -0.003952 -0.122551  45.8021629557 -350.9043784196   292.29398
COMO 02APR27 2002.3190 52391 1163 6    9.1   -340 -0.371002   5074096  0.461558   292  0.284687  0.1134 0.000878 0.001144 0.003796  0.069768 -0.078501 -0.145657  45.8021629666 -350.9043783864   292.28469
COMO 02APR28 2002.3217 52392 1164 0    9.1   -340 -0.370350   5074096  0.458882   292  0.284827  0.1134 0.000858 0.001134 0.003699  0.058516 -0.021266 -0.130450  45.8021629425 -350.9043783781   292.28483
COMO 02APR29 2002.3244 52393 1164 1    9.1   -340 -0.371796   5074096  0.459971   292  0.286265  0.1134 0.000879 0.001170 0.003826 -0.008300  0.023325 -0.132072  45.8021629523 -350.9043783967   292.28627
