site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
CREA 15JUL06 2015.5099 57209 1852 1    9.7  -1151 -0.009851   5024323  0.547912   129  0.812992  0.0540 0.000856 0.001191 0.003337  0.035721 -0.029724 -0.045512  45.3543355838 -350.3146888654   129.81299
CREA 15JUL07 2015.5127 57210 1852 2    9.7  -1151 -0.009094   5024323  0.548751   129  0.814998  0.0540 0.000676 0.000863 0.002570  0.037477 -0.027774 -0.094112  45.3543355914 -350.3146888557   129.81500
CREA 15JUL08 2015.5154 57211 1852 3    9.7  -1151 -0.011833   5024323  0.548561   129  0.812914  0.0540 0.000705 0.000924 0.002729  0.053181 -0.042042 -0.114142  45.3543355896 -350.3146888907   129.81291
CREA 15JUL09 2015.5181 57212 1852 4    9.7  -1151 -0.011986   5024323  0.551234   129  0.813318  0.0540 0.000706 0.000921 0.002726  0.034778 -0.046843 -0.106890  45.3543356137 -350.3146888926   129.81332
CREA 15JUL10 2015.5209 57213 1852 5    9.7  -1151 -0.011291   5024323  0.548852   129  0.809672  0.0540 0.000715 0.000938 0.002663  0.014381 -0.064135 -0.123102  45.3543355923 -350.3146888838   129.80967
CREA 15JUL11 2015.5236 57214 1852 6    9.7  -1151 -0.009671   5024323  0.547544   129  0.812090  0.0540 0.000687 0.000892 0.002569  0.007842  0.003628 -0.077556  45.3543355805 -350.3146888631   129.81209
CREA 15JUL12 2015.5264 57215 1853 0    9.7  -1151 -0.008498   5024323  0.550802   129  0.809912  0.0540 0.000693 0.000876 0.002608  0.049092 -0.010032 -0.076996  45.3543356098 -350.3146888481   129.80991
CREA 15JUL13 2015.5291 57216 1853 1    9.7  -1151 -0.008743   5024323  0.549217   129  0.814553  0.0540 0.001120 0.001490 0.004416  0.038922 -0.130592 -0.101123  45.3543355955 -350.3146888513   129.81455
CREA 15JUL14 2015.5318 57217 1853 2    9.7  -1151 -0.009467   5024323  0.549434   129  0.811979  0.0540 0.000684 0.000884 0.002649  0.037983 -0.041113 -0.065281  45.3543355975 -350.3146888605   129.81198
CREA 15JUL15 2015.5346 57218 1853 3    9.7  -1151 -0.009524   5024323  0.550407   129  0.815811  0.0540 0.000676 0.000877 0.002589  0.034210 -0.025074 -0.097934  45.3543356062 -350.3146888612   129.81581
CREA 15JUL16 2015.5373 57219 1853 4    9.7  -1151 -0.007255   5024323  0.548626   129  0.810494  0.0540 0.000671 0.000863 0.002633  0.015157 -0.023104 -0.113081  45.3543355902 -350.3146888323   129.81049
CREA 15JUL17 2015.5400 57220 1853 5    9.7  -1151 -0.009220   5024323  0.549042   129  0.815263  0.0540 0.000698 0.000915 0.002787  0.046013 -0.084302 -0.094147  45.3543355940 -350.3146888573   129.81526
CREA 15JUL18 2015.5428 57221 1853 6    9.7  -1151 -0.010377   5024323  0.549964   129  0.816533  0.0540 0.000719 0.000950 0.002769  0.031232  0.024211 -0.097617  45.3543356023 -350.3146888721   129.81653
