site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
CURN 15OCT31 2015.8303 57326 1868 6    9.6    935  0.717368   5061545  0.027602   297  0.612329  0.0540 0.000755 0.000929 0.002887  0.023173 -0.089633 -0.119731  45.6892358758 -350.3879875787   297.61233
CURN 15NOV01 2015.8330 57327 1869 0    9.6    935  0.717828   5061545  0.027152   297  0.610937  0.0540 0.000976 0.001225 0.003741 -0.016950 -0.132539 -0.102171  45.6892358717 -350.3879875728   297.61094
CURN 15NOV02 2015.8357 57328 1869 1    9.6    935  0.717033   5061545  0.026663   297  0.613680  0.0540 0.000663 0.000849 0.002577  0.021126 -0.086922 -0.069776  45.6892358673 -350.3879875831   297.61368
CURN 15NOV03 2015.8385 57329 1869 2    9.6    935  0.716383   5061545  0.027841   297  0.615151  0.0540 0.001203 0.001593 0.004456  0.035013  0.068927 -0.098887  45.6892358779 -350.3879875914   297.61515
CURN 15NOV04 2015.8412 57330 1869 3    9.6    935  0.716882   5061545  0.028018   297  0.617502  0.0540 0.000682 0.000845 0.002617  0.025066 -0.087893 -0.084991  45.6892358795 -350.3879875850   297.61750
CURN 15NOV05 2015.8439 57331 1869 4    9.6    935  0.718552   5061545  0.027605   297  0.615247  0.0540 0.000771 0.000962 0.002929 -0.010282 -0.155415 -0.061248  45.6892358758 -350.3879875636   297.61525
CURN 15NOV06 2015.8467 57332 1869 5    9.6    935  0.718354   5061545  0.026665   297  0.617841  0.0540 0.000675 0.000829 0.002554  0.007431 -0.080441 -0.071418  45.6892358674 -350.3879875661   297.61784
CURN 15NOV07 2015.8494 57333 1869 6    9.6    935  0.716974   5061545  0.028489   297  0.615077  0.0540 0.000674 0.000836 0.002592  0.012729 -0.091778 -0.066735  45.6892358838 -350.3879875838   297.61508
CURN 15NOV08 2015.8522 57334 1870 0    9.6    935  0.716797   5061545  0.027544   297  0.611046  0.0540 0.000676 0.000835 0.002575  0.022440 -0.078985 -0.072762  45.6892358753 -350.3879875861   297.61105
CURN 15NOV09 2015.8549 57335 1870 1    9.6    935  0.717618   5061545  0.028977   297  0.616614  0.0540 0.000673 0.000844 0.002600  0.008635 -0.087654 -0.067878  45.6892358882 -350.3879875755   297.61661
CURN 15NOV10 2015.8576 57336 1870 2    9.6    935  0.716061   5061545  0.029218   297  0.616676  0.0540 0.000676 0.000837 0.002577  0.018231 -0.081461 -0.084028  45.6892358903 -350.3879875955   297.61668
CURN 15NOV11 2015.8604 57337 1870 3    9.6    935  0.719270   5061545  0.028814   297  0.614583  0.0540 0.000672 0.000836 0.002586  0.020883 -0.106902 -0.067483  45.6892358867 -350.3879875543   297.61458
CURN 15NOV12 2015.8631 57338 1870 4    9.6    935  0.717333   5061545  0.028585   297  0.615072  0.0540 0.000674 0.000836 0.002593 -0.000387 -0.080853 -0.069057  45.6892358846 -350.3879875792   297.61507
CURN 15NOV13 2015.8658 57339 1870 5    9.6    935  0.716994   5061545  0.029105   297  0.615278  0.0540 0.000680 0.000850 0.002630  0.016149 -0.073767 -0.076131  45.6892358893 -350.3879875835   297.61528
CURN 15NOV14 2015.8686 57340 1870 6    9.6    935  0.717933   5061545  0.027454   297  0.611534  0.0540 0.000673 0.000841 0.002603  0.005544 -0.099929 -0.062242  45.6892358745 -350.3879875715   297.61153
CURN 15NOV15 2015.8713 57341 1871 0    9.6    935  0.716522   5061545  0.026559   297  0.617652  0.0540 0.000684 0.000854 0.002652  0.033144 -0.074239 -0.071625  45.6892358664 -350.3879875896   297.61765
