site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
LUIN 10JUN12 2010.4449 55359 1587 6    8.7   3535  0.929934   5095935  0.287379   262  0.254165  0.0000 0.000853 0.001171 0.003842 -0.024866  0.107018 -0.163147  45.9986447397 -351.2543545957   262.25417
LUIN 10JUN13 2010.4476 55360 1588 0    8.7   3535  0.927915   5095935  0.290511   262  0.254929  0.0000 0.000848 0.001111 0.003754 -0.033213  0.121509 -0.087823  45.9986447679 -351.2543546217   262.25493
LUIN 10JUN14 2010.4504 55361 1588 1    8.7   3535  0.928371   5095935  0.290447   262  0.253171  0.0000 0.000812 0.001095 0.003538 -0.027301  0.107141 -0.089727  45.9986447673 -351.2543546158   262.25317
LUIN 10JUN15 2010.4531 55362 1588 2    8.7   3535  0.933361   5095935  0.290524   262  0.266656  0.0000 0.000831 0.001110 0.003623 -0.030161  0.104839 -0.110661  45.9986447680 -351.2543545514   262.26666
LUIN 10JUN16 2010.4559 55363 1588 3    8.7   3535  0.927853   5095935  0.288638   262  0.280004  0.0000 0.000851 0.001162 0.003825 -0.022856  0.070897 -0.151808  45.9986447510 -351.2543546225   262.28000
LUIN 10JUN17 2010.4586 55364 1588 4    8.7   3535  0.933101   5095935  0.290112   262  0.266261  0.0000 0.000864 0.001153 0.003801 -0.000865  0.075290 -0.138800  45.9986447643 -351.2543545548   262.26626
LUIN 10JUN18 2010.4613 55365 1588 5    8.7   3535  0.929898   5095935  0.292525   262  0.249873  0.0000 0.000846 0.001110 0.003670 -0.011218  0.104867 -0.084778  45.9986447860 -351.2543545961   262.24987
LUIN 10JUN19 2010.4641 55366 1588 6    8.7   3535  0.928168   5095935  0.287536   262  0.249453  0.0000 0.000844 0.001152 0.003805 -0.020813  0.158160 -0.111598  45.9986447411 -351.2543546185   262.24945
LUIN 10JUN20 2010.4668 55367 1589 0    8.7   3535  0.929464   5095935  0.288540   262  0.251305  0.0000 0.000809 0.001122 0.003572 -0.008313  0.109575 -0.109711  45.9986447501 -351.2543546017   262.25131
LUIN 10JUN21 2010.4695 55368 1589 1    8.7   3535  0.930027   5095935  0.290355   262  0.248777  0.0000 0.000894 0.001210 0.004018 -0.027482  0.183896 -0.108504  45.9986447665 -351.2543545945   262.24878
LUIN 10JUN22 2010.4723 55369 1589 2    8.7   3535  0.931436   5095935  0.288478   262  0.247264  0.0000 0.000815 0.001118 0.003579 -0.020192  0.093362 -0.096717  45.9986447496 -351.2543545763   262.24726
LUIN 10JUN23 2010.4750 55370 1589 3    8.7   3535  0.929895   5095935  0.291862   262  0.244123  0.0000 0.000825 0.001092 0.003622 -0.016641  0.144651 -0.084905  45.9986447800 -351.2543545961   262.24412
LUIN 10JUN24 2010.4778 55371 1589 4    8.7   3535  0.929028   5095935  0.287627   262  0.246251  0.0000 0.000831 0.001176 0.003718 -0.023670  0.141992 -0.138747  45.9986447419 -351.2543546074   262.24625
LUIN 10JUN25 2010.4805 55372 1589 5    8.7   3535  0.929896   5095935  0.291514   262  0.243557  0.0000 0.000844 0.001132 0.003787 -0.029465  0.120754 -0.112322  45.9986447769 -351.2543545961   262.24356
LUIN 10JUN26 2010.4832 55373 1589 6    8.7   3535  0.924223   5095935  0.292395   262  0.242113  0.0000 0.000851 0.001105 0.003759 -0.005129  0.120897 -0.108306  45.9986447848 -351.2543546694   262.24211
LUIN 10JUN27 2010.4860 55374 1590 0    8.7   3535  0.928843   5095935  0.290961   262  0.248261  0.0000 0.000834 0.001115 0.003741 -0.026449  0.128719 -0.103458  45.9986447719 -351.2543546097   262.24826
LUIN 10JUN28 2010.4887 55375 1590 1    8.7   3535  0.932271   5095935  0.290584   262  0.255876  0.0000 0.000850 0.001146 0.003798 -0.020016  0.096286 -0.149235  45.9986447685 -351.2543545655   262.25588
LUIN 10JUN29 2010.4914 55376 1590 2    8.7   3535  0.930127   5095935  0.286591   262  0.268265  0.0000 0.000833 0.001125 0.003735  0.002710  0.082745 -0.154096  45.9986447326 -351.2543545932   262.26826
LUIN 10JUN30 2010.4942 55377 1590 3    8.7   3535  0.929219   5095935  0.291278   262  0.251554  0.0000 0.000835 0.001120 0.003729  0.023973  0.065572 -0.176972  45.9986447748 -351.2543546049   262.25155
LUIN 10JUL01 2010.4969 55378 1590 4    8.7   3535  0.931556   5095935  0.289038   262  0.260006  0.0000 0.000819 0.001116 0.003616 -0.017699  0.072828 -0.100895  45.9986447546 -351.2543545747   262.26001
LUIN 10JUL02 2010.4997 55379 1590 5    8.7   3535  0.931194   5095935  0.288240   262  0.250485  0.0000 0.000847 0.001154 0.003839  0.001069  0.103968 -0.151774  45.9986447474 -351.2543545794   262.25048
LUIN 10JUL03 2010.5024 55380 1590 6    8.7   3535  0.930970   5095935  0.287602   262  0.262846  0.0000 0.000865 0.001141 0.003909 -0.047296  0.124044 -0.026892  45.9986447417 -351.2543545823   262.26285
LUIN 10JUL04 2010.5051 55381 1591 0    8.7   3535  0.930449   5095935  0.290477   262  0.245237  0.0000 0.000818 0.001119 0.003674 -0.009932  0.104904 -0.130344  45.9986447676 -351.2543545890   262.24524
LUIN 10JUL05 2010.5079 55382 1591 1    8.7   3535  0.932671   5095935  0.291252   262  0.243416  0.0000 0.000816 0.001155 0.003733  0.015505  0.065599 -0.106085  45.9986447745 -351.2543545603   262.24342
LUIN 10JUL06 2010.5106 55383 1591 2    8.7   3535  0.932427   5095935  0.291478   262  0.263639  0.0000 0.000829 0.001128 0.003724 -0.004534  0.016639 -0.078396  45.9986447766 -351.2543545635   262.26364
LUIN 10JUL07 2010.5133 55384 1591 3    8.7   3535  0.931032   5095935  0.291388   262  0.249729  0.0000 0.000832 0.001113 0.003740 -0.013949  0.121706 -0.095553  45.9986447757 -351.2543545815   262.24973
LUIN 10JUL08 2010.5161 55385 1591 4    8.7   3535  0.933283   5095935  0.292541   262  0.256699  0.0000 0.000822 0.001098 0.003627 -0.021065  0.130117 -0.110122  45.9986447861 -351.2543545524   262.25670
LUIN 10JUL09 2010.5188 55386 1591 5    8.7   3535  0.931489   5095935  0.289834   262  0.259920  0.0000 0.000816 0.001081 0.003565 -0.009046  0.104463 -0.105444  45.9986447618 -351.2543545756   262.25992
LUIN 10JUL10 2010.5216 55387 1591 6    8.7   3535  0.932776   5095935  0.290051   262  0.254281  0.0000 0.000796 0.001122 0.003555  0.019916  0.069609 -0.105419  45.9986447637 -351.2543545590   262.25428
LUIN 10JUL11 2010.5243 55388 1592 0    8.7   3535  0.930617   5095935  0.287474   262  0.249945  0.0000 0.000832 0.001156 0.003814 -0.008931  0.140420 -0.079973  45.9986447405 -351.2543545869   262.24995
LUIN 10JUL12 2010.5270 55389 1592 1    8.7   3535  0.934028   5095935  0.289486   262  0.262203  0.0000 0.000839 0.001119 0.003775 -0.049212  0.084605 -0.046375  45.9986447586 -351.2543545428   262.26220
LUIN 10JUL13 2010.5298 55390 1592 2    8.7   3535  0.932509   5095935  0.286818   262  0.260100  0.0000 0.000831 0.001118 0.003781 -0.013396  0.157260 -0.095875  45.9986447346 -351.2543545624   262.26010
LUIN 10JUL14 2010.5325 55391 1592 3    8.7   3535  0.932482   5095935  0.285886   262  0.260612  0.0000 0.000835 0.001140 0.003769 -0.015457  0.132795 -0.089823  45.9986447263 -351.2543545628   262.26061
LUIN 10JUL15 2010.5352 55392 1592 4    8.7   3535  0.932388   5095935  0.288685   262  0.255793  0.0000 0.000831 0.001108 0.003666 -0.037680  0.140850 -0.080254  45.9986447514 -351.2543545640   262.25579
LUIN 10JUL16 2010.5380 55393 1592 5    8.7   3535  0.931501   5095935  0.286454   262  0.258359  0.0000 0.000815 0.001123 0.003643 -0.029672  0.110538 -0.057633  45.9986447314 -351.2543545755   262.25836
LUIN 10JUL17 2010.5407 55394 1592 6    8.7   3535  0.931167   5095935  0.290422   262  0.264648  0.0000 0.000856 0.001168 0.003823 -0.009385  0.073228 -0.093406  45.9986447671 -351.2543545797   262.26465
LUIN 10JUL18 2010.5435 55395 1593 0    8.7   3535  0.932032   5095935  0.287800   262  0.250202  0.0000 0.000808 0.001164 0.003723 -0.020975  0.103054 -0.042628  45.9986447435 -351.2543545686   262.25020
LUIN 10JUL19 2010.5462 55396 1593 1    8.7   3535  0.931492   5095935  0.290368   262  0.265040  0.0000 0.000803 0.001135 0.003669  0.029105  0.093152 -0.129978  45.9986447666 -351.2543545755   262.26504
LUIN 10JUL20 2010.5489 55397 1593 2    8.7   3535  0.931967   5095935  0.290076   262  0.256916  0.0000 0.000834 0.001125 0.003794 -0.007306  0.147791 -0.133196  45.9986447639 -351.2543545694   262.25692
LUIN 10JUL21 2010.5517 55398 1593 3    8.7   3535  0.930691   5095935  0.289998   262  0.240802  0.0000 0.000863 0.001144 0.003943 -0.009651  0.117002 -0.066637  45.9986447632 -351.2543545859   262.24080
LUIN 10JUL22 2010.5544 55399 1593 4    8.7   3535  0.930325   5095935  0.289359   262  0.260309  0.0000 0.000816 0.001101 0.003654 -0.008037  0.131122 -0.067957  45.9986447575 -351.2543545906   262.26031
LUIN 10JUL23 2010.5572 55400 1593 5    8.7   3535  0.932968   5095935  0.289482   262  0.269727  0.0000 0.000840 0.001120 0.003758 -0.001233  0.058254 -0.102607  45.9986447586 -351.2543545565   262.26973
LUIN 10JUL24 2010.5599 55401 1593 6    8.7   3535  0.931504   5095935  0.293290   262  0.253936  0.0000 0.000817 0.001147 0.003738  0.013077  0.122083 -0.105985  45.9986447929 -351.2543545754   262.25394
LUIN 10JUL25 2010.5626 55402 1594 0    8.7   3535  0.933541   5095935  0.292665   262  0.257557  0.0000 0.000817 0.001105 0.003663  0.002503  0.124370 -0.093024  45.9986447872 -351.2543545491   262.25756
