site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
MAG3 06MAY11 2006.3573 53866 1374 4   10.6   2261  0.664534   5071118  0.879258  1311  0.613921  0.0083 0.000784 0.001004 0.003258  0.037418 -0.061816 -0.075355  45.7753734251 -349.3709208520  1311.61392
MAG3 06MAY12 2006.3600 53867 1374 5   10.6   2261  0.664589   5071118  0.877160  1311  0.614857  0.0083 0.000788 0.001003 0.003256  0.006029 -0.023357 -0.055620  45.7753734062 -349.3709208514  1311.61486
MAG3 06MAY13 2006.3628 53868 1374 6   10.6   2261  0.662993   5071118  0.878245  1311  0.614661  0.0083 0.000774 0.000994 0.003192  0.007341 -0.031227 -0.045649  45.7753734160 -349.3709208719  1311.61466
MAG3 06MAY14 2006.3655 53869 1375 0   10.6   2261  0.664417   5071118  0.877965  1311  0.608957  0.0083 0.000784 0.001004 0.003239  0.002565 -0.040307 -0.058523  45.7753734135 -349.3709208536  1311.60896
MAG3 06MAY15 2006.3682 53870 1375 1   10.6   2261  0.663817   5071118  0.879009  1311  0.612185  0.0083 0.000770 0.000996 0.003179  0.011103 -0.010646 -0.035401  45.7753734229 -349.3709208613  1311.61218
MAG3 06MAY16 2006.3710 53871 1375 2   10.6   2261  0.664862   5071118  0.879057  1311  0.611408  0.0083 0.000795 0.001027 0.003296  0.033205 -0.033344 -0.041371  45.7753734233 -349.3709208478  1311.61141
MAG3 06MAY17 2006.3737 53872 1375 3   10.6   2261  0.664831   5071118  0.877800  1311  0.613275  0.0083 0.000792 0.001019 0.003265  0.054301 -0.062770 -0.046740  45.7753734120 -349.3709208482  1311.61328
MAG3 06MAY18 2006.3765 53873 1375 4   10.6   2261  0.665417   5071118  0.878614  1311  0.605145  0.0083 0.000796 0.001014 0.003277  0.012586 -0.047832 -0.063805  45.7753734193 -349.3709208407  1311.60514
MAG3 06MAY19 2006.3792 53874 1375 5   10.6   2261  0.665086   5071118  0.875762  1311  0.618225  0.0083 0.000818 0.001025 0.003375  0.008287 -0.045288 -0.067262  45.7753733936 -349.3709208450  1311.61823
MAG3 06MAY20 2006.3819 53875 1375 6   10.6   2261  0.663925   5071118  0.877013  1311  0.621348  0.0083 0.000793 0.001016 0.003256 -0.003610 -0.006011 -0.052122  45.7753734049 -349.3709208599  1311.62135
MAG3 06MAY21 2006.3847 53876 1376 0   10.6   2261  0.663416   5071118  0.878286  1311  0.619247  0.0083 0.000806 0.001019 0.003314  0.007071 -0.007119 -0.054988  45.7753734164 -349.3709208664  1311.61925
MAG3 06MAY22 2006.3874 53877 1376 1   10.6   2261  0.662894   5071118  0.876727  1311  0.617826  0.0083 0.000798 0.001012 0.003260  0.001385  0.003299 -0.082195  45.7753734023 -349.3709208731  1311.61783
MAG3 06MAY23 2006.3901 53878 1376 2   10.6   2261  0.665899   5071118  0.878268  1311  0.611333  0.0083 0.000838 0.001043 0.003462  0.024593 -0.042037 -0.067826  45.7753734162 -349.3709208345  1311.61133
MAG3 06MAY24 2006.3929 53879 1376 3   10.6   2261  0.665593   5071118  0.877429  1311  0.608030  0.0083 0.000801 0.001011 0.003277 -0.016370 -0.009315 -0.039755  45.7753734086 -349.3709208384  1311.60803
MAG3 06MAY25 2006.3956 53880 1376 4   10.6   2261  0.666192   5071118  0.879846  1311  0.610649  0.0083 0.000821 0.001047 0.003386  0.051266 -0.025195 -0.013557  45.7753734304 -349.3709208307  1311.61065
MAG3 06MAY26 2006.3984 53881 1376 5   10.6   2261  0.664338   5071118  0.878545  1311  0.616466  0.0083 0.000828 0.001048 0.003405  0.054590 -0.012848 -0.039004  45.7753734187 -349.3709208546  1311.61647
MAG3 06MAY27 2006.4011 53882 1376 6   10.6   2261  0.663245   5071118  0.879693  1311  0.612444  0.0083 0.000811 0.001028 0.003329  0.020962 -0.017430 -0.073175  45.7753734290 -349.3709208686  1311.61244
MAG3 06MAY28 2006.4038 53883 1377 0   10.6   2261  0.665582   5071118  0.878309  1311  0.614974  0.0083 0.000803 0.001015 0.003294  0.011584 -0.030697 -0.055867  45.7753734166 -349.3709208386  1311.61497
MAG3 06MAY29 2006.4066 53884 1377 1   10.6   2261  0.665425   5071118  0.878630  1311  0.619717  0.0083 0.000823 0.001029 0.003393 -0.006075 -0.045539 -0.094964  45.7753734194 -349.3709208406  1311.61972
MAG3 06MAY30 2006.4093 53885 1377 2   10.6   2261  0.664017   5071118  0.876163  1311  0.615980  0.0083 0.000808 0.001023 0.003316 -0.001633 -0.031571 -0.058097  45.7753733973 -349.3709208587  1311.61598
MAG3 06MAY31 2006.4120 53886 1377 3   10.6   2261  0.665347   5071118  0.878199  1311  0.616644  0.0083 0.000809 0.001017 0.003310  0.016669 -0.040430 -0.070008  45.7753734156 -349.3709208416  1311.61664
MAG3 06JUN01 2006.4148 53887 1377 4   10.6   2261  0.667192   5071118  0.879888  1311  0.608074  0.0083 0.000806 0.001009 0.003292  0.022493 -0.027163 -0.081695  45.7753734308 -349.3709208179  1311.60807
MAG3 06JUN02 2006.4175 53888 1377 5   10.6   2261  0.665636   5071118  0.878861  1311  0.618291  0.0083 0.000828 0.001023 0.003403  0.003429 -0.037663 -0.073027  45.7753734215 -349.3709208379  1311.61829
MAG3 06JUN03 2006.4203 53889 1377 6   10.6   2261  0.666836   5071118  0.878269  1311  0.609497  0.0083 0.000831 0.001022 0.003388  0.007679 -0.038270 -0.041016  45.7753734162 -349.3709208224  1311.60950
MAG3 06JUN04 2006.4230 53890 1378 0   10.6   2261  0.665474   5071118  0.878306  1311  0.615560  0.0083 0.000834 0.001045 0.003447 -0.005705 -0.041382 -0.056697  45.7753734165 -349.3709208400  1311.61556
MAG3 06JUN05 2006.4257 53891 1378 1   10.6   2261  0.665480   5071118  0.879825  1311  0.611511  0.0083 0.000837 0.001039 0.003448 -0.002351 -0.025386 -0.042234  45.7753734302 -349.3709208399  1311.61151
MAG3 06JUN06 2006.4285 53892 1378 2   10.6   2261  0.665842   5071118  0.879184  1311  0.614463  0.0083 0.000837 0.001043 0.003449 -0.001377  0.002346 -0.025303  45.7753734244 -349.3709208352  1311.61446
MAG3 06JUN07 2006.4312 53893 1378 3   10.6   2261  0.665721   5071118  0.880516  1311  0.610232  0.0083 0.000818 0.001020 0.003350  0.023542 -0.009691 -0.092688  45.7753734364 -349.3709208368  1311.61023
MAG3 06JUN08 2006.4339 53894 1378 4   10.6   2261  0.664903   5071118  0.879469  1311  0.612028  0.0083 0.000812 0.001011 0.003331  0.010460 -0.053480 -0.098071  45.7753734270 -349.3709208473  1311.61203
MAG3 06JUN22 2006.4723 53908 1380 4   10.6   2261  0.666686   5071118  0.880564  1311  0.616184  0.0083 0.000840 0.001071 0.003480 -0.026036  0.008344 -0.087378  45.7753734368 -349.3709208244  1311.61618
MAG3 06JUN23 2006.4750 53909 1380 5   10.6   2261  0.667629   5071118  0.880115  1311  0.617645  0.0083 0.000830 0.001048 0.003400 -0.006771 -0.015731 -0.082975  45.7753734328 -349.3709208123  1311.61764
MAG3 06JUN24 2006.4778 53910 1380 6   10.6   2261  0.666914   5071118  0.879958  1311  0.618193  0.0083 0.000842 0.001057 0.003518 -0.025290 -0.035568 -0.091278  45.7753734314 -349.3709208214  1311.61819
MAG3 06JUN25 2006.4805 53911 1381 0   10.6   2261  0.665944   5071118  0.881464  1311  0.617083  0.0083 0.000844 0.001049 0.003466 -0.014238 -0.009504 -0.118467  45.7753734449 -349.3709208339  1311.61708
MAG3 06JUN26 2006.4832 53912 1381 1   10.6   2261  0.670462   5071118  0.880718  1311  0.612994  0.0083 0.000831 0.001045 0.003415 -0.018318 -0.022491 -0.093254  45.7753734382 -349.3709207758  1311.61299
MAG3 06JUN27 2006.4860 53913 1381 2   10.6   2261  0.663161   5071118  0.881640  1311  0.623357  0.0083 0.000822 0.001040 0.003375 -0.033796 -0.027421 -0.047798  45.7753734465 -349.3709208697  1311.62336
MAG3 06JUN28 2006.4887 53914 1381 3   10.6   2261  0.667809   5071118  0.880728  1311  0.613798  0.0083 0.000838 0.001066 0.003483 -0.002369 -0.037974 -0.096238  45.7753734383 -349.3709208099  1311.61380
MAG3 06JUL05 2006.5079 53921 1382 3   10.6   2261  0.668562   5071118  0.880550  1311  0.618393  0.0083 0.000806 0.001029 0.003320  0.014874 -0.018290 -0.031876  45.7753734367 -349.3709208002  1311.61839
MAG3 06JUL06 2006.5106 53922 1382 4   10.6   2261  0.669834   5071118  0.880717  1311  0.612856  0.0083 0.000809 0.001028 0.003352  0.039016 -0.027624 -0.030012  45.7753734382 -349.3709207839  1311.61286
MAG3 06JUL07 2006.5133 53923 1382 5   10.6   2261  0.668802   5071118  0.880605  1311  0.610132  0.0083 0.000807 0.001025 0.003335  0.024301 -0.051765 -0.036737  45.7753734372 -349.3709207972  1311.61013
MAG3 06JUL08 2006.5161 53924 1382 6   10.6   2261  0.669962   5071118  0.879215  1311  0.615127  0.0083 0.000790 0.001026 0.003277  0.034993 -0.015303 -0.018472  45.7753734247 -349.3709207823  1311.61513
MAG3 06JUL09 2006.5188 53925 1383 0   10.6   2261  0.666955   5071118  0.882934  1311  0.613896  0.0083 0.000800 0.001041 0.003353  0.039114 -0.019235  0.001837  45.7753734582 -349.3709208209  1311.61390
MAG3 06JUL10 2006.5216 53926 1383 1   10.6   2261  0.670308   5071118  0.882433  1311  0.611035  0.0083 0.000802 0.001030 0.003335  0.036431 -0.025189 -0.018448  45.7753734537 -349.3709207778  1311.61103
MAG3 06JUL11 2006.5243 53927 1383 2   10.6   2261  0.667554   5071118  0.880880  1311  0.615117  0.0083 0.000815 0.001038 0.003367  0.022874 -0.014251 -0.031652  45.7753734397 -349.3709208132  1311.61512
MAG3 06JUL12 2006.5270 53928 1383 3   10.6   2261  0.668323   5071118  0.883163  1311  0.603093  0.0083 0.000850 0.001060 0.003520  0.081125 -0.091030 -0.037555  45.7753734602 -349.3709208033  1311.60309
MAG3 06JUL13 2006.5298 53929 1383 4   10.6   2261  0.669963   5071118  0.880914  1311  0.615162  0.0083 0.000805 0.001036 0.003318  0.027300 -0.015530 -0.015728  45.7753734400 -349.3709207822  1311.61516
MAG3 06JUL14 2006.5325 53930 1383 5   10.6   2261  0.669011   5071118  0.881389  1311  0.616018  0.0083 0.000810 0.001053 0.003403  0.020248 -0.017611 -0.045834  45.7753734443 -349.3709207945  1311.61602
MAG3 06JUL15 2006.5352 53931 1383 6   10.6   2261  0.667451   5071118  0.882375  1311  0.614301  0.0083 0.000811 0.001045 0.003372  0.028391 -0.026046 -0.010118  45.7753734531 -349.3709208145  1311.61430
MAG3 06JUL16 2006.5380 53932 1384 0   10.6   2261  0.668616   5071118  0.881650  1311  0.616513  0.0083 0.000797 0.001032 0.003300  0.043471 -0.022499 -0.037155  45.7753734466 -349.3709207996  1311.61651
MAG3 06JUL17 2006.5407 53933 1384 1   10.6   2261  0.669047   5071118  0.880630  1311  0.608317  0.0083 0.000809 0.001047 0.003365 -0.024404 -0.017347 -0.037850  45.7753734374 -349.3709207940  1311.60832
MAG3 06JUL18 2006.5435 53934 1384 2   10.6   2261  0.667741   5071118  0.881824  1311  0.604847  0.0083 0.000785 0.001019 0.003248 -0.025021 -0.011732 -0.073924  45.7753734482 -349.3709208108  1311.60485
MAG3 06JUL19 2006.5462 53935 1384 3   10.6   2261  0.670003   5071118  0.881197  1311  0.612581  0.0083 0.000780 0.001007 0.003213 -0.014890 -0.009773 -0.066362  45.7753734425 -349.3709207817  1311.61258
MAG3 06JUL20 2006.5489 53936 1384 4   10.6   2261  0.668077   5071118  0.881724  1311  0.611382  0.0083 0.000795 0.001012 0.003271 -0.018261 -0.017854 -0.052406  45.7753734473 -349.3709208065  1311.61138
MAG3 06JUL21 2006.5517 53937 1384 5   10.6   2261  0.669346   5071118  0.879858  1311  0.614708  0.0083 0.000788 0.001015 0.003297  0.021113 -0.069345 -0.070271  45.7753734305 -349.3709207902  1311.61471
MAG3 06JUL22 2006.5544 53938 1384 6   10.6   2261  0.670186   5071118  0.880771  1311  0.612390  0.0083 0.000783 0.001020 0.003253 -0.020600 -0.023213 -0.039822  45.7753734387 -349.3709207794  1311.61239
MAG3 06JUL23 2006.5572 53939 1385 0   10.6   2261  0.669251   5071118  0.879136  1311  0.618362  0.0083 0.000783 0.001012 0.003277  0.014342 -0.092792 -0.060397  45.7753734240 -349.3709207914  1311.61836
MAG3 06JUL24 2006.5599 53940 1385 1   10.6   2261  0.671175   5071118  0.878510  1311  0.614114  0.0083 0.000786 0.000996 0.003244  0.007364 -0.057918 -0.067394  45.7753734184 -349.3709207667  1311.61411
MAG3 06JUL25 2006.5626 53941 1385 2   10.6   2261  0.671351   5071118  0.882756  1311  0.613968  0.0083 0.000799 0.001013 0.003319 -0.002450 -0.020266 -0.089483  45.7753734566 -349.3709207644  1311.61397
MAG3 06JUL26 2006.5654 53942 1385 3   10.6   2261  0.673164   5071118  0.880459  1311  0.610244  0.0083 0.000815 0.001027 0.003431  0.025345 -0.084377 -0.061057  45.7753734359 -349.3709207411  1311.61024
