site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
MORB 10JUN13 2010.4476 55360 1588 0    9.6  -2562 -0.902226   5110934  0.281609   325  0.163984  0.0000 0.000785 0.001133 0.003522 -0.033432  0.049121  0.077296  46.1335852887 -350.4331652775   325.16398
MORB 10JUN14 2010.4504 55361 1588 1    9.6  -2562 -0.903965   5110934  0.281183   325  0.163009  0.0000 0.000783 0.001112 0.003480 -0.054866  0.043558  0.093288  46.1335852849 -350.4331653000   325.16301
MORB 10JUN15 2010.4531 55362 1588 2    9.6  -2562 -0.903665   5110934  0.280960   325  0.162453  0.0000 0.000777 0.001100 0.003452 -0.037730  0.039213  0.079803  46.1335852829 -350.4331652962   325.16245
MORB 10JUN16 2010.4559 55363 1588 3    9.6  -2562 -0.905304   5110934  0.281797   325  0.167134  0.0000 0.000794 0.001128 0.003551 -0.015317  0.033192  0.087260  46.1335852904 -350.4331653174   325.16713
MORB 10JUN17 2010.4586 55364 1588 4    9.6  -2562 -0.905345   5110934  0.278658   325  0.161411  0.0000 0.000816 0.001141 0.003646 -0.052429  0.066344  0.112521  46.1335852622 -350.4331653179   325.16141
MORB 10JUN18 2010.4613 55365 1588 5    9.6  -2562 -0.904888   5110934  0.277118   325  0.162664  0.0000 0.000807 0.001144 0.003603 -0.046811  0.039810  0.096712  46.1335852483 -350.4331653120   325.16266
MORB 10JUN19 2010.4641 55366 1588 6    9.6  -2562 -0.903619   5110934  0.280816   325  0.173847  0.0000 0.000788 0.001115 0.003535 -0.058596  0.071695  0.105632  46.1335852816 -350.4331652956   325.17385
MORB 10JUN20 2010.4668 55367 1589 0    9.6  -2562 -0.905070   5110934  0.278643   325  0.171599  0.0000 0.000770 0.001089 0.003421 -0.048054  0.045275  0.102005  46.1335852620 -350.4331653143   325.17160
MORB 10JUN21 2010.4695 55368 1589 1    9.6  -2562 -0.902121   5110934  0.278888   325  0.166035  0.0000 0.000835 0.001198 0.003746 -0.032478  0.062340  0.081242  46.1335852642 -350.4331652762   325.16604
MORB 10JUN22 2010.4723 55369 1589 2    9.6  -2562 -0.902072   5110934  0.280111   325  0.163391  0.0000 0.000775 0.001094 0.003434 -0.045182  0.071608  0.079240  46.1335852752 -350.4331652755   325.16339
