site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
SARN 09NOV16 2009.8754 55151 1558 1   11.1   3200  0.168788   5142630  0.394963  1049  0.691418  0.0000 0.000756 0.000994 0.003062  0.015279  0.011655 -0.065674  46.4187332801 -348.8583728080  1049.69142
SARN 09NOV17 2009.8782 55152 1558 2   11.1   3200  0.168439   5142630  0.394197  1049  0.687624  0.0000 0.000772 0.001005 0.003125  0.040433  0.015959 -0.052185  46.4187332732 -348.8583728126  1049.68762
SARN 09NOV18 2009.8809 55153 1558 3   11.1   3200  0.167063   5142630  0.392988  1049  0.679545  0.0000 0.000773 0.001008 0.003140  0.038105  0.015788 -0.050099  46.4187332623 -348.8583728305  1049.67955
SARN 09NOV19 2009.8836 55154 1558 4   11.1   3200  0.168299   5142630  0.394394  1049  0.678978  0.0000 0.000755 0.000988 0.003053  0.021677  0.006133 -0.093571  46.4187332750 -348.8583728144  1049.67898
SARN 09NOV20 2009.8864 55155 1558 5   11.1   3200  0.166911   5142630  0.395953  1049  0.679379  0.0000 0.000752 0.000980 0.003026  0.021528  0.006773 -0.091578  46.4187332890 -348.8583728324  1049.67938
SARN 09NOV21 2009.8891 55156 1558 6   11.1   3200  0.166243   5142630  0.394172  1049  0.682254  0.0000 0.000740 0.000953 0.002998 -0.010483  0.020731 -0.083874  46.4187332730 -348.8583728411  1049.68225
SARN 09NOV22 2009.8919 55157 1559 0   11.1   3200  0.165831   5142630  0.394909  1049  0.686047  0.0000 0.000748 0.000975 0.003049 -0.010900  0.020402 -0.074713  46.4187332796 -348.8583728465  1049.68605
SARN 09NOV23 2009.8946 55158 1559 1   11.1   3200  0.168381   5142630  0.394229  1049  0.683818  0.0000 0.000741 0.000953 0.002987 -0.011737  0.023125 -0.087356  46.4187332735 -348.8583728133  1049.68382
SARN 09NOV24 2009.8973 55159 1559 2   11.1   3200  0.166194   5142630  0.395288  1049  0.688143  0.0000 0.000747 0.000961 0.003018  0.001342  0.003919 -0.087070  46.4187332830 -348.8583728418  1049.68814
SARN 09NOV25 2009.9001 55160 1559 3   11.1   3200  0.167796   5142630  0.395608  1049  0.685484  0.0000 0.000738 0.000967 0.002986 -0.004396  0.008033 -0.064684  46.4187332859 -348.8583728209  1049.68548
SARN 09NOV26 2009.9028 55161 1559 4   11.1   3200  0.168864   5142630  0.394022  1049  0.690431  0.0000 0.000735 0.000952 0.002964 -0.006283  0.008741 -0.087823  46.4187332716 -348.8583728070  1049.69043
SARN 09NOV27 2009.9055 55162 1559 5   11.1   3200  0.166654   5142630  0.394847  1049  0.693991  0.0000 0.000737 0.000956 0.002987 -0.006135 -0.001748 -0.081227  46.4187332791 -348.8583728358  1049.69399
SARN 09NOV28 2009.9083 55163 1559 6   11.1   3200  0.167514   5142630  0.393617  1049  0.691000  0.0000 0.000738 0.000966 0.002996 -0.004025  0.004719 -0.087633  46.4187332680 -348.8583728246  1049.69100
SARN 09NOV29 2009.9110 55164 1560 0   11.1   3200  0.168996   5142630  0.394127  1049  0.693406  0.0000 0.000736 0.000958 0.002978 -0.014126 -0.010462 -0.068506  46.4187332726 -348.8583728053  1049.69341
