site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
SCH3 10JUN13 2010.4476 55360 1588 0   11.4  -2881 -0.136104   5064748  0.494527   254  0.664499  0.0000 0.000783 0.000990 0.003202 -0.027044  0.020073 -0.112057  45.7180581503 -348.6370060564   254.66450
SCH3 10JUN14 2010.4504 55361 1588 1   11.4  -2881 -0.135977   5064748  0.493883   254  0.670328  0.0000 0.000777 0.000990 0.003171 -0.024811  0.038656 -0.103401  45.7180581445 -348.6370060548   254.67033
SCH3 10JUN15 2010.4531 55362 1588 2   11.4  -2881 -0.135587   5064748  0.492950   254  0.678737  0.0000 0.000784 0.001003 0.003234 -0.007368  0.021471 -0.141658  45.7180581361 -348.6370060498   254.67874
SCH3 10JUN16 2010.4559 55363 1588 3   11.4  -2881 -0.137551   5064748  0.492977   254  0.679559  0.0000 0.000775 0.000995 0.003203 -0.001831 -0.000232 -0.117208  45.7180581363 -348.6370060750   254.67956
SCH3 10JUN17 2010.4586 55364 1588 4   11.4  -2881 -0.134606   5064748  0.493095   254  0.669082  0.0000 0.000809 0.001025 0.003344 -0.042542  0.057748 -0.134260  45.7180581374 -348.6370060371   254.66908
SCH3 10JUN18 2010.4613 55365 1588 5   11.4  -2881 -0.135066   5064748  0.494262   254  0.672215  0.0000 0.000777 0.000990 0.003160 -0.017870  0.037803 -0.102296  45.7180581479 -348.6370060431   254.67221
SCH3 10JUN19 2010.4641 55366 1588 6   11.4  -2881 -0.134224   5064748  0.495240   254  0.678209  0.0000 0.000767 0.000972 0.003100 -0.016581  0.010654 -0.124637  45.7180581567 -348.6370060323   254.67821
SCH3 10JUN20 2010.4668 55367 1589 0   11.4  -2881 -0.135085   5064748  0.495957   254  0.680310  0.0000 0.000758 0.000972 0.003083 -0.013028  0.026497 -0.121238  45.7180581631 -348.6370060433   254.68031
SCH3 10JUN21 2010.4695 55368 1589 1   11.4  -2881 -0.132823   5064748  0.495819   254  0.667840  0.0000 0.000808 0.001054 0.003337  0.006845  0.028548 -0.130965  45.7180581619 -348.6370060143   254.66784
SCH3 10JUN22 2010.4723 55369 1589 2   11.4  -2881 -0.133940   5064748  0.494584   254  0.666135  0.0000 0.000760 0.000976 0.003113 -0.003119  0.016053 -0.134149  45.7180581508 -348.6370060286   254.66614
SCH3 10JUN23 2010.4750 55370 1589 3   11.4  -2881 -0.135261   5064748  0.495379   254  0.667643  0.0000 0.000755 0.000968 0.003088 -0.007844  0.014874 -0.146361  45.7180581580 -348.6370060456   254.66764
SCH3 10JUN24 2010.4778 55371 1589 4   11.4  -2881 -0.133989   5064748  0.494760   254  0.665099  0.0000 0.000769 0.001006 0.003135 -0.025580  0.017484 -0.129755  45.7180581524 -348.6370060292   254.66510
SCH3 10JUN25 2010.4805 55372 1589 5   11.4  -2881 -0.134817   5064748  0.496362   254  0.664497  0.0000 0.000772 0.001019 0.003183 -0.008084  0.006861 -0.135124  45.7180581668 -348.6370060399   254.66450
SCH3 10JUN26 2010.4832 55373 1589 6   11.4  -2881 -0.132526   5064748  0.493984   254  0.670085  0.0000 0.000782 0.000996 0.003221 -0.038915  0.030509 -0.149921  45.7180581454 -348.6370060104   254.67009
SCH3 10JUN27 2010.4860 55374 1590 0   11.4  -2881 -0.133939   5064748  0.493116   254  0.666771  0.0000 0.000763 0.000979 0.003122 -0.012204  0.022387 -0.136370  45.7180581376 -348.6370060286   254.66677
SCH3 10JUN28 2010.4887 55375 1590 1   11.4  -2881 -0.136276   5064748  0.495927   254  0.662643  0.0000 0.000774 0.000975 0.003164 -0.027716  0.049284 -0.148661  45.7180581629 -348.6370060586   254.66264
SCH3 10JUN29 2010.4914 55376 1590 2   11.4  -2881 -0.138252   5064748  0.496281   254  0.667035  0.0000 0.000784 0.000991 0.003223 -0.011256 -0.003922 -0.147446  45.7180581661 -348.6370060840   254.66703
SCH3 10JUN30 2010.4942 55377 1590 3   11.4  -2881 -0.138478   5064748  0.492899   254  0.673502  0.0000 0.000802 0.001008 0.003340 -0.016406  0.027046 -0.169782  45.7180581356 -348.6370060869   254.67350
SCH3 10JUL01 2010.4969 55378 1590 4   11.4  -2881 -0.133160   5064748  0.496506   254  0.674908  0.0000 0.000765 0.000979 0.003149 -0.005661  0.026528 -0.139033  45.7180581681 -348.6370060186   254.67491
SCH3 10JUL02 2010.4997 55379 1590 5   11.4  -2881 -0.133876   5064748  0.493211   254  0.678916  0.0000 0.000774 0.001000 0.003220 -0.011898  0.025201 -0.174327  45.7180581384 -348.6370060278   254.67892
SCH3 10JUL03 2010.5024 55380 1590 6   11.4  -2881 -0.135780   5064748  0.493481   254  0.669290  0.0000 0.000773 0.000989 0.003218  0.000047  0.018405 -0.150088  45.7180581409 -348.6370060522   254.66929
SCH3 10JUL04 2010.5051 55381 1591 0   11.4  -2881 -0.132763   5064748  0.493748   254  0.661307  0.0000 0.000786 0.001003 0.003322  0.002115  0.002257 -0.177744  45.7180581433 -348.6370060135   254.66131
SCH3 10JUL05 2010.5079 55382 1591 1   11.4  -2881 -0.132201   5064748  0.494397   254  0.676479  0.0000 0.000772 0.000994 0.003207 -0.009209  0.018416 -0.136635  45.7180581491 -348.6370060063   254.67648
SCH3 10JUL06 2010.5106 55383 1591 2   11.4  -2881 -0.133413   5064748  0.495983   254  0.674211  0.0000 0.000778 0.000996 0.003245 -0.004794  0.027097 -0.128496  45.7180581634 -348.6370060218   254.67421
SCH3 10JUL07 2010.5133 55384 1591 3   11.4  -2881 -0.132459   5064748  0.495466   254  0.670391  0.0000 0.000761 0.000970 0.003100 -0.014503  0.013325 -0.142105  45.7180581587 -348.6370060096   254.67039
SCH3 10JUL08 2010.5161 55385 1591 4   11.4  -2881 -0.133471   5064748  0.494709   254  0.664158  0.0000 0.000756 0.000968 0.003077 -0.010454  0.011345 -0.130408  45.7180581519 -348.6370060226   254.66416
SCH3 10JUL09 2010.5188 55386 1591 5   11.4  -2881 -0.134505   5064748  0.494987   254  0.667942  0.0000 0.000755 0.000966 0.003090 -0.007546  0.008076 -0.152801  45.7180581544 -348.6370060359   254.66794
SCH3 10JUL10 2010.5216 55387 1591 6   11.4  -2881 -0.132634   5064748  0.495183   254  0.674560  0.0000 0.000763 0.000985 0.003164 -0.004156  0.016657 -0.140310  45.7180581562 -348.6370060118   254.67456
SCH3 10JUL11 2010.5243 55388 1592 0   11.4  -2881 -0.135316   5064748  0.494540   254  0.665574  0.0000 0.000764 0.000983 0.003176  0.002787  0.018449 -0.155609  45.7180581504 -348.6370060463   254.66557
SCH3 10JUL12 2010.5270 55389 1592 1   11.4  -2881 -0.133903   5064748  0.493799   254  0.679858  0.0000 0.000773 0.000990 0.003229  0.015216  0.004074 -0.156743  45.7180581437 -348.6370060281   254.67986
SCH3 10JUL13 2010.5298 55390 1592 2   11.4  -2881 -0.134186   5064748  0.492857   254  0.671847  0.0000 0.000772 0.000990 0.003216 -0.030720  0.015649 -0.138709  45.7180581353 -348.6370060317   254.67185
SCH3 10JUL14 2010.5325 55391 1592 3   11.4  -2881 -0.133800   5064748  0.493649   254  0.670551  0.0000 0.000770 0.000982 0.003204 -0.002634  0.032524 -0.141957  45.7180581424 -348.6370060268   254.67055
SCH3 10JUL15 2010.5352 55392 1592 4   11.4  -2881 -0.135230   5064748  0.493902   254  0.678513  0.0000 0.000770 0.000998 0.003215 -0.008242  0.041655 -0.116212  45.7180581447 -348.6370060452   254.67851
SCH3 10JUL16 2010.5380 55393 1592 5   11.4  -2881 -0.133302   5064748  0.493320   254  0.675909  0.0000 0.000779 0.000995 0.003262  0.009752  0.037543 -0.127572  45.7180581394 -348.6370060204   254.67591
SCH3 10JUL17 2010.5407 55394 1592 6   11.4  -2881 -0.132567   5064748  0.491414   254  0.678682  0.0000 0.000807 0.001032 0.003427  0.010017  0.015016 -0.112044  45.7180581223 -348.6370060109   254.67868
SCH3 10JUL18 2010.5435 55395 1593 0   11.4  -2881 -0.131581   5064748  0.498221   254  0.669275  0.0000 0.000765 0.000992 0.003197 -0.003608  0.002345 -0.132853  45.7180581835 -348.6370059983   254.66928
SCH3 10JUL19 2010.5462 55396 1593 1   11.4  -2881 -0.135288   5064748  0.495290   254  0.666921  0.0000 0.001146 0.001410 0.004601 -0.086666 -0.040030 -0.132188  45.7180581571 -348.6370060459   254.66692
SCH3 10JUL20 2010.5489 55397 1593 2   11.4  -2881 -0.132019   5064748  0.495722   254  0.662924  0.0000 0.000884 0.001176 0.003706  0.043925  0.013464 -0.161046  45.7180581610 -348.6370060039   254.66292
SCH3 10JUL21 2010.5517 55398 1593 3   11.4  -2881 -0.134544   5064748  0.494909   254  0.672515  0.0000 0.000777 0.001016 0.003212  0.009752  0.004021 -0.140110  45.7180581537 -348.6370060364   254.67251
SCH3 10JUL22 2010.5544 55399 1593 4   11.4  -2881 -0.134521   5064748  0.496033   254  0.677295  0.0000 0.000786 0.001017 0.003305 -0.003402  0.003730 -0.114099  45.7180581638 -348.6370060361   254.67729
SCH3 10JUL23 2010.5572 55400 1593 5   11.4  -2881 -0.130695   5064748  0.491834   254  0.691329  0.0000 0.000802 0.001038 0.003439 -0.014846  0.036119 -0.180777  45.7180581261 -348.6370059869   254.69133
SCH3 10JUL24 2010.5599 55401 1593 6   11.4  -2881 -0.134537   5064748  0.498546   254  0.674259  0.0000 0.000762 0.000982 0.003185  0.014104 -0.012429 -0.167047  45.7180581864 -348.6370060363   254.67426
SCH3 10JUL25 2010.5626 55402 1594 0   11.4  -2881 -0.132544   5064748  0.496884   254  0.666961  0.0000 0.000769 0.000994 0.003249  0.007356  0.029244 -0.154459  45.7180581715 -348.6370060107   254.66696
SCH3 10JUL26 2010.5654 55403 1594 1   11.4  -2881 -0.132000   5064748  0.496306   254  0.677510  0.0000 0.000743 0.000972 0.003068 -0.003450  0.023081 -0.132166  45.7180581663 -348.6370060037   254.67751
SCH3 10JUL27 2010.5681 55404 1594 2   11.4  -2881 -0.132590   5064748  0.496588   254  0.675574  0.0000 0.000755 0.000975 0.003126  0.004041  0.003990 -0.147334  45.7180581688 -348.6370060113   254.67557
SCH3 10JUL28 2010.5708 55405 1594 3   11.4  -2881 -0.133524   5064748  0.496230   254  0.675770  0.0000 0.000752 0.000992 0.003160 -0.007065  0.015146 -0.151740  45.7180581656 -348.6370060233   254.67577
SCH3 10JUL29 2010.5736 55406 1594 4   11.4  -2881 -0.133323   5064748  0.497499   254  0.665183  0.0000 0.000794 0.001034 0.003365 -0.010735  0.043409 -0.150165  45.7180581770 -348.6370060207   254.66518
SCH3 10JUL30 2010.5763 55407 1594 5   11.4  -2881 -0.133273   5064748  0.496699   254  0.677963  0.0000 0.000777 0.001013 0.003268 -0.000477  0.025474 -0.175865  45.7180581698 -348.6370060200   254.67796
SCH3 10JUL31 2010.5791 55408 1594 6   11.4  -2881 -0.131879   5064748  0.497262   254  0.670611  0.0000 0.000749 0.000967 0.003074 -0.008055 -0.002844 -0.138764  45.7180581749 -348.6370060021   254.67061
SCH3 10AUG01 2010.5818 55409 1595 0   11.4  -2881 -0.132485   5064748  0.494809   254  0.671309  0.0000 0.000745 0.000970 0.003068 -0.001220  0.006419 -0.148951  45.7180581528 -348.6370060099   254.67131
SCH3 10AUG02 2010.5845 55410 1595 1   11.4  -2881 -0.132473   5064748  0.496784   254  0.677110  0.0000 0.000753 0.000974 0.003103 -0.001990  0.019678 -0.149719  45.7180581706 -348.6370060098   254.67711
SCH3 10AUG03 2010.5873 55411 1595 2   11.4  -2881 -0.132383   5064748  0.494728   254  0.686118  0.0000 0.000786 0.001050 0.003379 -0.046510  0.031346 -0.138801  45.7180581521 -348.6370060086   254.68612
SCH3 10AUG04 2010.5900 55412 1595 3   11.4  -2881 -0.132468   5064748  0.495980   254  0.673665  0.0000 0.000768 0.001002 0.003215 -0.038031  0.024398 -0.158530  45.7180581634 -348.6370060097   254.67367
SCH3 10AUG05 2010.5927 55413 1595 4   11.4  -2881 -0.132241   5064748  0.497577   254  0.681130  0.0000 0.000766 0.000982 0.003197  0.001465  0.014745 -0.160699  45.7180581777 -348.6370060068   254.68113
SCH3 10AUG06 2010.5955 55414 1595 5   11.4  -2881 -0.132947   5064748  0.496975   254  0.676453  0.0000 0.000758 0.000992 0.003182  0.006795  0.006156 -0.149712  45.7180581723 -348.6370060159   254.67645
SCH3 10AUG07 2010.5982 55415 1595 6   11.4  -2881 -0.132697   5064748  0.496445   254  0.668261  0.0000 0.000748 0.000973 0.003096  0.007741 -0.002203 -0.153424  45.7180581675 -348.6370060127   254.66826
SCH3 10AUG08 2010.6010 55416 1596 0   11.4  -2881 -0.131478   5064748  0.495741   254  0.679201  0.0000 0.000767 0.000991 0.003203  0.001432 -0.009850 -0.169234  45.7180581612 -348.6370059970   254.67920
SCH3 10AUG09 2010.6037 55417 1596 1   11.4  -2881 -0.133126   5064748  0.496629   254  0.667632  0.0000 0.000750 0.000976 0.003108  0.005056  0.013210 -0.149381  45.7180581692 -348.6370060182   254.66763
SCH3 10AUG10 2010.6064 55418 1596 2   11.4  -2881 -0.130813   5064748  0.496382   254  0.673362  0.0000 0.000772 0.001003 0.003243  0.005441  0.012457 -0.167832  45.7180581670 -348.6370059884   254.67336
SCH3 10AUG11 2010.6092 55419 1596 3   11.4  -2881 -0.130637   5064748  0.497335   254  0.665969  0.0000 0.000766 0.000994 0.003217 -0.009764  0.014255 -0.129893  45.7180581755 -348.6370059862   254.66597
SCH3 10AUG12 2010.6119 55420 1596 4   11.4  -2881 -0.131422   5064748  0.497720   254  0.672268  0.0000 0.000759 0.000994 0.003198  0.003418  0.007949 -0.159765  45.7180581790 -348.6370059963   254.67227
SCH3 10AUG13 2010.6146 55421 1596 5   11.4  -2881 -0.133229   5064748  0.499961   254  0.674558  0.0000 0.000763 0.000994 0.003183 -0.006152  0.028528 -0.131469  45.7180581992 -348.6370060195   254.67456
SCH3 10AUG14 2010.6174 55422 1596 6   11.4  -2881 -0.132932   5064748  0.496604   254  0.673173  0.0000 0.000754 0.000986 0.003147  0.010858  0.002832 -0.135724  45.7180581690 -348.6370060157   254.67317
SCH3 10AUG15 2010.6201 55423 1597 0   11.4  -2881 -0.131281   5064748  0.494780   254  0.667191  0.0000 0.000775 0.001025 0.003324  0.001744 -0.013520 -0.174357  45.7180581526 -348.6370059945   254.66719
SCH3 10AUG16 2010.6229 55424 1597 1   11.4  -2881 -0.131265   5064748  0.498970   254  0.669429  0.0000 0.000757 0.000987 0.003172  0.008914  0.008836 -0.136580  45.7180581903 -348.6370059943   254.66943
SCH3 10AUG17 2010.6256 55425 1597 2   11.4  -2881 -0.132045   5064748  0.496940   254  0.668084  0.0000 0.000744 0.000982 0.003108  0.019739 -0.016968 -0.159933  45.7180581720 -348.6370060043   254.66808
SCH3 10AUG18 2010.6283 55426 1597 3   11.4  -2881 -0.131867   5064748  0.497268   254  0.669861  0.0000 0.000751 0.000988 0.003135  0.001648  0.005398 -0.138359  45.7180581749 -348.6370060020   254.66986
SCH3 10AUG19 2010.6311 55427 1597 4   11.4  -2881 -0.131450   5064748  0.497528   254  0.665874  0.0000 0.000755 0.001006 0.003151 -0.004625  0.013477 -0.144655  45.7180581773 -348.6370059966   254.66587
SCH3 10AUG20 2010.6338 55428 1597 5   11.4  -2881 -0.132669   5064748  0.495392   254  0.667354  0.0000 0.000766 0.000998 0.003246 -0.001204  0.039117 -0.146802  45.7180581581 -348.6370060123   254.66735
