site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
TRIE 03FEB08 2003.1047 52678 1204 6   13.8  -2840 -0.632280   5063825  0.819894   323  0.405339  0.0083 0.000685 0.000921 0.002665 -0.031091 -0.057213 -0.033364  45.7097566650 -346.2364804132   323.40534
TRIE 03FEB09 2003.1075 52679 1205 0   13.8  -2840 -0.630668   5063825  0.817884   323  0.402676  0.0083 0.000694 0.000930 0.002708 -0.002727 -0.046560 -0.037670  45.7097566469 -346.2364803925   323.40268
TRIE 03FEB10 2003.1102 52680 1205 1   13.8  -2840 -0.632533   5063825  0.819661   323  0.404352  0.0083 0.000706 0.000961 0.002835  0.004605 -0.058893 -0.015406  45.7097566629 -346.2364804164   323.40435
TRIE 03FEB11 2003.1129 52681 1205 2   13.8  -2840 -0.630947   5063825  0.818301   323  0.399597  0.0083 0.000712 0.000960 0.002841  0.002420 -0.037359 -0.047650  45.7097566507 -346.2364803961   323.39960
TRIE 03FEB12 2003.1157 52682 1205 3   13.8  -2840 -0.633217   5063825  0.821052   323  0.405602  0.0083 0.000699 0.000954 0.002798 -0.005090 -0.046827 -0.042310  45.7097566754 -346.2364804252   323.40560
TRIE 03FEB13 2003.1184 52683 1205 4   13.8  -2840 -0.632469   5063825  0.820293   323  0.401397  0.0083 0.000703 0.000947 0.002723 -0.023501 -0.048274 -0.038209  45.7097566686 -346.2364804156   323.40140
TRIE 03FEB14 2003.1211 52684 1205 5   13.8  -2840 -0.631646   5063825  0.822030   323  0.401516  0.0083 0.000674 0.000900 0.002663 -0.014385 -0.032008 -0.004025  45.7097566842 -346.2364804051   323.40152
TRIE 03FEB15 2003.1239 52685 1205 6   13.8  -2840 -0.631795   5063825  0.822731   323  0.401554  0.0083 0.000681 0.000898 0.002679 -0.014641 -0.054711 -0.026932  45.7097566905 -346.2364804070   323.40155
TRIE 03FEB16 2003.1266 52686 1206 0   13.8  -2840 -0.632538   5063825  0.819275   323  0.404448  0.0083 0.000682 0.000904 0.002680 -0.028029 -0.017611 -0.024679  45.7097566594 -346.2364804165   323.40445
TRIE 03FEB17 2003.1294 52687 1206 1   13.8  -2840 -0.631249   5063825  0.822175   323  0.403423  0.0083 0.000695 0.000918 0.002783 -0.006795 -0.044230 -0.050523  45.7097566855 -346.2364804000   323.40342
TRIE 03FEB18 2003.1321 52688 1206 2   13.8  -2840 -0.629914   5063825  0.821497   323  0.402604  0.0083 0.000695 0.000937 0.002801  0.020964 -0.040575 -0.016882  45.7097566794 -346.2364803828   323.40260
TRIE 03FEB19 2003.1348 52689 1206 3   13.8  -2840 -0.631141   5063825  0.821281   323  0.400429  0.0083 0.000696 0.000933 0.002759 -0.010832 -0.021387 -0.043282  45.7097566775 -346.2364803986   323.40043
TRIE 03FEB20 2003.1376 52690 1206 4   13.8  -2840 -0.630882   5063825  0.819683   323  0.406694  0.0083 0.000675 0.000887 0.002643 -0.020226 -0.044401 -0.017734  45.7097566631 -346.2364803952   323.40669
TRIE 03FEB21 2003.1403 52691 1206 5   13.8  -2840 -0.632094   5063825  0.819357   323  0.406550  0.0083 0.000671 0.000897 0.002642 -0.016666 -0.018524 -0.002127  45.7097566602 -346.2364804108   323.40655
TRIE 03FEB22 2003.1431 52692 1206 6   13.8  -2840 -0.633280   5063825  0.821059   323  0.403307  0.0083 0.000683 0.000915 0.002710 -0.015567 -0.030132 -0.020793  45.7097566755 -346.2364804261   323.40331
