site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
VARE 10SEP13 2010.6995 55452 1601 1    8.8   2254  0.067960   5075409  0.639740   443  0.069168  0.0000 0.000952 0.001365 0.004201  0.049904  0.048785 -0.074055  45.8139776936 -351.1709985068   443.06917
VARE 10SEP14 2010.7023 55453 1601 2    8.8   2254  0.066321   5075409  0.640826   443  0.078044  0.0000 0.000744 0.001007 0.003170  0.022740  0.034777 -0.047199  45.8139777034 -351.1709985278   443.07804
VARE 10SEP15 2010.7050 55454 1601 3    8.8   2254  0.068370   5075409  0.638721   443  0.083802  0.0000 0.000750 0.001025 0.003236  0.012546  0.000431 -0.034791  45.8139776844 -351.1709985015   443.08380
VARE 10SEP16 2010.7077 55455 1601 4    8.8   2254  0.067338   5075409  0.640512   443  0.078159  0.0000 0.000765 0.001069 0.003338  0.025984  0.055378 -0.054369  45.8139777006 -351.1709985147   443.07816
VARE 10SEP17 2010.7105 55456 1601 5    8.8   2254  0.068654   5075409  0.636971   443  0.081864  0.0000 0.000746 0.001033 0.003214  0.021955  0.012720 -0.065213  45.8139776687 -351.1709984978   443.08186
VARE 10SEP18 2010.7132 55457 1601 6    8.8   2254  0.069080   5075409  0.640368   443  0.071963  0.0000 0.000749 0.001043 0.003262  0.011821  0.011723 -0.024908  45.8139776993 -351.1709984923   443.07196
VARE 10SEP19 2010.7159 55458 1602 0    8.8   2254  0.067230   5075409  0.641475   443  0.068039  0.0000 0.000742 0.001031 0.003206  0.041318  0.030764 -0.041388  45.8139777092 -351.1709985161   443.06804
VARE 10SEP20 2010.7187 55459 1602 1    8.8   2254  0.066755   5075409  0.639735   443  0.080902  0.0000 0.000742 0.001010 0.003168  0.028605  0.040697 -0.045289  45.8139776936 -351.1709985222   443.08090
VARE 10SEP21 2010.7214 55460 1602 2    8.8   2254  0.067159   5075409  0.640503   443  0.077095  0.0000 0.000751 0.001029 0.003241  0.004029  0.037188 -0.039411  45.8139777005 -351.1709985171   443.07710
VARE 10SEP22 2010.7242 55461 1602 3    8.8   2254  0.067233   5075409  0.639422   443  0.071652  0.0000 0.000749 0.001039 0.003236  0.002786  0.042628 -0.043232  45.8139776908 -351.1709985161   443.07165
VARE 10SEP23 2010.7269 55462 1602 4    8.8   2254  0.067822   5075409  0.639110   443  0.076603  0.0000 0.000758 0.001040 0.003241  0.038913 -0.003255 -0.041167  45.8139776879 -351.1709985085   443.07660
VARE 10SEP24 2010.7296 55463 1602 5    8.8   2254  0.067451   5075409  0.639877   443  0.084772  0.0000 0.000742 0.001029 0.003207  0.030106  0.007180 -0.029772  45.8139776948 -351.1709985133   443.08477
VARE 10SEP25 2010.7324 55464 1602 6    8.8   2254  0.066245   5075409  0.638969   443  0.085700  0.0000 0.000735 0.001008 0.003154  0.033147  0.050450 -0.043491  45.8139776867 -351.1709985288   443.08570
VARE 10SEP26 2010.7351 55465 1603 0    8.8   2254  0.068639   5075409  0.640794   443  0.084331  0.0000 0.000741 0.001020 0.003193  0.033487  0.033957 -0.035131  45.8139777031 -351.1709984980   443.08433
VARE 10SEP27 2010.7379 55466 1603 1    8.8   2254  0.068250   5075409  0.639964   443  0.085238  0.0000 0.000765 0.001052 0.003280  0.025029  0.040966 -0.039775  45.8139776956 -351.1709985030   443.08524
VARE 10SEP28 2010.7406 55467 1603 2    8.8   2254  0.067042   5075409  0.640401   443  0.084982  0.0000 0.000764 0.001066 0.003323  0.045483  0.058306 -0.033558  45.8139776996 -351.1709985186   443.08498
VARE 10SEP29 2010.7433 55468 1603 3    8.8   2254  0.066433   5075409  0.641627   443  0.075839  0.0000 0.000736 0.001015 0.003169  0.025673  0.030120 -0.033260  45.8139777106 -351.1709985264   443.07584
VARE 10SEP30 2010.7461 55469 1603 4    8.8   2254  0.068032   5075409  0.640212   443  0.081794  0.0000 0.000770 0.001080 0.003409  0.039415  0.061773  0.005589  45.8139776979 -351.1709985058   443.08179
VARE 10OCT01 2010.7488 55470 1603 5    8.8   2254  0.068493   5075409  0.641156   443  0.073765  0.0000 0.000756 0.001022 0.003255  0.021048  0.041220 -0.019540  45.8139777064 -351.1709984999   443.07377
VARE 10OCT02 2010.7515 55471 1603 6    8.8   2254  0.068287   5075409  0.640153   443  0.081105  0.0000 0.000739 0.001024 0.003221  0.048450  0.034588  0.002489  45.8139776973 -351.1709985025   443.08111
VARE 10OCT03 2010.7543 55472 1604 0    8.8   2254  0.068188   5075409  0.640086   443  0.070134  0.0000 0.000763 0.001052 0.003280  0.036135 -0.001706 -0.016607  45.8139776967 -351.1709985038   443.07013
VARE 10OCT04 2010.7570 55473 1604 1    8.8   2254  0.066362   5075409  0.639910   443  0.081239  0.0000 0.000770 0.001053 0.003317  0.034978  0.052982 -0.034375  45.8139776951 -351.1709985273   443.08124
VARE 10OCT05 2010.7598 55474 1604 2    8.8   2254  0.067200   5075409  0.641501   443  0.074333  0.0000 0.000763 0.001049 0.003333  0.031430  0.023952 -0.049428  45.8139777095 -351.1709985165   443.07433
VARE 10OCT06 2010.7625 55475 1604 3    8.8   2254  0.067529   5075409  0.638898   443  0.066676  0.0000 0.000772 0.001075 0.003330  0.064307  0.015477 -0.016372  45.8139776860 -351.1709985123   443.06668
VARE 10OCT07 2010.7652 55476 1604 4    8.8   2254  0.067961   5075409  0.639989   443  0.063438  0.0000 0.000738 0.001035 0.003184  0.058682  0.029045 -0.019537  45.8139776959 -351.1709985067   443.06344
VARE 10OCT08 2010.7680 55477 1604 5    8.8   2254  0.068759   5075409  0.641150   443  0.075509  0.0000 0.000746 0.001031 0.003206  0.046366  0.021165 -0.036770  45.8139777063 -351.1709984965   443.07551
VARE 10OCT09 2010.7707 55478 1604 6    8.8   2254  0.068619   5075409  0.641420   443  0.070499  0.0000 0.000744 0.001046 0.003235  0.051556  0.028922 -0.017172  45.8139777087 -351.1709984983   443.07050
VARE 10OCT10 2010.7734 55479 1605 0    8.8   2254  0.066504   5075409  0.641871   443  0.079496  0.0000 0.000745 0.001046 0.003233  0.045126  0.026548 -0.024879  45.8139777128 -351.1709985255   443.07950
VARE 10OCT11 2010.7762 55480 1605 1    8.8   2254  0.067693   5075409  0.640961   443  0.084427  0.0000 0.000754 0.001065 0.003297  0.056006  0.022962 -0.035523  45.8139777046 -351.1709985102   443.08443
VARE 10OCT12 2010.7789 55481 1605 2    8.8   2254  0.066208   5075409  0.639348   443  0.071241  0.0000 0.000743 0.001050 0.003220  0.063570  0.035971 -0.022810  45.8139776901 -351.1709985293   443.07124
VARE 10OCT13 2010.7817 55482 1605 3    8.8   2254  0.067193   5075409  0.638601   443  0.073075  0.0000 0.000750 0.001042 0.003236  0.065530  0.035658 -0.037921  45.8139776834 -351.1709985166   443.07307
VARE 10OCT14 2010.7844 55483 1605 4    8.8   2254  0.067990   5075409  0.641111   443  0.069255  0.0000 0.000754 0.001077 0.003271  0.041972  0.036118 -0.033850  45.8139777060 -351.1709985064   443.06925
VARE 10OCT15 2010.7871 55484 1605 5    8.8   2254  0.067653   5075409  0.640588   443  0.077313  0.0000 0.000759 0.001070 0.003279  0.022167  0.027438 -0.056940  45.8139777013 -351.1709985107   443.07731
VARE 10OCT16 2010.7899 55485 1605 6    8.8   2254  0.067827   5075409  0.639547   443  0.086223  0.0000 0.000759 0.001062 0.003298  0.056084  0.015762 -0.032668  45.8139776919 -351.1709985085   443.08622
VARE 11FEB23 2011.1458 55615 1624 3    8.8   2254  0.073809   5075409  0.656477   443  0.069420  0.0000 0.001051 0.001444 0.004479  0.054832 -0.060883 -0.047355  45.8139778442 -351.1709984314   443.06942
VARE 11FEB24 2011.1485 55616 1624 4    8.8   2254  0.075080   5075409  0.651610   443  0.074106  0.0000 0.000761 0.000998 0.003206  0.066948 -0.009418 -0.018061  45.8139778004 -351.1709984151   443.07411
VARE 11FEB25 2011.1513 55617 1624 5    8.8   2254  0.075960   5075409  0.652985   443  0.069542  0.0000 0.000756 0.001001 0.003196  0.070405 -0.008378 -0.023751  45.8139778128 -351.1709984038   443.06954
VARE 11FEB26 2011.1540 55618 1624 6    8.8   2254  0.076012   5075409  0.651927   443  0.074233  0.0000 0.000756 0.000991 0.003185  0.066610 -0.001346 -0.019637  45.8139778033 -351.1709984031   443.07423
VARE 11FEB27 2011.1567 55619 1625 0    8.8   2254  0.075530   5075409  0.652140   443  0.080253  0.0000 0.000758 0.001005 0.003225  0.064535  0.001287 -0.002055  45.8139778052 -351.1709984093   443.08025
VARE 11FEB28 2011.1595 55620 1625 1    8.8   2254  0.076447   5075409  0.651448   443  0.074781  0.0000 0.000747 0.000995 0.003146  0.074427 -0.016410 -0.015646  45.8139777990 -351.1709983975   443.07478
VARE 11MAR01 2011.1622 55621 1625 2    8.8   2254  0.075316   5075409  0.650500   443  0.074540  0.0000 0.000749 0.000986 0.003150  0.067833 -0.000530 -0.008075  45.8139777904 -351.1709984121   443.07454
VARE 11MAR02 2011.1650 55622 1625 3    8.8   2254  0.075831   5075409  0.650392   443  0.071381  0.0000 0.000750 0.000990 0.003138  0.066149 -0.009678 -0.031662  45.8139777895 -351.1709984054   443.07138
VARE 11MAR03 2011.1677 55623 1625 4    8.8   2254  0.074033   5075409  0.649830   443  0.063572  0.0000 0.000750 0.000996 0.003161  0.058696  0.012182 -0.013885  45.8139777844 -351.1709984286   443.06357
VARE 11MAR04 2011.1704 55624 1625 5    8.8   2254  0.074096   5075409  0.650603   443  0.075214  0.0000 0.000754 0.000994 0.003175  0.072561 -0.005081 -0.001721  45.8139777913 -351.1709984277   443.07521
VARE 11MAR05 2011.1732 55625 1625 6    8.8   2254  0.073627   5075409  0.650421   443  0.077053  0.0000 0.000753 0.000996 0.003175  0.066673 -0.007298 -0.007369  45.8139777897 -351.1709984338   443.07705
VARE 11MAR07 2011.1786 55627 1626 1    8.8   2254  0.075531   5075409  0.650132   443  0.073507  0.0000 0.000751 0.000985 0.003153  0.062353  0.010950 -0.002551  45.8139777871 -351.1709984093   443.07351
VARE 11MAR08 2011.1814 55628 1626 2    8.8   2254  0.074932   5075409  0.649029   443  0.074452  0.0000 0.000751 0.000992 0.003150  0.060759  0.006901 -0.020175  45.8139777772 -351.1709984170   443.07445
VARE 11MAR09 2011.1841 55629 1626 3    8.8   2254  0.074527   5075409  0.650418   443  0.079639  0.0000 0.000743 0.000988 0.003124  0.062841  0.008624  0.004722  45.8139777897 -351.1709984222   443.07964
VARE 11MAR10 2011.1869 55630 1626 4    8.8   2254  0.074274   5075409  0.650108   443  0.078119  0.0000 0.000751 0.000996 0.003174  0.070047 -0.000021  0.005119  45.8139777869 -351.1709984255   443.07812
VARE 11MAR11 2011.1896 55631 1626 5    8.8   2254  0.075362   5075409  0.649998   443  0.079166  0.0000 0.000753 0.000991 0.003147  0.070196 -0.021611 -0.016669  45.8139777859 -351.1709984115   443.07917
VARE 11MAR12 2011.1923 55632 1626 6    8.8   2254  0.075581   5075409  0.649488   443  0.077599  0.0000 0.000755 0.000993 0.003167  0.066973  0.000042 -0.029410  45.8139777813 -351.1709984087   443.07760
VARE 11MAR13 2011.1951 55633 1627 0    8.8   2254  0.075861   5075409  0.648850   443  0.088700  0.0000 0.000749 0.000986 0.003148  0.056116  0.009513 -0.008231  45.8139777756 -351.1709984051   443.08870
VARE 11MAR14 2011.1978 55634 1627 1    8.8   2254  0.076066   5075409  0.648628   443  0.082241  0.0000 0.000769 0.001001 0.003218  0.051926  0.016154  0.016539  45.8139777736 -351.1709984024   443.08224
VARE 11MAR15 2011.2005 55635 1627 2    8.8   2254  0.077249   5075409  0.650424   443  0.077703  0.0000 0.000755 0.000994 0.003182  0.064449 -0.018572 -0.004368  45.8139777897 -351.1709983872   443.07770
VARE 11MAR16 2011.2033 55636 1627 3    8.8   2254  0.075945   5075409  0.648799   443  0.079985  0.0000 0.000787 0.001023 0.003299  0.064812 -0.022848  0.022723  45.8139777751 -351.1709984040   443.07998
VARE 11MAR17 2011.2060 55637 1627 4    8.8   2254  0.077025   5075409  0.649392   443  0.081267  0.0000 0.000946 0.001184 0.003906  0.051004 -0.017230 -0.012527  45.8139777805 -351.1709983901   443.08127
VARE 11MAR21 2011.2170 55641 1628 1    8.8   2254  0.077929   5075409  0.651056   443  0.076702  0.0000 0.000772 0.001006 0.003249  0.057737 -0.017738  0.026521  45.8139777954 -351.1709983784   443.07670
VARE 11MAR22 2011.2197 55642 1628 2    8.8   2254  0.076318   5075409  0.651031   443  0.074651  0.0000 0.000770 0.001004 0.003222  0.051803 -0.020960  0.009869  45.8139777952 -351.1709983992   443.07465
VARE 11MAR23 2011.2225 55643 1628 3    8.8   2254  0.077805   5075409  0.651384   443  0.071944  0.0000 0.000758 0.001000 0.003179  0.049940 -0.024967 -0.003175  45.8139777984 -351.1709983800   443.07194
VARE 11MAR24 2011.2252 55644 1628 4    8.8   2254  0.076220   5075409  0.650912   443  0.072765  0.0000 0.000751 0.000992 0.003161  0.054436 -0.010864 -0.012036  45.8139777941 -351.1709984004   443.07276
VARE 11MAR25 2011.2279 55645 1628 5    8.8   2254  0.074862   5075409  0.648790   443  0.077481  0.0000 0.000759 0.000996 0.003211  0.063869 -0.013649  0.009394  45.8139777750 -351.1709984179   443.07748
VARE 11MAR28 2011.2361 55648 1629 1    8.8   2254  0.076251   5075409  0.650450   443  0.084733  0.0000 0.000752 0.001000 0.003175  0.067637 -0.013150 -0.019068  45.8139777900 -351.1709984000   443.08473
VARE 11MAR29 2011.2389 55649 1629 2    8.8   2254  0.078477   5075409  0.650231   443  0.081823  0.0000 0.000757 0.000997 0.003183  0.063663 -0.018937 -0.018599  45.8139777880 -351.1709983714   443.08182
VARE 11MAR30 2011.2416 55650 1629 3    8.8   2254  0.077463   5075409  0.650759   443  0.082305  0.0000 0.000755 0.000990 0.003159  0.053711 -0.003399 -0.023035  45.8139777928 -351.1709983844   443.08230
VARE 11MAR31 2011.2444 55651 1629 4    8.8   2254  0.078245   5075409  0.649679   443  0.079540  0.0000 0.000758 0.000990 0.003180  0.065178 -0.004367 -0.014997  45.8139777830 -351.1709983744   443.07954
VARE 11APR01 2011.2471 55652 1629 5    8.8   2254  0.080356   5075409  0.650378   443  0.080959  0.0000 0.000765 0.001003 0.003224  0.059651  0.007843 -0.013718  45.8139777893 -351.1709983472   443.08096
VARE 11APR02 2011.2498 55653 1629 6    8.8   2254  0.079214   5075409  0.651552   443  0.081847  0.0000 0.000751 0.001000 0.003158  0.072571 -0.013212 -0.021379  45.8139777999 -351.1709983619   443.08185
