site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
VELO 09MAY09 2009.3525 54960 1530 6   11.4  -2585 -0.892975   5072600  0.819650   404  0.696856  0.0000 0.001033 0.001458 0.004631  0.011623  0.157602  0.000159  45.7887065748 -348.6332558121   404.69686
VELO 09MAY10 2009.3552 54961 1531 0   11.4  -2585 -0.893660   5072600  0.820806   404  0.700284  0.0000 0.001044 0.001432 0.004885  0.054690  0.120140 -0.033992  45.7887065852 -348.6332558209   404.70028
VELO 09MAY14 2009.3662 54965 1531 4   11.4  -2585 -0.891245   5072600  0.818791   404  0.711591  0.0000 0.001072 0.001366 0.004563  0.086885  0.110592  0.047229  45.7887065671 -348.6332557898   404.71159
VELO 09MAY15 2009.3689 54966 1531 5   11.4  -2585 -0.892429   5072600  0.819036   404  0.715409  0.0000 0.001039 0.001446 0.004542  0.057718  0.041622  0.035872  45.7887065693 -348.6332558050   404.71541
VELO 09MAY16 2009.3717 54967 1531 6   11.4  -2585 -0.891653   5072600  0.818048   404  0.711738  0.0000 0.001017 0.001405 0.004498  0.060374  0.066464  0.077325  45.7887065604 -348.6332557950   404.71174
VELO 09MAY19 2009.3799 54970 1532 2   11.4  -2585 -0.893756   5072600  0.816176   404  0.717148  0.0000 0.001025 0.001498 0.004534  0.071943  0.111869  0.061773  45.7887065436 -348.6332558221   404.71715
VELO 09MAY20 2009.3826 54971 1532 3   11.4  -2585 -0.893716   5072600  0.821142   404  0.715538  0.0000 0.001000 0.001487 0.004353  0.115466  0.089418  0.043556  45.7887065882 -348.6332558216   404.71554
VELO 09MAY21 2009.3854 54972 1532 4   11.4  -2585 -0.891486   5072600  0.817801   404  0.703427  0.0000 0.000994 0.001486 0.004673  0.130236  0.090839  0.040608  45.7887065582 -348.6332557929   404.70343
VELO 09MAY22 2009.3881 54973 1532 5   11.4  -2585 -0.890750   5072600  0.819335   404  0.700920  0.0000 0.001058 0.001487 0.004844  0.125276  0.099598 -0.027869  45.7887065720 -348.6332557834   404.70092
VELO 09MAY23 2009.3908 54974 1532 6   11.4  -2585 -0.891990   5072600  0.819197   404  0.711791  0.0000 0.000972 0.001485 0.004445  0.160456  0.103735  0.085368  45.7887065707 -348.6332557994   404.71179
VELO 09MAY25 2009.3963 54976 1533 1   11.4  -2585 -0.890461   5072600  0.815961   404  0.702818  0.0000 0.001304 0.001815 0.005950  0.051094  0.220389  0.034724  45.7887065416 -348.6332557797   404.70282
