site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu _latitude(deg) _longitude(deg) __height(m)
VICE 08AUG25 2008.6489 54703 1494 1   11.6  -3412 -0.716428   5047632  0.838373    95  0.977434  0.0000 0.000919 0.001274 0.003686 -0.054622  0.038911  0.008418  45.5640632505 -348.4437138920    95.97743
VICE 08AUG26 2008.6516 54704 1494 2   11.6  -3412 -0.716307   5047632  0.835119    95  0.977605  0.0000 0.000943 0.001235 0.003690 -0.020194  0.084584 -0.042144  45.5640632212 -348.4437138904    95.97761
VICE 08AUG29 2008.6598 54707 1494 5   11.6  -3412 -0.718806   5047632  0.835014    95  0.983912  0.0000 0.001441 0.001887 0.005765 -0.032849  0.084535 -0.066364  45.5640632203 -348.4437139224    95.98391
VICE 08AUG30 2008.6626 54708 1494 6   11.6  -3412 -0.716648   5047632  0.837174    95  0.985402  0.0000 0.000961 0.001353 0.003721 -0.069455  0.108657 -0.016615  45.5640632397 -348.4437138948    95.98540
VICE 08AUG31 2008.6653 54709 1495 0   11.6  -3412 -0.715017   5047632  0.836771    95  0.988394  0.0000 0.001024 0.001343 0.003791 -0.112404  0.125098  0.031242  45.5640632361 -348.4437138739    95.98839
VICE 08SEP01 2008.6680 54710 1495 1   11.6  -3412 -0.716457   5047632  0.837889    95  0.968337  0.0000 0.000964 0.001342 0.003962 -0.062795  0.112925 -0.012493  45.5640632461 -348.4437138924    95.96834
VICE 08SEP02 2008.6708 54711 1495 2   11.6  -3412 -0.715971   5047632  0.833768    95  0.985644  0.0000 0.000965 0.001305 0.003972 -0.088678  0.083309 -0.017167  45.5640632090 -348.4437138861    95.98564
VICE 08SEP03 2008.6735 54712 1495 3   11.6  -3412 -0.715314   5047632  0.838220    95  0.980984  0.0000 0.000962 0.001314 0.003893 -0.123805  0.070419 -0.007536  45.5640632491 -348.4437138777    95.98098
VICE 08SEP04 2008.6762 54713 1495 4   11.6  -3412 -0.717211   5047632  0.840223    95  0.979045  0.0000 0.001122 0.001480 0.004551 -0.015032  0.166571 -0.026254  45.5640632671 -348.4437139020    95.97904
VICE 08SEP05 2008.6790 54714 1495 5   11.6  -3412 -0.714841   5047632  0.838219    95  0.973775  0.0000 0.000965 0.001282 0.003809 -0.071344  0.070005 -0.056617  45.5640632491 -348.4437138717    95.97377
VICE 08SEP06 2008.6817 54715 1495 6   11.6  -3412 -0.715400   5047632  0.838526    95  0.970012  0.0000 0.000940 0.001283 0.004023 -0.065546  0.063202 -0.038251  45.5640632519 -348.4437138788    95.97001
VICE 08SEP07 2008.6845 54716 1496 0   11.6  -3412 -0.717456   5047632  0.836958    95  0.970947  0.0000 0.000968 0.001363 0.003998 -0.034587  0.053914 -0.036174  45.5640632377 -348.4437139051    95.97095
VICE 08SEP08 2008.6872 54717 1496 1   11.6  -3412 -0.717262   5047632  0.835770    95  0.971065  0.0000 0.001376 0.001779 0.005330 -0.080724  0.083218 -0.108134  45.5640632271 -348.4437139026    95.97107
VICE 08SEP13 2008.7009 54722 1496 6   11.6  -3412 -0.716221   5047632  0.840918    95  0.960552  0.0000 0.001008 0.001452 0.004126 -0.081680  0.092123 -0.008955  45.5640632734 -348.4437138894    95.96055
VICE 08SEP14 2008.7036 54723 1497 0   11.6  -3412 -0.716986   5047632  0.838024    95  0.967515  0.0000 0.000955 0.001316 0.003816 -0.064004  0.019314 -0.038812  45.5640632473 -348.4437138991    95.96752
VICE 08SEP15 2008.7064 54724 1497 1   11.6  -3412 -0.717552   5047632  0.838420    95  0.979410  0.0000 0.000961 0.001323 0.003719 -0.049699  0.018253 -0.007759  45.5640632509 -348.4437139064    95.97941
VICE 08SEP16 2008.7091 54725 1497 2   11.6  -3412 -0.719008   5047632  0.837028    95  0.983270  0.0000 0.001119 0.001599 0.004632  0.024947  0.046900 -0.023319  45.5640632384 -348.4437139250    95.98327
VICE 08SEP17 2008.7118 54726 1497 3   11.6  -3412 -0.716230   5047632  0.838879    95  0.974664  0.0000 0.001053 0.001374 0.003991 -0.133734  0.077146 -0.001268  45.5640632550 -348.4437138894    95.97466
VICE 08SEP18 2008.7146 54727 1497 4   11.6  -3412 -0.715978   5047632  0.837883    95  0.976807  0.0000 0.000930 0.001260 0.003595 -0.063260  0.053923  0.002908  45.5640632461 -348.4437138862    95.97681
VICE 08SEP19 2008.7173 54728 1497 5   11.6  -3412 -0.717915   5047632  0.837970    95  0.980047  0.0000 0.000960 0.001209 0.003722 -0.105197  0.096399 -0.033577  45.5640632469 -348.4437139110    95.98005
VICE 08SEP20 2008.7201 54729 1497 6   11.6  -3412 -0.714938   5047632  0.839512    95  0.978490  0.0000 0.000881 0.001231 0.003552 -0.044872  0.087497 -0.031008  45.5640632607 -348.4437138729    95.97849
VICE 08SEP21 2008.7228 54730 1498 0   11.6  -3412 -0.714034   5047632  0.838143    95  0.982058  0.0000 0.000964 0.001323 0.003571 -0.117355  0.069409 -0.026699  45.5640632484 -348.4437138613    95.98206
VICE 08SEP22 2008.7255 54731 1498 1   11.6  -3412 -0.716232   5047632  0.840217    95  0.982116  0.0000 0.000986 0.001298 0.003963 -0.066859  0.078645  0.020359  45.5640632671 -348.4437138895    95.98212
VICE 08SEP23 2008.7283 54732 1498 2   11.6  -3412 -0.713906   5047632  0.838550    95  0.985491  0.0000 0.000931 0.001215 0.003652 -0.067495  0.094235  0.022788  45.5640632521 -348.4437138597    95.98549
VICE 08SEP24 2008.7310 54733 1498 3   11.6  -3412 -0.715345   5047632  0.838499    95  0.978243  0.0000 0.001010 0.001294 0.003655 -0.091273  0.127227 -0.054446  45.5640632516 -348.4437138781    95.97824
VICE 08SEP25 2008.7337 54734 1498 4   11.6  -3412 -0.712584   5047632  0.838468    95  0.975076  0.0000 0.000985 0.001194 0.003653 -0.103283  0.094995 -0.024704  45.5640632513 -348.4437138428    95.97508
VICE 08SEP26 2008.7365 54735 1498 5   11.6  -3412 -0.712620   5047632  0.838740    95  0.974280  0.0000 0.000940 0.001310 0.003721 -0.074473  0.068976  0.010711  45.5640632538 -348.4437138432    95.97428
VICE 08SEP27 2008.7392 54736 1498 6   11.6  -3412 -0.714856   5047632  0.837153    95  0.978456  0.0000 0.001026 0.001286 0.003656 -0.148353  0.020178  0.036682  45.5640632395 -348.4437138718    95.97846
